alpha_a,alpha_b,correlation
A12_close_location_value_10,A13_intraday_range_position_10,1.0
A02_ema_distance_20,A06_rsi_reversion_14,-0.9766280280217087
A16_momentum_ensemble,A02_ema_distance_100,0.955524934624932
A02_ema_distance_50,A06_rsi_reversion_14,-0.946529041512796
A16_momentum_ensemble,A02_ema_distance_50,0.941198326650814
A02_ema_distance_20,A05_bollinger_reversion_20,-0.9343111771128901
A02_ema_distance_50,A02_ema_distance_100,0.9246068828461893
A05_bollinger_reversion_20,A06_rsi_reversion_14,0.9004488477997112
A02_ema_distance_20,A02_ema_distance_50,0.8917196067263358
A09_efficiency_ratio_20,A06_rsi_reversion_14,-0.8886495265428337
A05_bollinger_reversion_20,A17_mean_reversion_ensemble,0.8877247845453343
A01_ts_momentum_12,A05_bollinger_reversion_20,-0.8862400921926548
A02_ema_distance_20,A17_mean_reversion_ensemble,-0.884082053471557
A03_donchian_breakout_20,A15_volatility_adjusted_breakout_20,0.8811983484962338
A01_ts_momentum_12,A02_ema_distance_20,0.8690759690370956
A02_ema_distance_20,A09_efficiency_ratio_20,0.8643055269607322
A01_ts_momentum_48,A16_momentum_ensemble,0.8640489135508616
A01_ts_momentum_24,A06_rsi_reversion_14,-0.8484868897116858
A01_ts_momentum_72,A16_momentum_ensemble,0.8462765086397167
A01_ts_momentum_24,A02_ema_distance_50,0.8460548131309145
A01_ts_momentum_12,A06_rsi_reversion_14,-0.8458131691373377
A01_ts_momentum_24,A09_efficiency_ratio_20,0.8440761049292027
A01_ts_momentum_72,A02_ema_distance_100,0.8402773188777585
A02_ema_distance_50,A09_efficiency_ratio_20,0.8390155399080342
A16_momentum_ensemble,A06_rsi_reversion_14,-0.8363703896520891
A04_short_reversion_6,A17_mean_reversion_ensemble,0.8323252241405181
A04_short_reversion_3,A17_mean_reversion_ensemble,0.8279217427449015
A01_ts_momentum_48,A02_ema_distance_100,0.8261672880379626
A01_ts_momentum_48,A02_ema_distance_50,0.8251591908345463
A06_rsi_reversion_14,A17_mean_reversion_ensemble,0.8096119031989397
A04_short_reversion_2,A04_short_reversion_3,0.7975808013001919
A01_ts_momentum_24,A02_ema_distance_20,0.7908562951667523
A01_ts_momentum_120,A02_ema_distance_100,0.7899419208778548
A01_ts_momentum_24,A16_momentum_ensemble,0.7865823921763628
A02_ema_distance_100,A06_rsi_reversion_14,-0.7852112912469207
A04_short_reversion_2,A17_mean_reversion_ensemble,0.7822691490328558
A02_ema_distance_50,A05_bollinger_reversion_20,-0.7754948816749828
A02_ema_distance_50,A08_trend_quality,0.7721491183100974
A09_efficiency_ratio_20,A05_bollinger_reversion_20,-0.7693713223126245
A01_ts_momentum_120,A16_momentum_ensemble,0.7679277726079516
A16_momentum_ensemble,A02_ema_distance_20,0.765044976469187
