,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy
A01_ts_momentum_12,1.0,0.6817377585687365,0.4876518957126703,0.3919553160165658,0.3097302619045291,0.6727646204618981,0.8806501778837131,0.7422736274651152,0.575726479973448,0.40065855150113766,0.4971841976559136,0.7454826266070957,-0.2024542130337577,-0.30377153028972853,-0.3885140892134951,-0.5803079748604286,-0.8816274440367355,-0.8519854987973877,-0.7436095866101798,0.0073583087869018215,-0.008120486387997176,0.399867320593437,0.13904628290377266,0.4620263378867528,0.5271390885924536,0.5271390885924536,0.012643566533549158
A01_ts_momentum_24,0.6817377585687365,1.0,0.6973861322992948,0.5555500963352428,0.4433638526258553,0.8112301732102887,0.8214232165832585,0.867960192452377,0.7376882699981904,0.33717363618659746,0.666808655763988,0.8846674156715573,-0.10806447924865716,-0.16775221230288295,-0.21695109319706016,-0.3441075923285303,-0.6924756436955759,-0.8733531041867577,-0.5808293277469998,0.04392115246417363,0.010326541715309622,0.33663324822780155,0.10881512603046814,0.3304799787056094,0.3771137587124581,0.3771137587124581,0.011833384179602611
A01_ts_momentum_48,0.4876518957126703,0.6973861322992948,1.0,0.7869965952901697,0.6197479766461117,0.8810676422889155,0.6396904102132048,0.8647524736848362,0.8613697135535346,0.23792029318920743,0.7282419129977435,0.626247950340218,-0.04023685058143508,-0.06799218411807988,-0.09110019816027178,-0.15790401873273552,-0.4881709484665703,-0.7304556105348183,-0.3971129164511442,0.09472059844936496,0.04762030592441422,0.2375613010780831,0.07233243101476249,0.24864424309254815,0.3037648585321181,0.3037648585321181,0.007258178424044115
A01_ts_momentum_72,0.3919553160165658,0.5555500963352428,0.7869965952901697,1.0,0.7542549263664268,0.8584614155351538,0.5142968395337337,0.7767052724714802,0.8812023470205758,0.19290778444327375,0.6794312598190296,0.49534679600264137,0.0030648434919707595,-0.00458379788208135,-0.01581966671155848,-0.050070917883796334,-0.38648209018115803,-0.5986461299791114,-0.28110271314101,0.07111094433452328,0.11099647975461606,0.19242901716102837,0.06568225120740584,0.2145814589506048,0.2592191083436965,0.2592191083436965,0.0070418707291076575
A01_ts_momentum_120,0.3097302619045291,0.4433638526258553,0.6197479766461117,0.7542549263664268,1.0,0.7725428461506479,0.40743891825510326,0.6430109088942364,0.8351697636910576,0.15453011310918427,0.573904239387581,0.3924332680594273,0.027247731237894177,0.03300609750948685,0.03255052002006534,0.021984345996148746,-0.3062029514427332,-0.47622654965285743,-0.1905855632279843,-0.0076645420753915575,0.2021546113012924,0.1541549870669737,0.05061218916017992,0.19290242958993506,0.24132336904827956,0.24132336904827956,-0.002265024810767674
A16_momentum_ensemble,0.6727646204618981,0.8112301732102887,0.8810676422889155,0.8584614155351538,0.7725428461506479,1.0,0.7748581275986568,0.942842957236671,0.9515674741999073,0.3115433370768351,0.7822600081008667,0.7497263586577663,-0.06844386780634054,-0.11141224464324166,-0.15029275332966896,-0.25120060637452757,-0.6508643356091414,-0.8435956578588569,-0.5143927604373515,0.05272618096869861,0.0757144027778698,0.31079189688386943,0.10163271376228476,0.3409846002489927,0.3995645222711174,0.3995645222711174,0.00840469986291985
A02_ema_distance_20,0.8806501778837131,0.8214232165832585,0.6396904102132048,0.5142968395337337,0.40743891825510326,0.7748581275986568,1.0,0.8945921634886526,0.7218872636291636,0.4540695433425746,0.5952729860809514,0.8589081743496237,-0.29720412884701775,-0.42558618657218644,-0.5161209128800978,-0.6745524749046785,-0.9500828279553425,-0.9834215895437941,-0.8818757663621714,0.024305362692021968,0.006631853221919536,0.45310134074240593,0.16574624344807046,0.5699331793568126,0.5458506304718572,0.5458506304718572,0.009772384874174436
A02_ema_distance_50,0.7422736274651152,0.867960192452377,0.8647524736848362,0.7767052724714802,0.6430109088942364,0.942842957236671,0.8945921634886526,1.0,0.9322034057617623,0.37837628701570075,0.7739634645864562,0.8418390165742412,-0.1430159841398782,-0.21453466600184684,-0.2709148858126389,-0.3931245299538188,-0.7718987385486743,-0.9484974690272845,-0.6562919307380245,0.06494635773924808,0.046348614525779604,0.3778655581275875,0.12658327725150878,0.424012827724771,0.45169001349099064,0.45169001349099064,0.008271503314399652
A02_ema_distance_100,0.575726479973448,0.7376882699981904,0.8613697135535346,0.8812023470205758,0.8351697636910576,0.9515674741999073,0.7218872636291636,0.9322034057617623,1.0,0.2923058709694942,0.7698504702535993,0.689767891066442,-0.057912682547463186,-0.09200586932825516,-0.12246571878939833,-0.19702113674181815,-0.5873824845098873,-0.7970300560941131,-0.4618116752708614,0.05610875029201548,0.11808923960474567,0.2918531015839518,0.09559996683209307,0.33138877414330514,0.37474747191477426,0.37474747191477426,0.0045700829360186225
A03_donchian_breakout_20,0.40065855150113766,0.33717363618659746,0.23792029318920743,0.19290778444327375,0.15453011310918427,0.3115433370768351,0.4540695433425746,0.37837628701570075,0.2923058709694942,1.0,0.21021032187923414,0.37244200364935987,-0.42826821064710596,-0.43656848696922523,-0.4298437914672991,-0.4124999887676181,-0.4736407088471898,-0.42748212239985645,-0.47842056463483745,-0.003908161525422204,0.006075307988651595,0.9998627236050445,0.33854803589083915,0.3836229802876065,0.30716169151502126,0.30716169151502126,0.013053377654004857
