,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.6475062030256796,0.4266172135271854,0.33281645661770476,0.23535898984814563,0.6497747153113353,0.8615754836287103,0.7382465296168831,0.5632946344275922,0.32193656228358286,0.5298124380054811,0.73248533724294,-0.2229703011277636,-0.3225167972065653,-0.40277090477981226,-0.5804983358252612,-0.8833677178365799,-0.8437338551444988,-0.7175722166192217,0.018696977261920104,0.009874987133361502,0.2859383805864576,0.143803266989298,0.44541076224480314,0.5290192238836003,0.5290192238836002,-0.006386632912982751,0.5338328266617715,0.22124918900373128,-0.1898643084943579,0.05279915490704899
A01_ts_momentum_24,0.6475062030256796,1.0,0.6247151503764942,0.46211713443364033,0.3188221476686411,0.7753947028240464,0.7800045593593031,0.8437363491405421,0.7097851562558917,0.2731431221374618,0.661579762316279,0.8397950549254171,-0.13201771304817106,-0.1924969162037169,-0.2397677918665152,-0.353387404891145,-0.6856693801527173,-0.8368853984273616,-0.5525492938839657,0.03366594185527646,0.05912759151857426,0.24148315993348227,0.11118188470184193,0.31552589231039674,0.35097531003114085,0.3509753100311409,-0.004346486633976168,0.8263057346277259,0.308068547932927,-0.18223939032392328,0.12361211207331926
A01_ts_momentum_48,0.4266172135271854,0.6247151503764942,1.0,0.6955840926131837,0.4536140773700897,0.843280780597975,0.5709137484881507,0.8042347928446739,0.8063548493343772,0.2037073770832387,0.6395152335996045,0.5620575618760238,-0.05536648602433223,-0.08307917789861183,-0.1062424555111786,-0.16410753583551246,-0.4367030556468132,-0.6590142305610328,-0.3519528115668617,0.015545898413627435,0.11861314446840991,0.18313658833460722,0.07864723570220657,0.23612663314034543,0.24587383254436856,0.24587383254436868,-0.01628407379182651,0.5178619339943809,0.17018403636045532,-0.11322752890812458,0.14170209512908236
A01_ts_momentum_72,0.33281645661770476,0.46211713443364033,0.6955840926131837,1.0,0.6114409907552779,0.8329763923441038,0.44862078006974904,0.7012397456302263,0.8198915044474252,0.1669151428719515,0.5584550188981248,0.4285468873184937,-0.023477124633493714,-0.035429812470479966,-0.04630100597639569,-0.07575370111149776,-0.332315060624681,-0.5230990022730946,-0.24892296307530004,-0.007775505457104598,0.16481882600301426,0.14965115002858648,0.06053131392786998,0.19836509573364206,0.21568324513746834,0.21568324513746856,-0.0039689656355731545,0.3673602996608499,0.1459489908943403,-0.06063761820597131,0.13017237425376305
A01_ts_momentum_120,0.23535898984814563,0.3188221476686411,0.4536140773700897,0.6114409907552779,1.0,0.7153409882712787,0.32073597184796715,0.5207244413859133,0.7206874336154508,0.12150044996137635,0.42011537124365855,0.3048856099242633,0.0025881032594736917,0.003965161408951638,0.002767714405743281,-0.0013950058796559689,-0.2326859833716141,-0.3704983795318119,-0.14871780211828486,-0.061922927847136704,0.2606999172888363,0.10887335345442023,0.040743746468303775,0.14685705996837567,0.16657330887010677,0.16657330887010663,-0.016992267672132216,0.26840662201062865,0.06964689774227151,-0.026307236985571653,0.18815555409188683
A16_momentum_ensemble,0.6497747153113353,0.7753947028240464,0.843280780597975,0.8329763923441038,0.7153409882712787,1.0,0.7493492602124514,0.9313325951768492,0.9538204862339941,0.273134399186903,0.7282050068528098,0.7237130230724566,-0.10060817152389008,-0.1470798410911323,-0.1854122241626569,-0.27626380506276876,-0.6360650124645426,-0.8188354261435602,-0.49775512745252337,-0.004075658790700098,0.17152187141985745,0.2435724654995759,0.10832888417306191,0.33492240062004064,0.374504868881634,0.3745048688816343,-0.013015879269834862,0.6383831031319699,0.2301442325606563,-0.14044622694700565,0.17173151654476776
A02_ema_distance_20,0.8615754836287103,0.7800045593593031,0.5709137484881507,0.44862078006974904,0.32073597184796715,0.7493492602124514,1.0,0.894171880077023,0.7129274383453893,0.446612315447302,0.6355379295778406,0.8564274990134436,-0.36300700029026156,-0.497265398000006,-0.5848549593096483,-0.7268327862045018,-0.9369225563359065,-0.9790396487971156,-0.885180092484639,0.014971377926680612,0.037420595992317694,0.38954869518981283,0.2102779027615855,0.5988326855446362,0.5756494882989317,0.5756494882989319,-0.005376608261309532,0.6412702570279886,0.27947158379463094,-0.1766601236743474,0.07433213371495427
A02_ema_distance_50,0.7382465296168831,0.8437363491405421,0.8042347928446739,0.7012397456302263,0.5207244413859133,0.9313325951768492,0.894171880077023,1.0,0.925022613034176,0.343142547198635,0.7649850402984508,0.8390796796995001,-0.19400435839153857,-0.27413523599618184,-0.33172506602723556,-0.44914838109870975,-0.7811268632126929,-0.9456744064008574,-0.6660429510717222,0.013327140530690236,0.10616902349412201,0.3012460394023059,0.14604688817317632,0.4418902375452909,0.45650108851351456,0.4565010885135144,-0.010788916675381111,0.6978612852009594,0.2677316052214203,-0.16273831164597366,0.13123955929989445
A02_ema_distance_100,0.5632946344275922,0.7097851562558917,0.8063548493343772,0.8198915044474252,0.7206874336154508,0.9538204862339941,0.7129274383453893,0.925022613034176,1.0,0.26619173483693254,0.7201245771440833,0.6813526988870668,-0.09944428490835731,-0.14263741151073317,-0.1748720385741603,-0.24698279187519717,-0.5862534400302472,-0.7852119368813165,-0.4664415735385133,-0.01726653110781017,0.20264336413031017,0.2372652186928793,0.106066078585189,0.33405638479212085,0.3543407989718709,0.35434079897187115,-0.012405551924076141,0.5863317045639257,0.20286644445601507,-0.1101016929068655,0.18383221069146705
A03_donchian_breakout_20,0.32193656228358286,0.2731431221374618,0.2037073770832387,0.1669151428719515,0.12150044996137635,0.273134399186903,0.446612315447302,0.343142547198635,0.26619173483693254,1.0,0.23383861868868766,0.3454667152154998,-0.4444658029093771,-0.4371387268592553,-0.4180815404329742,-0.3848779537419293,-0.3825301069329059,-0.38690909339947827,-0.5046938360310615,-0.0022678452566514884,0.028354221267417046,0.8739886284659828,0.3891381741820655,0.38282437630426186,0.28606254661072433,0.28606254661072433,-0.009075298927384368,0.22054633752265543,0.12787555412836663,-0.04901485921533833,0.02644120305231123
