,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.675510169457693,0.47970561031976405,0.3870040546806283,0.2963362254479412,0.662456771963798,0.8748173356436189,0.7446446253315735,0.5827033915909786,0.4093248379770588,0.5132040096896313,0.7391861721965356,-0.20858058890690234,-0.3079953893857416,-0.3904120508779741,-0.5773174194365865,-0.8798444054919421,-0.8514619904432893,-0.7227750830136331,-0.0034362987469979483,0.019383686303990542,0.4092987885841609,0.11412072308291843,0.4375259421199703,0.5322854393108255,0.5322854394885496,0.0043323138156154285,0.5384875738974118,0.2283213036639958,-0.1894165574524037,0.06311219396825259
A01_ts_momentum_24,0.675510169457693,1.0,0.6887777961476901,0.540359443229942,0.41549490658992616,0.7983791867765807,0.8123457556668148,0.8681820344429722,0.7432997093017125,0.3453644721223852,0.6778621300730191,0.8788008840367529,-0.1262690885765906,-0.18680247736695363,-0.2353592212984036,-0.3566590543110204,-0.6928339292497258,-0.8662063821920332,-0.5648407040282111,0.00044040143099198303,0.07505241813053408,0.3453314133180386,0.09386816783811734,0.3120897128608057,0.36522266480273874,0.36522266464523734,0.005174996138378406,0.8129710282577965,0.32708121980887017,-0.17757573291948414,0.1393282815471737
A01_ts_momentum_48,0.47970561031976405,0.6887777961476901,1.0,0.762806505542634,0.5587582767063495,0.8679159646885957,0.6171107599750311,0.8494613505004903,0.8489071242311284,0.25051983722048715,0.7120728228953245,0.6067701177658099,-0.05842600077969357,-0.08810348135359186,-0.11121635723282348,-0.1771674189056408,-0.47350947338445387,-0.7087023971514642,-0.37623171481909606,-0.012650191480311594,0.13990591237687042,0.2512075201182369,0.06844312776704811,0.2445029943915604,0.2799856850963521,0.27998569254164113,0.0004538939036928322,0.5446271964847218,0.20186308157151112,-0.11338334073562208,0.18001573680553493
A01_ts_momentum_72,0.3870040546806283,0.540359443229942,0.762806505542634,1.0,0.6943063947963094,0.8494724189307957,0.4921638008141906,0.7528614694012122,0.8600764512376956,0.20517967050117422,0.6378504974551581,0.4752613783370077,-0.023203052263643133,-0.03442035232903334,-0.04559874440639147,-0.08181827899716022,-0.3726610968114364,-0.5732565232468786,-0.2697530249934311,-0.050125798427020085,0.20099102725897589,0.2056712438410059,0.05360671053127161,0.20520560391317927,0.23656615160863048,0.2365661552717859,0.00012707987738847494,0.4069538615511578,0.16912428506992508,-0.07005101132423036,0.18147849795707716
A01_ts_momentum_120,0.2963362254479412,0.41549490658992616,0.5587582767063495,0.6943063947963094,1.0,0.7471522852088365,0.3755956785091907,0.5917569607869186,0.7893559911523739,0.15672557294783557,0.5077133522073753,0.3640430355558715,0.005303708075399971,0.007641275280629466,0.0077897859858856566,-0.004591041426379379,-0.2853400511554017,-0.435405853908105,-0.1733944114739912,-0.10394520601044396,0.3142665433095315,0.1557152662616692,0.03680986391064413,0.16826730295847958,0.19801485213113368,0.1980148519353654,-0.003108872011827721,0.32212488638150566,0.09730871841576298,-0.03210351098525694,0.2520516701041921
A16_momentum_ensemble,0.662456771963798,0.7983791867765807,0.8679159646885957,0.8494724189307957,0.7471522852088365,1.0,0.7517656664284098,0.9328377267663438,0.9538723067980389,0.3181735439706975,0.7662990338092319,0.7302752148625453,-0.08622028192181999,-0.12809253796843717,-0.16368839783865516,-0.25783638035862816,-0.6366483788189459,-0.8226867868710546,-0.4868451846769552,-0.04228898515902087,0.18500591442583572,0.3182679804270662,0.08200658696298199,0.3186195323710055,0.372999800502726,0.3729998018803242,0.0031644113117823823,0.6398228514348893,0.2332974668265029,-0.13361031651456307,0.21605403114214708
A02_ema_distance_20,0.8748173356436189,0.8123457556668148,0.6171107599750311,0.4921638008141906,0.3755956785091907,0.7517656664284098,1.0,0.8923250838918794,0.720119889529723,0.4625904412021483,0.5977104175348936,0.8488999875850675,-0.3203897626548801,-0.4501627732456773,-0.5382439631803501,-0.691685629086112,-0.955577150273691,-0.9839960766736011,-0.8776719642780123,-0.0039346222613815375,0.0400349916149465,0.4623338403425012,0.12896052814327277,0.5573844572230016,0.5548310032673942,0.5548310012889915,0.009796039274224188,0.6552958601784119,0.26960950468414174,-0.17460086284559495,0.0849531641590332
A02_ema_distance_50,0.7446446253315735,0.8681820344429722,0.8494613505004903,0.7528614694012122,0.5917569607869186,0.9328377267663438,0.8923250838918794,1.0,0.9309869715388812,0.3938416372791581,0.7738898488147901,0.8382921290148208,-0.16987468689168422,-0.24533695128718658,-0.3005603823307635,-0.4209199254076676,-0.7791484258051548,-0.9469765354921635,-0.6512457184185567,-0.014584463572045426,0.11503475840600942,0.39392741256541886,0.10575972207651513,0.41549933833955277,0.4436379359810039,0.44363793598632983,0.00592251275941077,0.7023853169168155,0.2625056182044326,-0.1561890978643698,0.16225304630599605
A02_ema_distance_100,0.5827033915909786,0.7432997093017125,0.8489071242311284,0.8600764512376956,0.7893559911523739,0.9538723067980389,0.720119889529723,0.9309869715388812,1.0,0.3152890503455329,0.7588689006575088,0.6891995760121887,-0.08828837909430151,-0.12852772989526243,-0.15899876252223172,-0.23451587930666942,-0.5935098236596232,-0.7945578102609491,-0.4618189678371596,-0.0508521418376552,0.21521397895040328,0.3153235554382252,0.08314258148708296,0.3233605982475972,0.3546547505269674,0.3546547499591316,0.002694273124206359,0.5899058350771939,0.21017953434476558,-0.10488091892492357,0.23037735691834244
A03_donchian_breakout_20,0.4093248379770588,0.3453644721223852,0.25051983722048715,0.20517967050117422,0.15672557294783557,0.3181735439706975,0.4625904412021483,0.3938416372791581,0.3152890503455329,1.0,0.2371117148349542,0.3830928818264526,-0.4189485636170732,-0.43353163011234636,-0.42842424558655906,-0.4144399263645536,-0.4818971916531787,-0.439558710179616,-0.48252706869470907,0.001031276056144863,0.017236794411623606,0.9998271864790836,0.2883467516223881,0.3804142062739902,0.3163897831326683,0.3163897831323671,0.007467101612294828,0.2714954469620247,0.13451977312699656,-0.05413942353307141,0.017821890604952102
