,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.6550833527300544,0.44913416758841884,0.3456977851648677,0.2755640828637296,0.6549207944446864,0.8690872596104418,0.7355321186120419,0.5576096335149925,0.32089018041657275,0.5187150848934897,0.7357871868435147,-0.23140528129231497,-0.33329459678732254,-0.411741108894209,-0.5898582451579586,-0.886249697473141,-0.8458259281612901,-0.7335243511280429,0.016272603299200224,-0.014492537260621292,0.2814235600163078,0.16761840311335532,0.4786131278643543,0.5281285607033385,0.5281285607033381,0.023174112635824494,0.5535260613724158,0.3052763764637377,-0.12820853507613558,0.01157660391554235
A01_ts_momentum_24,0.6550833527300544,1.0,0.6390912892016432,0.48780868472059047,0.38892843815954475,0.7866071254927638,0.7908867291363253,0.8460755385592058,0.706325375975046,0.27089845349613195,0.6603280375724494,0.8440948619129417,-0.1288307006058497,-0.1897564454723934,-0.23554015030638364,-0.3523803193984488,-0.6896705279828301,-0.8485065708066126,-0.5648211602168864,0.05752893861758004,0.0011694252060682059,0.2375768714221025,0.1258509037006851,0.345290602294254,0.3709823619761502,0.3709823619761501,0.024552802748534903,0.8646356783126335,0.38967427419705686,-0.19728980406562885,0.08041433087272284
A01_ts_momentum_48,0.44913416758841884,0.6390912892016432,1.0,0.7234206774809273,0.5556892357189969,0.8640417660076641,0.599485504862314,0.825147365340397,0.8261713143736829,0.19616138058224897,0.6616561841282227,0.5863728452055579,-0.05420005800931228,-0.08401624254645404,-0.10666226166149918,-0.16484394195624083,-0.46416336277142306,-0.6884346670618451,-0.3758550242094403,0.10708534132657846,0.022726765786924476,0.1670169157886913,0.08635816870970264,0.2555655342768269,0.2875940632617482,0.28759406326174825,0.019837025764908128,0.5526015065078711,0.23845108737696885,-0.237400899128147,0.2002253343361972
A01_ts_momentum_72,0.3456977851648677,0.48780868472059047,0.7234206774809273,1.0,0.6864290588611202,0.8462862023208935,0.4737814501101766,0.7266167044109433,0.8402844923316889,0.15970444580574014,0.5947570992731642,0.45681190151556894,-0.012597413979793913,-0.025111287942976034,-0.036203697424134436,-0.06601289769719916,-0.3523867126343159,-0.5529484872917774,-0.2621244832935702,0.07800858183802446,0.06950385300214997,0.13815656683148808,0.07513963610969879,0.21795736741163718,0.2394617294157527,0.2394617294157529,0.02391618330910491,0.41836965478606397,0.18205319533586814,-0.22385286230230383,0.24757757856050105
A01_ts_momentum_120,0.2755640828637296,0.38892843815954475,0.5556892357189969,0.6864290588611202,1.0,0.76794350840939,0.38273400833723165,0.6024372792582531,0.7899516080907222,0.140509445556186,0.5095451014859814,0.3686103052603272,0.0036389618632404266,0.0022239767809386028,-0.0004294935825306221,-0.008849681158519307,-0.28313081616654284,-0.44378383179047376,-0.18882307745286414,0.002175111408172989,0.14653612126029938,0.12130820168614205,0.061913121444158156,0.19222274527496813,0.2231713418282124,0.22317134182821216,0.008149493405025889,0.3323120866592653,0.14803828947455366,-0.13803743804353757,0.2950487395188573
A16_momentum_ensemble,0.6549207944446864,0.7866071254927638,0.8640417660076641,0.8462862023208935,0.76794350840939,1.0,0.7650738886266586,0.9412044245608578,0.9555204169628361,0.26639872764278477,0.7464124375933747,0.7379930461029677,-0.09545896374214663,-0.1428375442633047,-0.1797820684910914,-0.2704876988108299,-0.6475206627187426,-0.8363863030843717,-0.5118461575005259,0.06727538710609318,0.06394045812117534,0.23116285362300473,0.12560801521931592,0.3629175067973795,0.40231748886217655,0.40231748886217683,0.024551832278116765,0.6755706737768142,0.3103573815651697,-0.2367527996917883,0.22588012370627422
A02_ema_distance_20,0.8690872596104418,0.7908867291363253,0.599485504862314,0.4737814501101766,0.38273400833723165,0.7650738886266586,1.0,0.8917356757738256,0.7094322739319372,0.43308979733093095,0.6407048796364847,0.8643206222130838,-0.35518716516634535,-0.4872744019382939,-0.5727033708913255,-0.7162376802831969,-0.9343242863001523,-0.9766327602304999,-0.8841069131261334,0.022137627331985526,0.00674961022604028,0.37563152707644754,0.24047806523719092,0.613312234359722,0.5658826490133624,0.5658826490133623,0.0255420702689394,0.6725107535263964,0.3651793801061714,-0.167683688843767,0.05262996702272339
A02_ema_distance_50,0.7355321186120419,0.8460755385592058,0.825147365340397,0.7266167044109433,0.6024372792582531,0.9412044245608578,0.8917356757738256,1.0,0.9245983810363908,0.324700711239835,0.7721490040676221,0.8390355015016087,-0.17926551232398624,-0.25564696823194466,-0.310014500673933,-0.42406161021018524,-0.7755308895618861,-0.9465336980523997,-0.6608316002220059,0.06921936285858037,0.0419457570858161,0.28107055616620946,0.161772712595657,0.45277418892534466,0.4636380164775823,0.4636380164775823,0.025211790464754375,0.7259315136043034,0.3511581713219953,-0.2470732514861362,0.1724410639064128
A02_ema_distance_100,0.5576096335149925,0.706325375975046,0.8261713143736829,0.8402844923316889,0.7899516080907222,0.9555204169628361,0.7094322739319372,0.9245983810363908,1.0,0.24916967198875076,0.7268573888084886,0.6794616656203226,-0.08239625955094176,-0.12166559683242009,-0.15091162764629545,-0.21857677706644466,-0.58070348891723,-0.7852015245415331,-0.45871411579961957,0.062476711572848134,0.10227931303651022,0.21535240305887857,0.11693735664693844,0.34691837766589134,0.375572231754262,0.375572231754262,0.0205116031357975,0.612369932738824,0.2662971379938845,-0.23108290692930644,0.27535041371259544
A03_donchian_breakout_20,0.32089018041657275,0.27089845349613195,0.19616138058224897,0.15970444580574014,0.140509445556186,0.26639872764278477,0.43308979733093095,0.324700711239835,0.24916967198875076,1.0,0.20625132400672297,0.3328376460669493,-0.466944009890512,-0.4507195718557127,-0.42823408109330174,-0.38873048415974737,-0.38112909892397273,-0.3693973239918513,-0.5082076858510317,-0.013327183798048127,0.010559631092225477,0.8812003039757876,0.4150527823082484,0.3849465720950401,0.270879682195017,0.27087968219501707,0.00516938096109728,0.2266621032561236,0.13955685470143211,-0.0059466590258439025,0.006032255095422357
