alpha_a,alpha_b,correlation
A12_close_location_value_10,A13_intraday_range_position_10,1.0
A02_ema_distance_20,A06_rsi_reversion_14,-0.9782723717006999
A16_momentum_ensemble,A02_ema_distance_100,0.9537425996345511
A02_ema_distance_50,A06_rsi_reversion_14,-0.945258824911003
A16_momentum_ensemble,A02_ema_distance_50,0.9401755355935284
A02_ema_distance_20,A05_bollinger_reversion_20,-0.9333735850757681
A02_ema_distance_50,A02_ema_distance_100,0.9207568628438101
A05_bollinger_reversion_20,A06_rsi_reversion_14,0.8987592699177802
A02_ema_distance_20,A02_ema_distance_50,0.8902777962886302
A09_efficiency_ratio_20,A06_rsi_reversion_14,-0.888192404248811
A01_ts_momentum_12,A05_bollinger_reversion_20,-0.8871807284753341
A05_bollinger_reversion_20,A17_mean_reversion_ensemble,0.8851179060323346
A02_ema_distance_20,A17_mean_reversion_ensemble,-0.8833513661653761
A03_donchian_breakout_20,A15_volatility_adjusted_breakout_20,0.8824050192885121
A01_ts_momentum_24,A20_market_breadth_24,0.8774833872324788
A01_ts_momentum_12,A02_ema_distance_20,0.8716504876978047
A02_ema_distance_20,A09_efficiency_ratio_20,0.8641000370909074
A01_ts_momentum_48,A16_momentum_ensemble,0.8518842789861399
A01_ts_momentum_12,A06_rsi_reversion_14,-0.8491630802640435
A01_ts_momentum_72,A16_momentum_ensemble,0.8476192883169114
A01_ts_momentum_24,A09_efficiency_ratio_20,0.8438945243509846
A01_ts_momentum_24,A06_rsi_reversion_14,-0.8431970031873407
A01_ts_momentum_72,A02_ema_distance_100,0.8408292224280007
A01_ts_momentum_24,A02_ema_distance_50,0.8402969584035975
A02_ema_distance_50,A09_efficiency_ratio_20,0.8363095779672649
A04_short_reversion_6,A17_mean_reversion_ensemble,0.8339810855451967
A04_short_reversion_3,A17_mean_reversion_ensemble,0.8316938804778313
A16_momentum_ensemble,A06_rsi_reversion_14,-0.8304034270710837
A01_ts_momentum_48,A02_ema_distance_50,0.8186550759448504
A01_ts_momentum_48,A02_ema_distance_100,0.8128927574857743
A06_rsi_reversion_14,A17_mean_reversion_ensemble,0.8105928079586968
A04_short_reversion_2,A04_short_reversion_3,0.8024017819856655
A04_short_reversion_1,A18_btc_lead_eth_lag_1,-0.8014888655317582
A04_short_reversion_2,A18_btc_lead_eth_lag_2,-0.801324827724653
A04_short_reversion_3,A18_btc_lead_eth_lag_3,-0.7978710978407362
A01_ts_momentum_24,A02_ema_distance_20,0.78646655293237
A04_short_reversion_2,A17_mean_reversion_ensemble,0.7852071715476431
A18_btc_lead_eth_lag_2,A18_btc_lead_eth_lag_3,0.7849304622190338
A02_ema_distance_100,A06_rsi_reversion_14,-0.7763188304927034
A01_ts_momentum_120,A02_ema_distance_100,0.7746991518941536
A01_ts_momentum_24,A16_momentum_ensemble,0.7732491617177342
A02_ema_distance_50,A08_trend_quality,0.7713023171204756
A09_efficiency_ratio_20,A05_bollinger_reversion_20,-0.7711933699021074
A02_ema_distance_50,A05_bollinger_reversion_20,-0.767552305634441
A16_momentum_ensemble,A02_ema_distance_20,0.7599116708289484
A01_ts_momentum_120,A16_momentum_ensemble,0.7515435368509084
