,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.6867697269660372,0.49961239101057386,0.38024437339633177,0.3232364794542713,0.6662344471112782,0.8848063451095259,0.7500627685258019,0.5843586664980706,0.4195166193112405,0.49057048721853524,0.7542654948354355,-0.21284567270507945,-0.31841100074697515,-0.40498852311945177,-0.5980072993119926,-0.8882576321072352,-0.8599874430294884,-0.7357870598238014,-0.07432056796946047,0.11482207200338852,0.41998193832398106,0.12525159641488154,0.4534469408484952,0.5524285055459726,0.5524285055459726,0.029371744537194957,0.5463287501039227,0.2924661730534329,-0.25199578837750836,0.08900930890994016
A01_ts_momentum_24,0.6867697269660372,1.0,0.7091260632478212,0.5612745957138662,0.45070486397454057,0.8097051166402808,0.8164470317484194,0.8733115327685224,0.7469571876075499,0.3561376553564491,0.664440707747538,0.888454717881886,-0.1269080130063432,-0.19269477566122198,-0.24345595138050932,-0.3646518223463098,-0.6973009617031825,-0.870535932481597,-0.5721769366092572,-0.07987479279333298,0.20051825018432257,0.3561104714740394,0.09768165749084652,0.31327614907907564,0.3548154244133936,0.3548154244133936,0.01588073500062696,0.8004162535807537,0.4107996476901937,-0.29320111276097416,0.21023405027564943
A01_ts_momentum_48,0.49961239101057386,0.7091260632478212,1.0,0.7930042844398228,0.5887797284860915,0.8805554297784179,0.6407577039552442,0.867247409115891,0.8609937634646752,0.2566880722488964,0.722013041055086,0.6305436501305939,-0.06190837185724635,-0.09671690194717578,-0.12446538201384996,-0.19543791730380677,-0.49511388840811094,-0.7327478157372512,-0.3979575280665077,-0.01668568142727772,0.3014460079799902,0.2565044621725152,0.06973893794515508,0.2376047893310239,0.2830900481858423,0.2830900481858423,0.011266673161469697,0.5429101702580407,0.28101394582766936,-0.2915283646842135,0.3434556211176141
A01_ts_momentum_72,0.38024437339633177,0.5612745957138662,0.7930042844398228,1.0,0.7214151342148829,0.8592818790840901,0.4980267719249108,0.7674518411202935,0.8722268916234677,0.19748487973071768,0.6575117717637817,0.4879570925313492,-0.009180823023613746,-0.02119942641867233,-0.033890497040262646,-0.06805484964902989,-0.3680327607490989,-0.5843476991463888,-0.26364487812482884,-0.001727906617045321,0.3718227312557969,0.1971809390914385,0.05436578493755984,0.18385907621838737,0.22407128827757614,0.22407128827757614,0.013078400930899237,0.4253594831944632,0.20942814753254685,-0.21785931276997325,0.41697136996233675
A01_ts_momentum_120,0.3232364794542713,0.45070486397454057,0.5887797284860915,0.7214151342148829,1.0,0.7680134645880231,0.40800659817507284,0.6278240123617091,0.8165483354627343,0.16994494691516293,0.5195898024127966,0.3988892459151297,0.010815177406895311,0.01114413683457775,0.006626413123504527,-0.0065599899355370025,-0.31165968878342853,-0.4698869479659533,-0.1923792190946673,0.003182385697085171,0.4509515097927691,0.16975095229905446,0.051117131130531124,0.15952483317525507,0.1767242227761533,0.1767242227761533,0.005700694870614101,0.33514899872749504,0.16877565644971118,-0.11642704598460116,0.476948719599573
A16_momentum_ensemble,0.6662344471112782,0.8097051166402808,0.8805554297784179,0.8592818790840901,0.7680134645880231,1.0,0.7637579478584653,0.9403112127634004,0.9532914566454884,0.32528410562495713,0.7591698307343924,0.7454589053186601,-0.08527174586897969,-0.1329518078012302,-0.17237888001652504,-0.2678775706446112,-0.6433010558087763,-0.8343692772949968,-0.4978654711334662,-0.026312439923692598,0.35363995973516316,0.32535666429826593,0.08789482902484802,0.3107963624495795,0.36971150858442875,0.36971150858442875,0.01651588838627324,0.6414295967593918,0.31707765884669015,-0.27977912622856066,0.3754310114831779
A02_ema_distance_20,0.8848063451095259,0.8164470317484194,0.6407577039552442,0.4980267719249108,0.40800659817507284,0.7637579478584653,1.0,0.8934815702742968,0.7212854199513626,0.47446172875061465,0.577246329992155,0.8530633250347718,-0.32187398980045673,-0.4571607990017635,-0.5491602273137364,-0.7037299371421016,-0.9561425976652621,-0.9833492766930849,-0.8801682262317416,-0.07545484832726705,0.160686380813459,0.47482044200620854,0.13917895399443364,0.5717278200477591,0.5634848626377279,0.5634848626377279,0.03854610176572168,0.6528686465553121,0.3381208913673866,-0.27533182705844206,0.14822236584241355
A02_ema_distance_50,0.7500627685258019,0.8733115327685224,0.867247409115891,0.7674518411202935,0.6278240123617091,0.9403112127634004,0.8934815702742968,1.0,0.9306107509656764,0.399811784519256,0.7620065895024364,0.8434455686140653,-0.16584875049003073,-0.24573992885777404,-0.3053003374785793,-0.42624396608914933,-0.7777146985738536,-0.9484323616388701,-0.6531204452215967,-0.049665954630148515,0.2851931079925937,0.3997507744137301,0.10988626809902483,0.41319688913882374,0.4440154474657557,0.4440154474657557,0.027895414818855137,0.6960236843195872,0.34236075783069486,-0.3096701177281088,0.31810697465907456
A02_ema_distance_100,0.5843586664980706,0.7469571876075499,0.8609937634646752,0.8722268916234677,0.8165483354627343,0.9532914566454884,0.7212854199513626,0.9306107509656764,1.0,0.31349474801102345,0.7534382931368981,0.6938989410933877,-0.07975196546261865,-0.12243673941688572,-0.1569760950922309,-0.23089197387010896,-0.5908021446263679,-0.7963781861973261,-0.4616038121996842,-0.03138069522249344,0.4063781314381932,0.31308608423234513,0.0856900771724275,0.3068568617052409,0.3396409367611652,0.3396409367611652,0.020486816718057403,0.5872422337480832,0.2795849264090215,-0.24640246872805627,0.4589199010585445
A03_donchian_breakout_20,0.4195166193112405,0.3561376553564491,0.2566880722488964,0.19748487973071768,0.16994494691516293,0.32528410562495713,0.47446172875061465,0.399811784519256,0.31349474801102345,1.0,0.22291479489141575,0.3924612134243779,-0.4341918189957147,-0.4442996246238611,-0.4357333765633746,-0.42388970086708144,-0.4926383970414957,-0.4491357805261057,-0.495682410755719,-0.041576788029055914,0.05444515461327136,0.9998452476961411,0.30445326535947065,0.38804623133786414,0.31651694606329656,0.31651694606329656,0.024886566252184297,0.28139723454722143,0.15547637704882944,-0.08036809597288971,0.051217164279673814
A08_trend_quality,0.49057048721853524,0.664440707747538,0.722013041055086,0.6575117717637817,0.5195898024127966,0.7591698307343924,0.577246329992155,0.7620065895024364,0.7534382931368981,0.22291479489141575,1.0,0.6056228058625731,0.017002322602351985,-0.020241591493820207,-0.046019824706409584,-0.12646315716032477,-0.477049292495192,-0.6555419666255732,-0.32649644990616244,-0.18878562430833978,0.4000374912702674,0.22287223982647927,0.05401633440762603,0.18085302856353005,0.246358104752252,0.246358104752252,0.020208363853980713,0.5132490474033868,0.31442741864511886,-0.2139025322651111,0.2418749532633118
A09_efficiency_ratio_20,0.7542654948354355,0.888454717881886,0.6305436501305939,0.4879570925313492,0.3988892459151297,0.7454589053186601,0.8530633250347718,0.8434455686140653,0.6938989410933877,0.3924612134243779,0.6056228058625731,1.0,-0.14681690324301203,-0.22462547167426256,-0.2872366634498454,-0.4331736500133177,-0.7874538442387338,-0.8857714846410739,-0.6332857821376562,-0.08987463513876785,0.16702908637113567,0.3928269340354785,0.10240231234209435,0.3450792447112608,0.39513216289134795,0.39513216289134795,0.02038163150838442,0.7101114477428705,0.3713839616441564,-0.29036581040108733,0.1585938385995339
A04_short_reversion_1,-0.21284567270507945,-0.1269080130063432,-0.06190837185724635,-0.009180823023613746,0.010815177406895311,-0.08527174586897969,-0.32187398980045673,-0.16584875049003073,-0.07975196546261865,-0.4341918189957147,0.017002322602351985,-0.14681690324301203,1.0,0.6473689842096977,0.5160096089564497,0.35674433939424754,0.3480646001668457,0.2613500499346487,0.5924151891204997,0.013362935684153957,0.032193317090824076,-0.4340151760244271,-0.09061190037398853,-0.29896361303407504,-0.23661156189029756,-0.23661156189029756,-0.014227692459438834,-0.0959271505984447,-0.06713756002783303,-0.018738909310663954,0.04535979977011452
A04_short_reversion_2,-0.31841100074697515,-0.19269477566122198,-0.09671690194717578,-0.02119942641867233,0.01114413683457775,-0.1329518078012302,-0.4571607990017635,-0.24573992885777404,-0.12243673941688572,-0.4442996246238611,-0.020241591493820207,-0.22462547167426256,0.6473689842096977,1.0,0.7791300623928811,0.540352898109129,0.4950485834258544,0.37741662938534,0.7535538664860455,0.02786553238850675,0.03831868469810245,-0.44431077258634216,-0.15151800614197444,-0.42288095044433605,-0.31241530464993206,-0.31241530464993206,-0.04674341736517297,-0.14996908196442327,-0.09589437069152554,-0.0344185381033928,0.06381187132418513
