year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2015,252,10000.0,10269.69695999799,0.026969695999798926,0.027139111741895094,0.2248502380387904,0.2847798603412967,0.3736252496425706,0.1546010734968014,-0.17554284150851374,-0.09334557245882327,202.0,1.0405219430061898,0.5079365079365079,,,,,,,0.026969695999798926,0.026969695999798926,0.45454545454545453,363.0,1.0,1,,True
2016,252,10000.0,8794.656991802043,-0.12053430081979566,-0.12186314800767695,0.17959766397419605,-0.9468824977539549,-1.572186926633662,-0.4804814423415039,-0.25362716906153115,-0.13643885841881942,240.0,0.8742330523423687,0.4246031746031746,,,,,,,-0.12053430081979566,-0.12053430081979566,0.36363636363636365,361.0,0.0,1,,False
2017,251,10000.0,9513.849200216238,-0.04861507997837622,-0.04930627911457863,0.16693091457016918,-0.3507624514697209,-0.4867595183657988,-0.31836810145301997,-0.15487191992397054,-0.08838922937118913,211.0,0.95210096191847,0.4701195219123506,,,,,,,-0.04861507997837622,-0.04861507997837622,0.5454545454545454,360.0,0.0,1,,False
2018,251,10000.0,8312.194606774412,-0.16878053932255876,-0.16973243445233843,0.24724378782131784,-0.9625314172637741,-1.1354292554936052,-0.5637168010782323,-0.3010952203796088,-0.20738047294451947,233.0,0.8699110407447285,0.5059760956175299,,,,,,,-0.16878053932255876,-0.16878053932255876,0.36363636363636365,363.0,0.0,1,,False
2019,252,10000.0,11269.16441167674,0.12691644116767398,0.1277513559552097,0.19526203251460325,0.9849520936802284,1.3582285956905353,0.845038445207886,-0.15117815843725535,-0.06448218432076036,83.0,1.1489222069375105,0.49206349206349204,,,,,,,0.12691644116767398,0.12691644116767398,0.6363636363636364,363.0,1.0,1,,True
2020,253,10000.0,11070.82508907359,0.10708250890735904,0.1074693261049875,0.1574996922030431,1.011388883724911,1.421377020083616,1.0155788108460986,-0.10582076443230704,-0.05121934754213787,197.0,1.156633187809409,0.4980237154150198,,,,,,,0.10708250890735904,0.10708250890735904,0.45454545454545453,364.0,1.0,1,,True
2021,252,10000.0,10151.619228806077,0.015161922880607692,0.015341784311397655,0.20948746716806152,0.21044299491727547,0.22654890040733555,0.1200571806118938,-0.1277873112895488,-0.05653091378310696,165.0,1.0317852102051137,0.5436507936507936,,,,,,,0.015161922880607692,0.015161922880607692,0.6363636363636364,361.0,1.0,1,,True
2022,251,10000.0,13001.32771405203,0.3001327714052029,0.30415636665069345,0.2107800704152797,1.9183788893754299,2.9877540082318617,2.0251390525353536,-0.15019036162969046,-0.04970514286875238,68.0,1.2923732410765363,0.5179282868525896,,,,,,,0.3001327714052029,0.3001327714052029,0.5454545454545454,361.0,1.0,1,,True
2023,250,10000.0,8889.423004669005,-0.11105769953309963,-0.11258252018791604,0.1805306240645859,-0.8612157399213908,-0.9648830956926868,-0.7354510112379568,-0.15307956406016787,-0.0795641371228581,205.0,0.8759375923793787,0.464,,,,,,,-0.11105769953309963,-0.11105769953309963,0.5454545454545454,360.0,0.0,1,,False
2024,252,10000.0,9701.55102004087,-0.029844897995913056,-0.029945837253875007,0.18106162919840613,-0.1516823650555647,-0.2093597873753114,-0.13615759295723942,-0.21993512519922087,-0.1070992465459165,155.0,0.9800132243565876,0.503968253968254,,,,,,,-0.029844897995913056,-0.029844897995913056,0.5454545454545454,364.0,0.0,1,,False
2025,250,10000.0,9848.350549910714,-0.01516494500892862,-0.015258221819818396,0.1684412353273072,-0.048230047310648304,-0.07138489600120712,-0.09109455924569995,-0.1674987172248561,-0.09400718908784801,243.0,0.9934448229928372,0.464,,,,,,,-0.01516494500892862,-0.01516494500892862,0.45454545454545453,363.0,0.0,1,,False
