year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2014,12,10000.0,11056.206578640002,0.10562065786400021,0.11605619082909269,0.14129196391259147,0.7705592812392044,1.296136041508975,3.059432168470713,-0.037933898984629066,-0.027030481726550936,123.99999999999999,1.8099479000028764,0.5,,,,,,,0.10562065786400021,0.10562065786400021,0.5454545454545454,334.0,1.0,1,,True
2015,12,10000.0,11598.783183992087,0.15987831839920874,0.17608589749064962,0.14632827879406635,1.0731277053286918,2.3141107791287046,1.6997670077667808,-0.1035941377177323,-0.04702594812639908,185.99999999999997,2.19465720006374,0.5,,,,,,,0.15987831839920874,0.15987831839920874,0.5454545454545454,334.0,1.0,1,,True
2016,12,10000.0,9334.347633879646,-0.06656523661203528,-0.07235331215200436,0.23535632904638124,-0.1713047522131639,-0.31632808802875584,-0.31036590692158855,-0.23312261604263074,-0.17731393608608886,309.99999999999994,0.8725635127290763,0.5,,,,,,,-0.06656523661203528,-0.06656523661203528,0.45454545454545453,335.0,0.0,1,,False
2017,12,10000.0,9516.211612671432,-0.048378838732856866,-0.05278377320761407,0.12456311027648057,-0.32729795563314856,-1.000193646120173,-0.5367283881117083,-0.09834354652511557,-0.07054557524281034,216.99999999999997,0.80647574626192,0.5833333333333334,,,,,,,-0.048378838732856866,-0.048378838732856866,0.6363636363636364,334.0,0.0,1,,False
2018,12,10000.0,11495.349240180873,0.1495349240180872,0.16462148650848052,0.09120914864479414,1.5541284715537174,4.680846667856692,4.432696915403463,-0.03713799739757229,-0.01860428005622905,123.99999999999999,2.931153310425939,0.75,,,,,,,0.1495349240180872,0.1495349240180872,0.8181818181818182,334.0,1.0,1,,True
2019,12,10000.0,8853.700847455999,-0.11462991525440003,-0.12465815073126174,0.11019142514876529,-1.0227660762597917,-1.2171373984410614,-1.1801499078466435,-0.10562908144332173,-0.03336852276025628,92.99999999999999,0.4458857474775985,0.4166666666666667,,,,,,,-0.11462991525440003,-0.11462991525440003,0.45454545454545453,334.0,0.0,1,,False
2020,12,10000.0,6465.277021219781,-0.3534722978780219,-0.3784394542524788,0.2985504582269856,-1.2444438191362723,-1.5001834070575477,-0.9413997685733634,-0.4019965448111187,-0.19292060987117626,278.99999999999994,0.3265587599945318,0.25,,,,,,,-0.3534722978780219,-0.3534722978780219,0.2727272727272727,335.0,0.0,1,,False
2021,12,10000.0,12106.921476348336,0.21069214763483357,0.23254447618761187,0.23602722700541254,0.9184500287432366,2.3447689438038957,3.053922410490765,-0.07614616382812489,-0.04556797653793385,92.99999999999999,1.8134565961880351,0.5833333333333334,,,,,,,0.21069214763483357,0.21069214763483357,0.6363636363636364,334.0,1.0,1,,True
2022,12,10000.0,12836.78923066184,0.28367892306618403,0.31402583517373905,0.21480409008802354,1.2609718076639616,3.5090161690031163,2.0773450864928917,-0.15116690877002903,-0.0747560393479653,123.99999999999999,2.1711773412972843,0.6666666666666666,,,,,,,0.28367892306618403,0.28367892306618403,0.6363636363636364,334.0,1.0,1,,True
2023,12,10000.0,8200.087214531066,-0.17999127854689345,-0.195075623300889,0.3077938192368224,-0.4682684389660811,-0.8200876619184605,-0.9671203925392994,-0.20170769307086245,-0.1208107928791914,123.99999999999999,0.7299228863108133,0.5,,,,,,,-0.17999127854689345,-0.17999127854689345,0.5454545454545454,334.0,0.0,1,,False
2024,12,10000.0,7459.751690545155,-0.25402483094548456,-0.2735067688580871,0.16257026463325436,-1.6659146690397213,-5.388050905438784,-0.9593403016957158,-0.2850988000552469,-0.1777721339226338,340.99999999999994,0.3554124030377736,0.4166666666666667,,,,,,,-0.25402483094548456,-0.25402483094548456,0.36363636363636365,335.0,0.0,1,,False
2025,12,10000.0,6057.933048177911,-0.39420669518220897,-0.42195969579171955,0.20798930540013605,-2.207246289852603,-3.210590408705295,-0.9386422210749771,-0.4495426333033171,-0.289375315380176,278.99999999999994,0.20902590431477508,0.3333333333333333,,,,,,,-0.39420669518220897,-0.39420669518220897,0.36363636363636365,334.0,0.0,1,,False
