regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
2008_2009,505,10000.0,10936.168661922571,0.09361686619225718,0.04585766704563099,0.1682539550176676,0.4681646636837838,0.5075606794362754,0.31585418565428036,-0.14518619390982113,-0.024023582191148342,244.0,1.1139163173128945,0.4752475247524752,,,,,,,0.10056519473734427,-0.006313418394759185,0.7391304347826086,729.0,0.5,2,,period
2010_2019,2516,10000.0,12271.295664434487,0.22712956644344873,0.020704447484267918,0.03260616219825811,0.9276428799332351,0.8934114142833955,0.35942945235965035,-0.057603647526220936,-0.008452401576619877,450.0,1.1966072334892282,0.36645468998410174,,,,,,,0.04492339360343878,0.002791304007418116,0.7058823529411765,3648.0,1.0,10,0.08536326946985194,period
2020_plus,1683,10000.0,12617.876575746253,0.2617876575746254,0.03531835342124756,0.06111819955656772,0.8566183684171811,0.7547302951768081,0.29667452002455114,-0.11904747808583227,-0.01693989980749759,618.0,1.197509235276853,0.43612596553773025,,,,,,,0.08008913139091622,-0.010268746068658241,0.6875,2446.9583333333335,0.8333333333333334,6,0.17481280715838593,period
inception_2007,1830,10000.0,14478.915599164866,0.44789155991648655,0.052153116682569056,0.24655768836904388,0.4200177423142586,0.45779564865412653,0.13720119481205653,-0.3801214468577362,-0.07462280751009295,606.0,1.1389784796602502,0.46502732240437156,,,,,,,0.1082027962771035,-0.002448808166010563,0.6781609195402298,2659.0416666666665,0.8571428571428571,7,-0.07540136197907087,period
2001,248,10000.0,10525.271368207586,0.05252713682075871,0.05286117626684472,0.5355346369228652,0.40079747054159964,0.5180198976969335,0.13906391418800562,-0.38012144685773586,-0.151995033330683,222.0,1.0988704404258567,0.47580645161290325,,,,,,,0.05252713682075871,0.05252713682075871,0.45454545454545453,363.0,1.0,1,,event
2002,252,10000.0,10790.960953546602,0.07909609535466022,0.07960537768164011,0.2771108571975381,0.5350861317544607,0.6226326683402219,0.461222535964209,-0.1725964615220309,-0.06393749345696774,93.0,1.147612487989385,0.45634920634920634,,,,,,,0.07909609535466022,0.07909609535466022,0.5454545454545454,363.0,1.0,1,,event
2008,253,10000.0,9936.865816052408,-0.006313418394759185,-0.006335030270637199,0.23529412619679055,0.07778785919116182,0.10045460354723026,-0.04363383390690749,-0.14518619390982113,-0.03472226929603726,159.0,1.0149854245287664,0.4743083003952569,,,,,,,-0.006313418394759185,-0.006313418394759185,0.5454545454545454,364.0,0.0,1,,event
2020,253,10000.0,10542.22867213187,0.05422286721318703,0.05441404888127255,0.121687778567449,0.688409278240036,0.49286120639379094,0.45707855181980805,-0.11904747808583227,-0.010101715121063955,52.0,1.218126696835875,0.45454545454545453,,,,,,,0.05422286721318703,0.05422286721318703,0.7272727272727273,364.0,1.0,1,,event
2022,251,10000.0,9897.312539313418,-0.010268746068658241,-0.01038900835890788,0.058390308122111136,-0.2279921395306316,-0.2909567193835421,-0.18469307812781025,-0.05625012298359411,-0.016409373439164175,176.0,0.9664840047913978,0.40239043824701193,,,,,,,-0.010268746068658241,-0.010268746068658241,0.5454545454545454,361.0,0.0,1,,event
2025,250,10000.0,10800.891313909162,0.08008913139091622,0.0806050433211205,0.03177794728937775,3.558530878836784,4.638968049229215,4.439970441792694,-0.018154409894804435,-0.003072415611290241,26.0,1.73801190178586,0.464,,,,,,,0.08008913139091622,0.08008913139091622,0.9090909090909091,363.0,1.0,1,,event
other_days,5027,10000.0,19276.392908496524,0.9276392908496525,0.025578439877372405,0.07073540313919618,0.7091231852315586,0.7118998951782449,0.1311050401023436,-0.19509882959042069,-0.015207205653750888,606.0,1.208341979991407,0.410185000994629,,,,,,,0.1082027962771035,-0.002448808166010563,0.7208333333333333,9491.0,0.9473684210526315,19,0.08536326946985162,event
