year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2001,248,10000.0,8865.02444073997,-0.11349755592600308,-0.11415928106845963,1.0710692738457304,0.34666820748466987,0.4708602562150896,-0.17606031514538278,-0.6484100688686827,-0.35510820618766314,222.0,1.0849231840176832,0.47580645161290325,,,,,,,-0.11349755592600308,-0.11349755592600308,0.45454545454545453,363.0,0.0,1,,False
2002,252,10000.0,10615.848859924597,0.061584885992459704,0.061978203438417756,0.5542217143950762,0.4304778333598905,0.5436887105219614,0.18544726380117535,-0.3342093173446161,-0.1277652921965034,93.0,1.1169202133065619,0.45634920634920634,,,,,,,0.061584885992459704,0.061584885992459704,0.45454545454545453,363.0,1.0,1,,False
2003,252,10000.0,11756.118177315551,0.1756118177315551,0.17679133912288014,0.14331610278019283,1.7102422956167684,1.569187832898812,2.2386239954139655,-0.07897321724642192,-0.012716886402174556,32.0,1.3369421144186406,0.5476190476190477,,,,,,,0.1756118177315551,0.1756118177315551,0.8181818181818182,363.0,1.0,1,,True
2004,252,10000.0,9679.685960626373,-0.0320314039373627,-0.03213961502997764,0.1534854305012289,-0.23054333077964076,-0.3195451106836341,-0.15084280145747445,-0.21306694598242681,-0.10504697282087762,209.0,0.9673805104623324,0.44047619047619047,,,,,,,-0.0320314039373627,-0.0320314039373627,0.6363636363636364,364.0,0.0,1,,False
2005,252,10000.0,9552.020458478819,-0.04479795415211818,-0.04531322118551395,0.07316153121790016,-0.8712887713117922,-1.1951110577432635,-0.4756384226881144,-0.09526821010258613,-0.045900001285838876,251.0,0.8844659602048918,0.40476190476190477,,,,,,,-0.04479795415211818,-0.04479795415211818,0.6363636363636364,361.0,0.0,1,,False
2006,251,10000.0,10764.27871090667,0.07642787109066695,0.0775846120921968,0.05871291124346647,1.8549594043045508,2.7015768283870476,2.492640936648971,-0.031125466548944325,-0.00867381329574712,146.0,1.306504080806586,0.4701195219123506,,,,,,,0.07642787109066695,0.07642787109066695,0.6363636363636364,360.0,1.0,1,,True
2007,251,10000.0,11003.557336058107,0.10035573360581074,0.10130089179944424,0.10759216296095284,1.347412412184291,1.8404361551356025,1.1108247500701776,-0.09119430566616782,-0.011865644574024491,35.0,1.2342695835694315,0.5099601593625498,,,,,,,0.10035573360581074,0.10035573360581074,0.5454545454545454,362.0,1.0,1,,True
2008,253,10000.0,9136.07733777386,-0.08639226622261387,-0.0866756978333344,0.4705882523935811,-0.045411541094125624,-0.06056980071312076,-0.29974564930646763,-0.28916415645691307,-0.08038564648992802,159.0,0.9913595080771368,0.4743083003952569,,,,,,,-0.08639226622261387,-0.08639226622261387,0.5454545454545454,364.0,0.0,1,,False
2009,252,10000.0,11628.340214157934,0.16283402141579328,0.16392187692926408,0.06717034469990184,3.289842919299276,4.496045359398425,5.938910982665988,-0.027601335902778468,-0.006608746725171182,55.0,1.6326450837468005,0.47619047619047616,,,,,,,0.16283402141579328,0.16283402141579328,0.7272727272727273,363.0,1.0,1,,True
2010,252,10000.0,9866.12872799474,-0.013387127200526039,-0.013543659788600726,0.1095431945612239,-0.12319369189693287,-0.13939221750324632,-0.1157850625884191,-0.11697242706293076,-0.04098006798856058,184.0,0.9744145929637075,0.38095238095238093,,,,,,,-0.013387127200526039,-0.013387127200526039,0.5454545454545454,361.0,0.0,1,,False
