year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2012,250,10000.0,9342.207566692938,-0.06577924333070617,-0.06617316889723002,0.04667545978989396,-2.1061629658133767,-1.5516777884138446,-0.9051933343234702,-0.07310390652256293,-0.034356202107431275,40.0,0.4943995503941798,0.064,,,,,,,-0.06577924333070617,-0.06577924333070617,0.0,363.0,0.0,1,,False
2013,252,10000.0,10407.677839346921,0.04076778393469205,0.04102559099621117,0.10400373502115333,0.6089605337812432,0.9132590469049947,0.29804338809458497,-0.13764972696925448,-0.0826548423483926,175.0,1.0865170933807085,0.5515873015873016,,,,,,,0.04076778393469205,0.04076778393469205,0.5454545454545454,363.0,1.0,1,,True
2014,252,10000.0,10597.247399887114,0.059724739988711306,0.06010584432150856,0.07134612032900267,1.214237783329762,2.1608097597629654,1.433549322660125,-0.04192799185309848,-0.01609372438564859,101.0,1.1760642461927824,0.5198412698412699,,,,,,,0.059724739988711306,0.059724739988711306,0.7272727272727273,363.0,1.0,1,,True
2015,252,10000.0,11255.144822611686,0.12551448226116868,0.12633966753830017,0.12312814349181182,1.45374553035508,2.296314177825003,1.8171361703616546,-0.06952680244824772,-0.03602949303948798,126.0,1.2156144401449327,0.5317460317460317,,,,,,,0.12551448226116868,0.12551448226116868,0.45454545454545453,363.0,1.0,1,,True
2016,252,10000.0,9106.25287816601,-0.08937471218339899,-0.09037786780642743,0.1953522355066535,-0.5967511419389704,-0.911568653215831,-0.39716624731669603,-0.22755676852459494,-0.09369201644981337,125.0,0.9214100639523192,0.4801587301587302,,,,,,,-0.08937471218339899,-0.08937471218339899,0.36363636363636365,361.0,0.0,1,,False
2017,251,10000.0,10986.23454738394,0.09862345473839396,0.1001314475094448,0.09191723903090201,1.5353112852975208,2.4182106712219116,1.9252930070384677,-0.052008420091583574,-0.020049263857877114,77.0,1.227543374276801,0.549800796812749,,,,,,,0.09862345473839396,0.09862345473839396,0.6363636363636364,360.0,1.0,1,,True
2018,251,10000.0,10947.343176067616,0.09473431760676165,0.09534866098992034,0.12455154476084371,1.120047402461415,1.5578235656830806,1.170442420977768,-0.08146377752633716,-0.034004449415780395,138.0,1.1654820830684505,0.5737051792828686,,,,,,,0.09473431760676165,0.09473431760676165,0.7272727272727273,363.0,1.0,1,,True
2019,252,10000.0,10590.220473929185,0.059022047392918386,0.05939854337421191,0.14585503364946587,0.6429806008212293,0.9081677380298897,0.6580277441648323,-0.09026753643890872,-0.030939557930262488,83.0,1.092791837506853,0.5317460317460317,,,,,,,0.059022047392918386,0.059022047392918386,0.45454545454545453,363.0,1.0,1,,True
2020,253,10000.0,7282.037469138681,-0.27179625308613187,-0.27258897920519953,0.34856540842645634,-1.1378081164817757,-1.5061973592156086,-0.7674169795773779,-0.35520321606034344,-0.17466870190312575,206.0,0.8443428760146717,0.5019762845849802,,,,,,,-0.27179625308613187,-0.27179625308613187,0.2727272727272727,364.0,0.0,1,,False
2021,252,10000.0,9364.463180795898,-0.06355368192041022,-0.06427731433977524,0.21052433944861842,-0.34654953180290543,-0.521707348196734,-0.34712177606050526,-0.18517223283788264,-0.10585604038716702,251.0,0.9544146752126662,0.48412698412698413,,,,,,,-0.06355368192041022,-0.06355368192041022,0.5454545454545454,361.0,0.0,1,,False
2022,251,10000.0,9439.339584331918,-0.05606604156680828,-0.05670702187860588,0.19257074392779758,-0.3396215080992022,-0.5451287455344128,-0.40786208066367213,-0.13903479770988358,-0.06805582935096956,183.0,0.9556810430095127,0.4860557768924303,,,,,,,-0.05606604156680828,-0.05606604156680828,0.45454545454545453,361.0,0.0,1,,False
2023,250,10000.0,8784.457806497514,-0.12155421935024857,-0.12321292787019789,0.159776295834386,-1.104691413299098,-1.6156077991463635,-0.7892147459204156,-0.15612091450027554,-0.1010791519709932,249.0,0.8588641132570614,0.464,,,,,,,-0.12155421935024857,-0.12155421935024857,0.5454545454545454,360.0,0.0,1,,False
2024,252,10000.0,11366.570737643453,0.13665707376434533,0.13715717063254718,0.1549879557203821,1.2755887239016723,2.075416615687497,1.3102780858919334,-0.10467790929982734,-0.028163240718072427,82.0,1.1912544567209593,0.5595238095238095,,,,,,,0.13665707376434533,0.13665707376434533,0.5454545454545454,364.0,1.0,1,,True
2025,250,10000.0,8518.817330917322,-0.1481182669082678,-0.14896431195739623,0.2727352800604837,-0.721259903886981,-1.0420781466293212,-0.46550143173007047,-0.32000827882260074,-0.17145856796302672,187.0,0.9057307792957895,0.476,,,,,,,-0.1481182669082678,-0.1481182669082678,0.36363636363636365,363.0,0.0,1,,False
