funding_time,spot,perp_mark,funding_rate
2020-09-01 00:00:00+00:00,11649.51,11656.74760273,0.0001
2020-09-01 08:00:00+00:00,11923.74,11931.17996946,0.00022961
2020-09-01 16:00:00+00:00,12039.33,12049.12,0.0004686
2020-09-02 00:00:00+00:00,11921.97,11930.01,0.00032895
2020-09-02 08:00:00+00:00,11723.59,11737.41,0.00035074
2020-09-02 16:00:00+00:00,11329.66,11339.25582753,0.00045038
2020-09-03 00:00:00+00:00,11388.54,11393.78472566,0.00021394
2020-09-03 08:00:00+00:00,11400.44,11408.71,0.00016828
2020-09-03 16:00:00+00:00,10670.28,10677.69283023,0.00024709
2020-09-04 00:00:00+00:00,10138.29,10145.0,0.0001
2020-09-04 08:00:00+00:00,10295.59,10296.54720954,0.0001
2020-09-04 16:00:00+00:00,10424.67,10423.57813289,0.0001
2020-09-05 00:00:00+00:00,10446.25,10448.32785862,0.0001
2020-09-05 08:00:00+00:00,10406.77,10408.60160187,0.0001
2020-09-05 16:00:00+00:00,10274.13,10274.17245831,0.0001
2020-09-06 00:00:00+00:00,10166.69,10168.03465009,0.0001
2020-09-06 08:00:00+00:00,10230.36,10232.56,0.0001
2020-09-06 16:00:00+00:00,10173.44,10176.25,0.0001
2020-09-07 00:00:00+00:00,10255.89,10255.57985074,0.0001
2020-09-07 08:00:00+00:00,10113.81,10115.99363791,0.0001
2020-09-07 16:00:00+00:00,10144.0,10147.19,0.0001
2020-09-08 00:00:00+00:00,10373.45,10375.17359633,0.0001
2020-09-08 08:00:00+00:00,10264.29,10271.13080467,0.0001
2020-09-08 16:00:00+00:00,10098.58,10098.42918706,0.0001
2020-09-09 00:00:00+00:00,10126.66,10128.34973413,0.0001
2020-09-09 08:00:00+00:00,10190.0,10191.96,0.0001
2020-09-09 16:00:00+00:00,10246.11,10247.56680215,0.0001
2020-09-10 00:00:00+00:00,10219.29,10219.61770314,0.0001
2020-09-10 08:00:00+00:00,10275.22,10274.87687473,0.0001
2020-09-10 16:00:00+00:00,10414.15,10418.92080124,0.0001
2020-09-11 00:00:00+00:00,10336.86,10336.58514392,0.0001
2020-09-11 08:00:00+00:00,10260.76,10260.52361511,0.0001
2020-09-11 16:00:00+00:00,10318.77,10318.18369968,0.0001
2020-09-12 00:00:00+00:00,10387.89,10387.49325869,0.0001
2020-09-12 08:00:00+00:00,10343.97,10343.47057113,0.0001
2020-09-12 16:00:00+00:00,10360.0,10359.86,0.0001
2020-09-13 00:00:00+00:00,10440.67,10438.30820618,0.0001
2020-09-13 08:00:00+00:00,10542.27,10540.08,0.0001
2020-09-13 16:00:00+00:00,10280.15,10282.08373102,0.0001
2020-09-14 00:00:00+00:00,10332.84,10327.72,0.0001
2020-09-14 08:00:00+00:00,10399.31,10395.8,0.0001
2020-09-14 16:00:00+00:00,10698.03,10687.9627181,8.68e-06
2020-09-15 00:00:00+00:00,10671.77,10665.40030613,-0.0002227
2020-09-15 08:00:00+00:00,10741.37,10735.41,-2.796e-05
2020-09-15 16:00:00+00:00,10785.23,10782.50274572,-5.156e-05
2020-09-16 00:00:00+00:00,10785.23,10778.77,-0.00011181
2020-09-16 08:00:00+00:00,10916.09,10901.58605452,-1.488e-05
2020-09-16 16:00:00+00:00,11004.99,10998.0,-3.198e-05
2020-09-17 00:00:00+00:00,10954.01,10948.17,-5.63e-06
2020-09-17 08:00:00+00:00,10882.38,10878.65071947,2.957e-05
2020-09-17 16:00:00+00:00,10838.3,10833.18746032,9.8e-07
2020-09-18 00:00:00+00:00,10940.0,10935.99,9.425e-05
2020-09-18 08:00:00+00:00,10954.14,10948.92,5.579e-05
2020-09-18 16:00:00+00:00,10899.42,10894.97577184,4.967e-05
2020-09-19 00:00:00+00:00,10933.4,10926.29,-0.0001155
2020-09-19 08:00:00+00:00,10900.28,10895.48320576,-0.0001098
2020-09-19 16:00:00+00:00,11090.57,11084.82411091,-5.749e-05
2020-09-20 00:00:00+00:00,11080.64,11074.77995234,-6.476e-05
2020-09-20 08:00:00+00:00,10962.6,10956.70625422,-0.00011198
2020-09-20 16:00:00+00:00,10834.62,10829.0,-6.625e-05
2020-09-21 00:00:00+00:00,10920.28,10914.02,-7.506e-05
2020-09-21 08:00:00+00:00,10902.58,10896.18,-0.00012071
2020-09-21 16:00:00+00:00,10418.77,10416.13633438,0.0001
2020-09-22 00:00:00+00:00,10417.22,10414.59,0.0001
2020-09-22 08:00:00+00:00,10372.91,10374.11889032,0.0001
2020-09-22 16:00:00+00:00,10451.06,10449.07839136,0.0001
2020-09-23 00:00:00+00:00,10529.61,10523.34173499,4.321e-05
2020-09-23 08:00:00+00:00,10428.63,10423.76,-2.604e-05
2020-09-23 16:00:00+00:00,10453.02,10446.62027706,-5.506e-05
2020-09-24 00:00:00+00:00,10241.46,10237.76,3.817e-05
2020-09-24 08:00:00+00:00,10341.69,10337.48325629,6.991e-05
2020-09-24 16:00:00+00:00,10545.07,10537.14707132,1.182e-05
2020-09-25 00:00:00+00:00,10736.33,10725.25794891,-0.00023219
2020-09-25 08:00:00+00:00,10686.93,10682.49,2.542e-05
2020-09-25 16:00:00+00:00,10647.62,10642.68103089,0.0001
2020-09-26 00:00:00+00:00,10686.57,10683.51,0.0001
2020-09-26 08:00:00+00:00,10705.84,10701.84728853,0.0001
2020-09-26 16:00:00+00:00,10721.0,10717.78,0.0001
2020-09-27 00:00:00+00:00,10728.59,10726.5,0.0001
2020-09-27 08:00:00+00:00,10671.28,10668.3461881,0.0001
2020-09-27 16:00:00+00:00,10754.82,10750.0,0.0001
2020-09-28 00:00:00+00:00,10774.26,10767.81700517,0.0001
2020-09-28 08:00:00+00:00,10854.0,10852.93,0.0001
2020-09-28 16:00:00+00:00,10901.89,10898.96,0.0001
2020-09-29 00:00:00+00:00,10696.11,10692.29943654,0.0001
2020-09-29 08:00:00+00:00,10727.0,10722.0,0.0001
2020-09-29 16:00:00+00:00,10725.94,10722.5,0.0001
2020-09-30 00:00:00+00:00,10840.58,10836.99,0.0001
2020-09-30 08:00:00+00:00,10706.56,10700.98668221,0.0001
2020-09-30 16:00:00+00:00,10777.39,10773.26,0.0001
2020-10-01 00:00:00+00:00,10776.59,10772.99,7.412e-05
2020-10-01 08:00:00+00:00,10824.75,10819.60882952,0.0001
2020-10-01 16:00:00+00:00,10716.23,10716.03203735,0.0001
2020-10-02 00:00:00+00:00,10619.13,10614.37827925,-2.63e-06
2020-10-02 08:00:00+00:00,10490.88,10488.21529999,-1.652e-05
2020-10-02 16:00:00+00:00,10512.74,10507.55082454,0.0001
2020-10-03 00:00:00+00:00,10570.4,10565.15,0.0001
2020-10-03 08:00:00+00:00,10527.75,10523.31506675,0.0001
2020-10-03 16:00:00+00:00,10541.97,10539.03710017,9.749e-05
2020-10-04 00:00:00+00:00,10542.07,10537.96,-2.144e-05
2020-10-04 08:00:00+00:00,10612.83,10607.86,5.039e-05
2020-10-04 16:00:00+00:00,10591.45,10586.81,-7.56e-06
2020-10-05 00:00:00+00:00,10666.62,10661.71538043,-3.381e-05
2020-10-05 08:00:00+00:00,10686.31,10678.36071066,-9.143e-05
2020-10-05 16:00:00+00:00,10726.01,10718.75,-6.912e-05
2020-10-06 00:00:00+00:00,10792.2,10784.99,-1.26e-06
2020-10-06 08:00:00+00:00,10711.15,10708.07,-8.313e-05
2020-10-06 16:00:00+00:00,10735.01,10729.89083246,6.937e-05
2020-10-07 00:00:00+00:00,10599.65,10594.33560387,5.11e-06
2020-10-07 08:00:00+00:00,10618.69,10612.17,-8.58e-06
2020-10-07 16:00:00+00:00,10629.7,10624.88,1.553e-05
2020-10-08 00:00:00+00:00,10666.4,10661.67459466,2.693e-05
