funding_time,spot,perp_mark,funding_rate
2020-09-13 16:00:00+00:00,3.0799,3.07906713,0.0001
2020-09-14 00:00:00+00:00,3.2656,3.26614922,0.0001
2020-09-14 08:00:00+00:00,3.371,3.36619433,0.0001
2020-09-14 16:00:00+00:00,3.38,3.38217011,0.0001
2020-09-15 00:00:00+00:00,3.264,3.2661,0.0001
2020-09-15 08:00:00+00:00,3.1819,3.18395474,0.0001
2020-09-15 16:00:00+00:00,3.0768,3.07753248,0.0001
2020-09-16 00:00:00+00:00,2.9288,2.932316,0.0001
2020-09-16 08:00:00+00:00,2.7425,2.59738479,0.0001
2020-09-16 16:00:00+00:00,2.5414,2.53522008,0.0001
2020-09-17 00:00:00+00:00,2.5376,2.53581499,0.0001
2020-09-17 08:00:00+00:00,2.531,2.52989963,0.0001
2020-09-17 16:00:00+00:00,2.6053,2.60672148,0.0001
2020-09-18 00:00:00+00:00,2.883,2.88371257,0.0001
2020-09-18 08:00:00+00:00,2.9499,2.95180373,0.0001
2020-09-18 16:00:00+00:00,2.9056,2.91502609,0.0001
2020-09-19 00:00:00+00:00,3.1084,3.108,-1.36e-05
2020-09-19 08:00:00+00:00,3.08,3.0767,0.0001
2020-09-19 16:00:00+00:00,3.0207,3.012,0.0001
2020-09-20 00:00:00+00:00,3.0216,3.02350083,0.0001
2020-09-20 08:00:00+00:00,2.9579,2.9473,-0.00020633
2020-09-20 16:00:00+00:00,2.8115,2.8076,-0.00042585
2020-09-21 00:00:00+00:00,2.8628,2.8635,0.0001
2020-09-21 08:00:00+00:00,2.7312,2.72931025,0.0001
2020-09-21 16:00:00+00:00,2.6821,2.68388483,0.0001
2020-09-22 00:00:00+00:00,2.7571,2.75474134,-4.279e-05
2020-09-22 08:00:00+00:00,2.666,2.67017028,0.0001
2020-09-22 16:00:00+00:00,2.8894,2.89631346,0.0001
2020-09-23 00:00:00+00:00,2.9184,2.91152001,0.0001
2020-09-23 08:00:00+00:00,2.7806,2.77199976,0.0001
2020-09-23 16:00:00+00:00,2.9142,2.9083,0.0001
2020-09-24 00:00:00+00:00,2.855,2.83865554,-8.917e-05
2020-09-24 08:00:00+00:00,3.0362,3.03953307,0.0001
2020-09-24 16:00:00+00:00,3.028,3.02592897,0.0001
2020-09-25 00:00:00+00:00,3.1409,3.14011842,0.0001
2020-09-25 08:00:00+00:00,2.9985,3.0010085,0.0001
2020-09-25 16:00:00+00:00,3.1337,3.1311,-0.00039395
2020-09-26 00:00:00+00:00,3.185,3.18434547,-0.00044892
2020-09-26 08:00:00+00:00,3.1262,3.13126293,0.0001
2020-09-26 16:00:00+00:00,3.1296,3.1318,0.0001
2020-09-27 00:00:00+00:00,3.1292,3.1262,0.0001
