funding_time,ADAUSDT__funding,ADAUSDT__mark,BCHUSDT__funding,BCHUSDT__mark,LINKUSDT__funding,LINKUSDT__mark,LTCUSDT__funding,LTCUSDT__mark
2020-02-01 00:00:00+00:00,0.0001,0.053867,0.00048232,375.05642495,0.00108462,2.82415625,4.512e-05,67.98182365
2020-02-01 08:00:00+00:00,0.0001,0.05486326,0.0004103,383.80772862,0.0017312,2.84530625,0.0,72.17986761
2020-02-01 16:00:00+00:00,0.0001,0.05389353,0.00021097,378.58734867,0.00048394,2.7753625,0.0,69.56667364
2020-02-02 00:00:00+00:00,0.0001,0.05602045,0.00032438,379.91225686,0.0,2.83691875,0.0,70.72060269
2020-02-02 08:00:00+00:00,0.0014449,0.05779615,0.00042793,379.39212424,0.0,2.82235,0.00034305,70.77869422
2020-02-02 16:00:00+00:00,0.00179835,0.05765694,0.00031351,380.53978795,0.0,2.8590375,0.00024822,72.01277273
2020-02-03 00:00:00+00:00,0.00164031,0.0557664,0.0001,377.26986238,0.00016181,2.8264,0.00010603,69.94363636
2020-02-03 08:00:00+00:00,0.00071241,0.05656517,0.00012047,382.89231594,0.0,2.82694375,0.00026918,70.72151155
2020-02-03 16:00:00+00:00,0.00048046,0.05556705,0.00046286,379.84406707,0.0,2.75236875,0.00066319,68.78427273
2020-02-04 00:00:00+00:00,0.00014095,0.0569585,0.00011499,384.4533159,0.00023249,2.77120625,0.00033326,69.64175827
2020-02-04 08:00:00+00:00,0.00031409,0.05609731,0.00025089,383.24068923,0.00024878,2.7404625,0.00060785,68.62130665
2020-02-04 16:00:00+00:00,0.00073434,0.0561479,0.00029743,379.28309576,0.00078991,2.736425,0.00091288,68.26136114
2020-02-05 00:00:00+00:00,0.00040653,0.05597723,0.00025594,380.98494946,0.00035389,2.73876875,0.0008389,68.08139172
2020-02-05 08:00:00+00:00,0.0001,0.05717967,0.0001,385.84072206,0.00019977,2.79253125,0.00058266,69.34085908
2020-02-05 16:00:00+00:00,0.00031833,0.0599719,0.0001,435.88059081,7.234e-05,2.8607125,0.00037833,71.91206737
2020-02-06 00:00:00+00:00,0.00162987,0.05933076,0.0001155,445.03063636,0.00069867,2.83796875,0.00062993,72.5730257
2020-02-06 08:00:00+00:00,0.00396642,0.06031736,0.0001,438.76809957,0.00106287,2.87185625,0.00079581,73.24406914
2020-02-06 16:00:00+00:00,0.00146499,0.05987992,0.00079137,443.19077273,0.00248768,2.88615625,0.0003813,73.71570701
2020-02-07 00:00:00+00:00,0.00052055,0.06004854,0.00079957,445.5475,0.00236885,2.88953125,0.00022691,73.5556
