year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2007,251,10000.0,9608.174070121655,-0.03918259298783455,-0.03952732495864475,0.029903264419494136,-1.9299880016217947,-2.7862745129561572,-0.8589370533826659,-0.046018884390862214,-0.02336981548930631,246.0,0.7647389786507856,0.49800796812749004,,,,,,,-0.03918259298783455,-0.03918259298783455,0.18181818181818182,362.0,0.0,1,,False
2008,253,10000.0,10190.407974128215,0.019040797412821497,0.019106805504127244,0.10298069350455126,0.3158703964774859,0.3927849962744613,0.5639889182434,-0.033877980375283445,-0.010808639767911197,109.0,1.059196981461665,0.525691699604743,,,,,,,0.019040797412821497,0.019040797412821497,0.7272727272727273,364.0,1.0,1,,True
2009,252,10000.0,10078.62326506436,0.007862326506435924,0.007911252201624697,0.0652999079841362,0.20647683531454342,0.2736800125064494,0.28081964789441544,-0.028172003849955773,-0.013175867708026664,238.0,1.0331491909218684,0.49206349206349204,,,,,,,0.007862326506435924,0.007862326506435924,0.5454545454545454,363.0,1.0,1,,True
2010,252,10000.0,10025.863702608282,0.002586370260828197,0.002616859024002105,0.05004631830145517,0.0998573984130252,0.13594029576711844,0.11544683843179317,-0.022667221203707233,-0.008756302060727039,120.0,1.013616873736532,0.5277777777777778,,,,,,,0.002586370260828197,0.002586370260828197,0.5454545454545454,361.0,1.0,1,,True
2011,252,10000.0,10357.497186602153,0.03574971866021537,0.03617811844289065,0.045026156280605356,1.1533076339150767,1.5711174055173962,2.0670721329318966,-0.01750210738489144,-0.0058970755440548635,90.0,1.175603882868843,0.5277777777777778,,,,,,,0.03574971866021537,0.03574971866021537,0.6363636363636364,361.0,1.0,1,,True
2012,250,10000.0,9854.623536207482,-0.0145376463792517,-0.014627093511566991,0.02055945474248628,-1.0303478121554113,-1.5751254703087287,-1.0802511098153873,-0.013540456824031155,-0.0065821366518272004,158.0,0.8725826608609599,0.492,,,,,,,-0.0145376463792517,-0.0145376463792517,0.36363636363636365,363.0,0.0,1,,False
2013,252,10000.0,10453.312377679289,0.04533123776792891,0.04561853043531805,0.021211403610647647,3.040262194967703,4.96562102550954,7.699611713964512,-0.0059247832397290034,-0.001987300150984552,49.0,1.4963463547274907,0.5396825396825397,,,,,,,0.04533123776792891,0.04533123776792891,0.8181818181818182,363.0,1.0,1,,True
2014,252,10000.0,9965.212366520393,-0.0034787633479608226,-0.00350028814909753,0.01953492532820114,-0.24878766245228784,-0.3650696826392011,-0.19516264088026117,-0.017935236648314645,-0.010635315152667767,245.0,0.9667726095199927,0.4880952380952381,,,,,,,-0.0034787633479608226,-0.0034787633479608226,0.5454545454545454,363.0,0.0,1,,False
2015,252,10000.0,9715.564802720473,-0.02844351972795267,-0.02861727554418947,0.018545914858675946,-2.2457470627869847,-3.4453944010928357,-0.8187699477558702,-0.034951546063244354,-0.014167504727572472,186.0,0.7445773104062141,0.44841269841269843,,,,,,,-0.02844351972795267,-0.02844351972795267,0.36363636363636365,363.0,0.0,1,,False
2016,252,10000.0,10026.137170985363,0.0026137170985363056,0.0026445286578691274,0.027294038341129836,0.15226001165981487,0.24978294235202783,0.11688016329570816,-0.02262598359978707,-0.009317346791616199,210.0,1.0213200348553624,0.49603174603174605,,,,,,,0.0026137170985363056,0.0026137170985363056,0.5454545454545454,361.0,1.0,1,,True
