funding_time,funding_rate,mark_price
2021-05-13 16:00:00+00:00,0.0001,1.3018
2021-05-14 00:00:00+00:00,0.0001,1.3641
2021-05-14 08:00:00+00:00,0.0001,1.3788
2021-05-14 16:00:00+00:00,0.0001,1.4116
2021-05-15 00:00:00+00:00,0.00023757,1.4
2021-05-15 08:00:00+00:00,0.0001,1.3472
2021-05-15 16:00:00+00:00,0.00020199,1.5176
2021-05-16 00:00:00+00:00,0.00061419,1.4918
2021-05-16 08:00:00+00:00,0.00062049,1.5891
2021-05-16 16:00:00+00:00,0.00090232,1.4815
2021-05-17 00:00:00+00:00,0.0010437,1.4497
2021-05-17 08:00:00+00:00,0.00049107,1.4508
2021-05-17 16:00:00+00:00,0.00022636,1.4698
2021-05-18 00:00:00+00:00,0.00040695,1.4956
2021-05-18 08:00:00+00:00,0.00055069,1.516
2021-05-18 16:00:00+00:00,0.00062297,1.5479
2021-05-19 00:00:00+00:00,0.00098234,1.5889
2021-05-19 08:00:00+00:00,0.00086262,1.4789
2021-05-19 16:00:00+00:00,0.00026522,1.2023
2021-05-20 00:00:00+00:00,-0.00375,1.0575
2021-05-20 08:00:00+00:00,-0.00052405,1.1856
2021-05-20 16:00:00+00:00,-0.00011322,1.2158
2021-05-21 00:00:00+00:00,0.0001,1.1795
2021-05-21 08:00:00+00:00,0.0001,1.1222
2021-05-21 16:00:00+00:00,0.00014751,1.0123
2021-05-22 00:00:00+00:00,0.0001,1.0061
2021-05-22 08:00:00+00:00,0.0003272,0.8891
2021-05-22 16:00:00+00:00,0.0001,0.9116
2021-05-23 00:00:00+00:00,0.0001,0.9049
2021-05-23 08:00:00+00:00,0.0001,0.8778
2021-05-23 16:00:00+00:00,0.0001,0.7155
2021-05-24 00:00:00+00:00,-4.551e-05,0.7894
2021-05-24 08:00:00+00:00,-0.00014778,0.8585
2021-05-24 16:00:00+00:00,0.0001,0.8638
2021-05-25 00:00:00+00:00,0.0001,0.993
2021-05-25 08:00:00+00:00,0.0001,1.0166
2021-05-25 16:00:00+00:00,0.0001,0.9501
2021-05-26 00:00:00+00:00,0.0001,0.9744
2021-05-26 08:00:00+00:00,0.0001,1.0504
2021-05-26 16:00:00+00:00,0.0001,0.991
2021-05-27 00:00:00+00:00,0.00013006,1.0315
2021-05-27 08:00:00+00:00,0.0001,0.9883
2021-05-27 16:00:00+00:00,0.0001,1.0127
2021-05-28 00:00:00+00:00,0.0001,0.9748
2021-05-28 08:00:00+00:00,0.00010314,0.9043
2021-05-28 16:00:00+00:00,0.0001,0.9116
2021-05-29 00:00:00+00:00,-6.17e-05,0.8983
2021-05-29 08:00:00+00:00,0.0001,0.8964
2021-05-29 16:00:00+00:00,0.00032268,0.8299
2021-05-30 00:00:00+00:00,0.0001,0.8317
2021-05-30 08:00:00+00:00,0.0001,0.8808
2021-05-30 16:00:00+00:00,6.279e-05,0.8811
2021-05-31 00:00:00+00:00,0.0001,0.9057
