scenario,candidate,leverage,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
PUT_1x,PUT,1.0,10000.0,22329.40738904048,1.2329407389040479,0.08370634324496162,0.15346975155098813,0.8392670083703906,0.7519613007994606,0.2893845408325115,-0.2892564440524442,-0.043169047101956265,298.0,1.1990449387353053,0.6621513944223107,,,,,,,0.21787077899538954,-0.07658545324256616,0.7583333333333333,3650.0,0.7777777777777778,9,-0.28491490157408317,0.0008,0.0036000000000000003,False,False,False,False,False,True,False
PUT_2x,PUT,2.0,10000.0,28309.72462222793,1.830972462222793,0.10974837811841631,0.30693950310197626,0.6503822610821642,0.5937039432719726,0.20421667124381768,-0.5374114534821004,-0.10041626541167684,648.0,1.151899864845504,0.6438247011952192,,,,,,,0.4157621993463856,-0.20067581053508576,0.7083333333333334,3650.0,0.6666666666666666,9,-0.4035278124205269,0.0108,0.01606153846153846,False,False,False,False,False,True,False
PUT_3x,PUT,3.0,10000.0,30059.482726193288,2.005948272619329,0.11642843364300526,0.46040925465296434,0.5874206786527557,0.5424427514823478,0.15905022230194762,-0.7320230802442553,-0.17106134003283535,759.0,1.136467836717244,0.6314741035856574,,,,,,,0.6350630461423743,-0.32540969109111473,0.6916666666666667,3650.0,0.6666666666666666,9,-0.44306544936934145,0.0202,0.02385,False,False,False,False,False,True,False
BXM_1x,BXM,1.0,10000.0,21318.698980670888,1.1318698980670887,0.07869480605298262,0.15748161128094282,0.7791040975112792,0.7332914839812652,0.26008429371341996,-0.3025742344122262,-0.048064355479881256,453.0,1.1755752439129605,0.6254980079681275,,,,,,,0.20473548010242393,-0.11365378977516138,0.7166666666666667,3650.0,0.6666666666666666,9,-0.2244285356115369,0.0018,0.005399999999999999,False,False,False,False,False,True,False
BXM_2x,BXM,2.0,10000.0,25570.609725511567,1.5570609725511568,0.09850499453290751,0.31496322256188564,0.5950312079700281,0.5697930337985997,0.1804897401011164,-0.5457650638630301,-0.11444966408414615,557.0,1.1320008038728275,0.6083665338645419,,,,,,,0.3841023199592981,-0.2647080814145296,0.6916666666666667,3650.0,0.6666666666666666,9,-0.34208372574731566,0.0212,0.02385,False,False,False,False,False,True,False
BXM_3x,BXM,3.0,10000.0,25428.848950058604,1.5428848950058605,0.09789405218748581,0.4724448338428285,0.5336735781229445,0.5134610120761205,0.13420944852553543,-0.7294125209735882,-0.19637115961236334,1511.0,1.1177564822689465,0.6027888446215139,,,,,,,0.5783344007798557,-0.4062285797495595,0.675,3650.0,0.6666666666666666,9,-0.38130212245924194,0.0344,0.0344,False,False,False,False,False,True,False
BXMD_1x,BXMD,1.0,10000.0,27686.445941426744,1.7686445941426743,0.10727887207955855,0.1836114701008465,0.8996371662233406,0.9391762386473611,0.3317851586370629,-0.3233383690827173,-0.050285563228181694,496.0,1.1777471755074147,0.6047808764940239,,,,,,,0.2378766844902831,-0.16142440943420666,0.7,3650.0,0.7777777777777778,9,-0.10534254569188041,0.0006,0.0035999999999999995,False,False,False,False,False,True,False
BXMD_2x,BXMD,2.0,10000.0,40581.27953347685,3.058127953347685,0.15046719575302459,0.367222940201693,0.7417598003802706,0.7801332468970555,0.26241875320208385,-0.5733858343468028,-0.1183220300572866,553.0,1.1447413871705874,0.5940239043824701,,,,,,,0.4581263310742736,-0.3501024243868146,0.6916666666666667,3650.0,0.6666666666666666,9,-0.2159981271146537,0.0064,0.01152,False,False,False,False,False,True,False
BXMD_3x,BXMD,3.0,10000.0,46419.19193851664,3.641919193851664,0.16604529744597185,0.5508344103025395,0.689134011765914,0.7255203952289864,0.22111699451303946,-0.7509386504264376,-0.1929661601384998,626.0,1.1339125196668716,0.5924302788844622,,,,,,,0.7009845213968902,-0.5159937065291373,0.6666666666666666,3650.0,0.6666666666666666,9,-0.2528833209222447,0.0116,0.01606153846153846,False,False,False,False,False,True,False
PPUT_1x,PPUT,1.0,10000.0,31811.294364473608,2.181129436447361,0.1227745436030272,0.1541001253760698,1.1699984484824415,1.6640347947973437,0.5546423252100768,-0.22135805008484521,-0.05104202923018437,527.0,1.1867167201384061,0.5358565737051793,,,,,,,0.2908187948619221,-0.19805308132845445,0.6583333333333333,3650.0,0.7777777777777778,9,0.17916801945962227,0.0006,0.0035999999999999995,False,False,False,False,False,True,False
PPUT_2x,PPUT,2.0,10000.0,57727.44058321312,4.7727440583213125,0.1917643220365035,0.3082002507521396,0.9818863676690615,1.396384809320193,0.4486016184009067,-0.42747131122725335,-0.11307751615022096,620.0,1.1545270862284627,0.5278884462151394,,,,,,,0.5403199785658073,-0.40262146603037907,0.65,3650.0,0.7777777777777778,9,0.03668199045389609,0.0036,0.009257142857142856,False,False,False,False,False,True,False
PPUT_3x,PPUT,3.0,10000.0,89004.68285399997,7.900468285399997,0.2445327052511277,0.4623003761282093,0.9191823407312681,1.3072041557959826,0.4139736810940163,-0.5906962602185153,-0.175529456950637,701.0,1.1439860112840097,0.5250996015936255,,,,,,,0.7688005700302973,-0.5698646348751826,0.65,3650.0,0.7777777777777778,9,-0.010813352548012516,0.0046,0.01035,False,False,False,False,False,True,False
