year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2015,252,10000.0,9789.7510028027,-0.021024899719729984,-0.02115383117319969,0.07110362625588473,-0.3975454910199074,-0.5446486298943644,-0.34995174917354965,-0.060447850948471715,-0.03390060460723834,205.0,0.9455391928823085,0.49206349206349204,,,,,,,-0.021024899719729984,-0.021024899719729984,0.45454545454545453,363.0,0.0,1,,False
2016,252,10000.0,9508.384008096453,-0.04916159919035479,-0.04972573833325811,0.0536293829482456,-1.3354533400918047,-1.7346876638162223,-0.6945017928338765,-0.07159915042170728,-0.044364563740439886,245.0,0.8220058204100074,0.5079365079365079,,,,,,,-0.04916159919035479,-0.04916159919035479,0.2727272727272727,361.0,0.0,1,,False
2017,251,10000.0,10341.037951647573,0.03410379516475737,0.03460965177641362,0.04912300858999209,1.0180414977380106,1.503700892529087,1.381866650886669,-0.025045580016137214,-0.010987322887819366,139.0,1.1540619904059504,0.5617529880478087,,,,,,,0.03410379516475737,0.03410379516475737,0.6363636363636364,360.0,1.0,1,,True
2018,251,10000.0,9659.14583621255,-0.03408541637874496,-0.03429302501629261,0.06448164473292677,-0.7502971847053453,-0.9537091255177514,-0.37154813075825227,-0.09229766530195616,-0.06156332869468627,233.0,0.8933821447755659,0.5179282868525896,,,,,,,-0.03408541637874496,-0.03408541637874496,0.36363636363636365,363.0,0.0,1,,False
2019,252,10000.0,10162.18793739848,0.016218793739847914,0.01632013936964327,0.045479358561634445,0.5355016695616017,0.7133412826739156,0.4229976720236747,-0.038582102098968174,-0.01512606429093787,89.0,1.0848164657947001,0.5277777777777778,,,,,,,0.016218793739847914,0.016218793739847914,0.5454545454545454,363.0,1.0,1,,True
2020,253,10000.0,11407.58366410618,0.140758366410618,0.1412743835143495,0.12233710260917248,1.6156510774364041,1.8993386843352749,1.8200955243220307,-0.07761921373163805,-0.029663227344013214,102.0,1.3080622917684284,0.6086956521739131,,,,,,,0.140758366410618,0.140758366410618,0.7272727272727273,364.0,1.0,1,,True
2021,252,10000.0,10510.616845584116,0.051061684558411535,0.051678099858111004,0.0726444996192353,1.0300997569034225,1.277932412149902,1.4279561611024927,-0.03619025658197483,-0.012496820582732122,86.0,1.1622943126969125,0.5396825396825397,,,,,,,0.051061684558411535,0.051061684558411535,0.6363636363636364,361.0,1.0,1,,True
2022,251,10000.0,9522.659518581946,-0.047734048141805374,-0.04828222513240721,0.11523087488891752,-0.5598540315577555,-0.7247438973976195,-0.40971389784789153,-0.11784375728043339,-0.05021729448306912,118.0,0.922266620214153,0.5298804780876494,,,,,,,-0.047734048141805374,-0.047734048141805374,0.2727272727272727,361.0,0.0,1,,False
2023,250,10000.0,9531.27188454753,-0.04687281154524692,-0.04753986327772164,0.05834111506841043,-1.1728942662669777,-1.5577590298460005,-0.5077405405663362,-0.09363022937797216,-0.06094707067320478,233.0,0.8422088292044941,0.492,,,,,,,-0.04687281154524692,-0.04687281154524692,0.45454545454545453,360.0,0.0,1,,False
2024,252,10000.0,10367.63336479012,0.036763336479011866,0.03689188488615991,0.047950936589978954,1.115363372451129,1.589443411579932,1.237177171634692,-0.029819403180075144,-0.011320691788318946,101.0,1.1649726759705588,0.5396825396825397,,,,,,,0.036763336479011866,0.036763336479011866,0.6363636363636364,364.0,1.0,1,,True
2025,250,10000.0,11062.886774432907,0.10628867744329074,0.10698154220747536,0.07287263719780926,2.0620088219987203,2.6281574471843343,4.093670298555318,-0.026133404599102628,-0.009251704322769682,56.0,1.3747397613038568,0.58,,,,,,,0.10628867744329074,0.10628867744329074,0.6363636363636364,363.0,1.0,1,,True
