year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
1997,253,10000.0,17500.53769528572,0.7500537695285718,0.7561350434184035,0.3275627983030406,2.632208842376431,4.241023868579564,8.494141692825144,-0.08901841654667686,-0.02814408296141327,18.0,1.4890771262660094,0.4150197628458498,,,,,,,0.7500537695285718,0.7500537695285718,0.7272727272727273,363.0,1.0,1,,True
1998,252,10000.0,10175.123793976347,0.017512379397634614,0.017621878060152252,0.603274561548438,0.34713761795061954,0.4790582669903086,0.036191307079923254,-0.4869091359766833,-0.19530671199159705,139.0,1.04813692618239,0.5238095238095238,,,,,,,0.017512379397634614,0.017512379397634614,0.6363636363636364,363.0,1.0,1,,False
1999,252,10000.0,6719.449722191478,-0.32805502778085216,-0.3311928092613171,0.4247354034804662,-1.1438299415719917,-1.8296399908429033,-0.6713377794354,-0.49333259561208176,-0.3708103862467448,249.0,0.8510818122973052,0.44841269841269843,,,,,,,-0.32805502778085216,-0.32805502778085216,0.36363636363636365,361.0,0.0,1,,False
2000,252,10000.0,8985.817222807013,-0.10141827771929868,-0.10254884518319807,0.39229880034983494,-0.1981755136351206,-0.29827067725502043,-0.46195197197492255,-0.22199027475688538,-0.13487309599921957,227.0,0.9738388399939679,0.5079365079365079,,,,,,,-0.10141827771929868,-0.10141827771929868,0.5454545454545454,361.0,0.0,1,,False
2001,248,10000.0,9154.167480715976,-0.08458325192840233,-0.08508456546426746,0.31557584775340164,-0.2549896077423621,-0.4039268601973701,-0.43192673203642923,-0.19698842223336,-0.09387317476357046,194.0,0.9653544597971877,0.46774193548387094,,,,,,,-0.08458325192840233,-0.08458325192840233,0.36363636363636365,363.0,0.0,1,,False
2002,252,10000.0,9511.02523156187,-0.04889747684381296,-0.04919298063314914,0.35648138724632694,-0.025565788973383574,-0.041565988106695546,-0.20549486022545743,-0.23938788823806767,-0.12244447313101882,167.0,0.9965938203929849,0.5,,,,,,,-0.04889747684381296,-0.04889747684381296,0.45454545454545453,363.0,0.0,1,,False
2003,252,10000.0,6697.672350996856,-0.3302327649003144,-0.3318947045626983,0.280511915104875,-1.9280485929033286,-2.534652752282976,-0.7462060414259971,-0.444776222835785,-0.251344500576818,235.0,0.7690195908089698,0.4801587301587302,,,,,,,-0.3302327649003144,-0.3302327649003144,0.18181818181818182,363.0,0.0,1,,False
2004,252,10000.0,8935.36079631472,-0.10646392036852792,-0.10680926595765627,0.21796177479354834,-0.6389293696450928,-0.8893122693971992,-0.45213125984319535,-0.23623508357882406,-0.14926248229465308,223.0,0.9149590909431509,0.49206349206349204,,,,,,,-0.10646392036852792,-0.10646392036852792,0.45454545454545453,364.0,0.0,1,,False
2005,252,10000.0,11261.809270128666,0.12618092701286665,0.12775754998188948,0.17438034931167504,1.0751224886262054,1.6947234353261156,1.186434133821109,-0.10768195750608167,-0.040851582131614085,94.0,1.1553418695912816,0.5079365079365079,,,,,,,0.12618092701286665,0.12618092701286665,0.6363636363636364,361.0,1.0,1,,True
2006,251,10000.0,9126.316928112306,-0.08736830718876931,-0.08858426297113764,0.18489967283489048,-0.6269197276212822,-0.9485843335509812,-0.4851337469912317,-0.18259761049510892,-0.11164323990175724,236.0,0.9168418364416935,0.50199203187251,,,,,,,-0.08736830718876931,-0.08736830718876931,0.36363636363636365,360.0,0.0,1,,False
2007,251,10000.0,10058.265231703432,0.005826523170343156,0.005878986581559831,0.23235725111132713,0.15270706936968728,0.231272331077972,0.04055604487210331,-0.14495956398361032,-0.05225980947449846,135.0,1.0210454705414806,0.4820717131474104,,,,,,,0.005826523170343156,0.005826523170343156,0.45454545454545453,362.0,1.0,1,,True
2008,253,10000.0,7094.667059730273,-0.2905332940269727,-0.29136906017371333,0.367275327206894,-1.16492257187695,-1.6681709039735904,-0.8443236230559706,-0.345091683114495,-0.1714114604009582,246.0,0.8407019077623781,0.45454545454545453,,,,,,,-0.2905332940269727,-0.2905332940269727,0.36363636363636365,364.0,0.0,1,,False
2009,252,10000.0,7978.691866330007,-0.20213081336699934,-0.2032467718992399,0.2164779042044425,-1.402810499894222,-2.163808973905006,-0.6549903095894818,-0.3103050059269209,-0.21556083286737157,237.0,0.8286760207262344,0.4722222222222222,,,,,,,-0.20213081336699934,-0.20213081336699934,0.5454545454545454,363.0,0.0,1,,False
2010,252,10000.0,10961.235084541824,0.0961235084541825,0.09730852201646356,0.26231499044216067,0.6384265384112846,0.9732275851935288,0.5695317821721464,-0.17085705321893896,-0.07251040233908926,119.0,1.0923210799460588,0.5198412698412699,,,,,,,0.0961235084541825,0.0961235084541825,0.6363636363636364,361.0,1.0,1,,True
