year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2008,252,10000.0,2976.481853955148,-0.7023518146044851,-0.7045792004424636,0.7541254340952186,-1.9345237188147746,-2.2468398090520223,-0.9574887764488937,-0.735861576420338,-0.278299946015142,216.0,0.7250041063648089,0.4722222222222222,,,,,,,-0.7023518146044851,-0.7023518146044851,0.18181818181818182,363.0,0.0,1,,False
2009,252,10000.0,14717.926955664445,0.47179269556644443,0.4753226668700712,0.6395321479252338,1.1989265745181763,1.6526828111616187,1.6276222335501176,-0.2920350048507955,-0.09436092948306407,59.0,1.181052905550993,0.5436507936507936,,,,,,,0.47179269556644443,0.47179269556644443,0.8181818181818182,363.0,1.0,1,,False
2010,252,10000.0,8729.360810274376,-0.12706391897256242,-0.12845936717966244,0.5819121510360046,-0.04500132225744662,-0.055594138878308254,-0.4064894136944188,-0.3160214334049857,-0.1706082888998752,246.0,0.9925811798176827,0.503968253968254,,,,,,,-0.12706391897256242,-0.12706391897256242,0.5454545454545454,361.0,0.0,1,,False
2011,252,10000.0,8783.548505702374,-0.12164514942976257,-0.12298536790754488,0.4646370825311455,-0.17139896387091683,-0.2439618784536019,-0.36672279784609446,-0.33536330064529873,-0.13266620200128845,172.0,0.9765350095604173,0.5,,,,,,,-0.12164514942976257,-0.12164514942976257,0.36363636363636365,361.0,0.0,1,,False
2012,250,10000.0,12125.307340143421,0.21253073401434208,0.21397994496863304,0.24920933510636914,1.2548840814794497,1.897094508328904,0.8116036149332192,-0.2636508032141279,-0.1052681131720688,209.0,1.1858992026969433,0.532,,,,,,,0.21253073401434208,0.21253073401434208,0.5454545454545454,363.0,1.0,1,,False
2013,252,10000.0,8282.766523812905,-0.17172334761870944,-0.17269005987459018,0.3067872567126501,-0.7353411227490494,-0.9832577934546072,-0.5078676701121361,-0.34002963771342365,-0.19133444439674896,183.0,0.9045093896204651,0.5317460317460317,,,,,,,-0.17172334761870944,-0.17172334761870944,0.36363636363636365,363.0,0.0,1,,False
2014,252,10000.0,9245.221763386024,-0.07547782366139766,-0.07592743459393148,0.22327725194810258,-0.3976113096554816,-0.582659341908686,-0.3493766686332904,-0.21732256733384148,-0.06091452218600336,161.0,0.9465030036867027,0.4880952380952381,,,,,,,-0.07547782366139766,-0.07547782366139766,0.36363636363636365,363.0,0.0,1,,False
2015,252,10000.0,6765.09135327821,-0.323490864672179,-0.32512763813107104,0.402661439036018,-1.1997791849761177,-1.4384610839862852,-0.7714649025199848,-0.42144190496423606,-0.24700856609848443,247.0,0.8385261503173985,0.48412698412698413,,,,,,,-0.323490864672179,-0.323490864672179,0.2727272727272727,363.0,0.0,1,,False
2016,252,10000.0,10863.677899765302,0.08636778997653027,0.08742779907957554,0.28628482068326905,0.5628191551036712,0.8910453162441103,0.818024272181152,-0.10687677866386658,-0.043939817098257526,53.0,1.0762021947569338,0.5238095238095238,,,,,,,0.08636778997653027,0.08636778997653027,0.7272727272727273,361.0,1.0,1,,True
2017,251,10000.0,7884.821453807148,-0.21151785461928518,-0.21424573893953136,0.29769038080249965,-1.011684853797179,-1.372439346792606,-0.6462768026633722,-0.3315077039073706,-0.1912210504635692,215.0,0.8626186672502001,0.4940239043824701,,,,,,,-0.21151785461928518,-0.21151785461928518,0.36363636363636365,360.0,0.0,1,,False
2018,251,10000.0,8464.152120661442,-0.15358478793385577,-0.15445914414642536,0.5169678308917443,-0.20709412323828738,-0.2390390338634465,-0.492016591845545,-0.31393076312132484,-0.07922897833362004,245.0,0.956391715423263,0.4900398406374502,,,,,,,-0.15358478793385577,-0.15358478793385577,0.36363636363636365,363.0,0.0,1,,False
2019,252,10000.0,10062.419153903873,0.006241915390387209,0.006280726195061925,0.2150846107874614,0.1494208730544775,0.21642862908434765,0.04676017255007263,-0.13431785753861958,-0.06859226961272111,215.0,1.0227184603356987,0.47619047619047616,,,,,,,0.006241915390387209,0.006241915390387209,0.5454545454545454,363.0,1.0,1,,True
2020,253,10000.0,8401.939848610516,-0.15980601513894843,-0.16030825734250087,0.4767412088457562,-0.27974237797270324,-0.32417029930083874,-0.378956686171609,-0.4230252775376707,-0.17572470274665586,244.0,0.9533916704225225,0.4980237154150198,,,,,,,-0.15980601513894843,-0.15980601513894843,0.45454545454545453,364.0,0.0,1,,False
2021,252,10000.0,9898.455487533936,-0.01015445124660641,-0.01027338193357008,0.2932630589654721,0.09633522759340701,0.14401448053522722,-0.0526657649866275,-0.19506755358397665,-0.0749654526430548,143.0,1.0134042531145104,0.49206349206349204,,,,,,,-0.01015445124660641,-0.01015445124660641,0.6363636363636364,361.0,0.0,1,,False
2022,251,10000.0,9448.42149573929,-0.05515785042607091,-0.055788757507463815,0.3803276511068322,-0.02465835189601916,-0.029927076343336363,-0.22488825714373675,-0.24807323519700974,-0.09541385011408475,176.0,0.9964164327942022,0.5298804780876494,,,,,,,-0.05515785042607091,-0.05515785042607091,0.45454545454545453,361.0,0.0,1,,False
