year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2002,252,10000.0,10329.484121296506,0.032948412129650606,0.03315598678029241,0.0937943406411047,0.5478443489965253,0.9062610079304082,0.4181903935470713,-0.07928442951322934,-0.03161785737132875,115.0,1.0773150555236506,0.49206349206349204,,,,,,,0.032948412129650606,0.032948412129650606,0.6363636363636364,363.0,1.0,1,,True
2003,252,10000.0,10475.067965164246,0.04750679651642464,0.0478081897895013,0.06635272651473938,1.0471033639652962,1.7235247434405185,1.2523100558842462,-0.038176000875233984,-0.013391793946006592,145.0,1.1487409776675563,0.5079365079365079,,,,,,,0.04750679651642464,0.04750679651642464,0.7272727272727273,363.0,1.0,1,,True
2004,252,10000.0,10363.820463539605,0.036382046353960584,0.036509238188783044,0.053961008193501234,0.9869223159427142,1.5289898465243281,1.3512545728765348,-0.027018771237948602,-0.008183930550474812,66.0,1.1430163464021443,0.5238095238095238,,,,,,,0.036382046353960584,0.036382046353960584,0.7272727272727273,364.0,1.0,1,,True
2005,252,10000.0,10379.551008297552,0.03795510082975517,0.038410415126147734,0.04946675595584393,1.1163240392931528,1.9973008118975213,1.1039127114544285,-0.03479479376185568,-0.01340626874360552,118.0,1.1592067049176116,0.49206349206349204,,,,,,,0.03795510082975517,0.03795510082975517,0.5454545454545454,361.0,1.0,1,,True
2006,251,10000.0,10419.19972176417,0.041919972176416964,0.04254413012206926,0.05353903469882,1.1430195672142305,1.6141284156261282,0.9667704323568596,-0.044006445271968286,-0.01806869988214902,163.0,1.166717616271701,0.5657370517928287,,,,,,,0.041919972176416964,0.041919972176416964,0.6363636363636364,360.0,1.0,1,,True
2007,251,10000.0,10210.304083639516,0.021030408363951647,0.021221206694834738,0.04820040788397489,0.6524633479055765,0.993408789376679,0.7758560534106561,-0.02735198958820584,-0.00920993403434645,132.0,1.0901404320339934,0.5418326693227091,,,,,,,0.021030408363951647,0.021030408363951647,0.6363636363636364,362.0,1.0,1,,True
2008,253,10000.0,9715.364675404055,-0.028463532459594543,-0.02855986884737738,0.08885422856168504,-0.424723987777304,-0.6793480406713124,-0.32182337777721837,-0.08874392234845008,-0.03444107090226955,153.0,0.9444872400730849,0.5138339920948617,,,,,,,-0.028463532459594543,-0.028463532459594543,0.45454545454545453,364.0,0.0,1,,False
2009,252,10000.0,10073.39776325125,0.007339776325125058,0.00738543839403305,0.07469898492029707,0.17924177428752322,0.2973205038652722,0.19594483522945358,-0.03769141649171115,-0.014695289477016012,84.0,1.0240227621096234,0.4801587301587302,,,,,,,0.007339776325125058,0.007339776325125058,0.6363636363636364,363.0,1.0,1,,True
2010,252,10000.0,9714.344268380346,-0.028565573161965396,-0.028896965245475137,0.06226043420395495,-0.6435202173190365,-1.1040272212135966,-0.40312748839986423,-0.0716819519308296,-0.03251101395110153,243.0,0.9184022157282324,0.45634920634920634,,,,,,,-0.028565573161965396,-0.028565573161965396,0.5454545454545454,361.0,0.0,1,,False
2011,252,10000.0,9291.285163334302,-0.07087148366656992,-0.07167520494635915,0.06692977830339603,-1.5581301556332134,-2.241023732045204,-0.8548147564568862,-0.08384881567024538,-0.027651536404342248,144.0,0.8071435791463687,0.48412698412698413,,,,,,,-0.07087148366656992,-0.07087148366656992,0.2727272727272727,361.0,0.0,1,,False
