regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
1998_2002,1244,10000.0,9640.914584655504,-0.03590854153444967,-0.007372615499956936,0.27519385731617435,0.09930901823247229,0.13499719700001173,-0.012893573378865946,-0.571805447824224,-0.24625319718108896,706.0,1.0143377585304607,0.502411575562701,,,,,,,0.3642643061372921,-0.3557121915523188,0.4915254237288136,1805.0,0.6,5,-0.6084103633448666,period
2003_2007,1258,10000.0,7432.331455181419,-0.2567668544818581,-0.057691260396873,0.15123082786554715,-0.49405104588969406,-0.7646362715475226,-0.15582077706914707,-0.3702411288275883,-0.24876014312970118,1229.0,0.932122283317722,0.45548489666136727,,,,,,,0.1645551934245082,-0.25676212346282257,0.4067796610169492,1824.0,0.4,5,-0.7261214979294277,period
2008_2012,1259,10000.0,5066.556617322091,-0.4933443382677909,-0.12722533756461296,0.2647107052663968,-0.6123481538121448,-0.8007327009306281,-0.21658743595242733,-0.5874086694140355,-0.3961242255476216,1059.0,0.9061542020558176,0.47418586179507544,,,,,,,-0.05988629437859272,-0.21410387343077886,0.3898305084745763,1825.0,0.0,5,-1.1540721063945831,period
2013_2019,1762,10000.0,7283.755030176549,-0.27162449698234514,-0.044313825482753644,0.1569091822545481,-0.33999719480910895,-0.43565196538740325,-0.10743880173895272,-0.4124564381351188,-0.23561978097730402,1761.0,0.9480442873918994,0.4880817253121453,,,,,,,0.24069209032634897,-0.2478503148020541,0.46987951807228917,2554.0,0.42857142857142855,7,-1.10168352752917,period
2020_plus,1682,10000.0,5049.64325036323,-0.49503567496367695,-0.09707221920014852,0.22050337459376768,-0.5619561676299252,-0.7139349040280122,-0.1592360378422156,-0.6096121237099343,-0.2971040710615644,1163.0,0.9144077487147051,0.4946492271105826,,,,,,,0.028633335761088397,-0.23857502845644085,0.3875,2444.0,0.16666666666666666,6,-1.2485458012141502,period
2000_2002,752,10000.0,6077.120118985861,-0.39228798810141385,-0.15332279529531068,0.28624398252376343,-0.7007176825236093,-0.9670364311138818,-0.2681380456914479,-0.5718054478242243,-0.33358328855045805,706.0,0.9060343426909101,0.4787234042553192,,,,,,,0.09985654355678197,-0.3557121915523188,0.34285714285714286,1093.0,0.3333333333333333,3,,event
2008,253,10000.0,9308.12915013272,-0.06918708498672799,-0.06941623420704801,0.4394185224097808,-0.01527541108322435,-0.019617217669799285,-0.2145938154508296,-0.3234773288373426,-0.15192950043405107,182.0,0.9975660933764302,0.525691699604743,,,,,,,-0.06918708498672799,-0.06918708498672799,0.36363636363636365,364.0,0.0,1,,event
2018,251,10000.0,12406.92090326349,0.24069209032634897,0.24235174858774755,0.23398053298681912,1.4596208460173048,1.791845232955517,2.5570906468840113,-0.0947763619107792,-0.042016059303998494,124.0,1.2555098372059825,0.5219123505976095,,,,,,,0.24069209032634897,0.24069209032634897,0.45454545454545453,363.0,1.0,1,,event
2020,253,10000.0,10286.333357610883,0.028633335761088397,0.028733063851371643,0.35795548600809635,0.2935618534998459,0.3695961388256116,0.08603262614470489,-0.33397869086366483,-0.11889420369253927,215.0,1.047457971986304,0.541501976284585,,,,,,,0.028633335761088397,0.028633335761088397,0.7272727272727273,364.0,1.0,1,,event
2022,251,10000.0,7614.2497154355915,-0.23857502845644085,-0.24101441236862142,0.25331368936009985,-1.4376069022142943,-2.0270024605766728,-0.8115186400740666,-0.2969918378543027,-0.16984927372691963,237.0,0.8175863747022916,0.46613545816733065,,,,,,,-0.23857502845644085,-0.23857502845644085,0.36363636363636365,361.0,0.0,1,,event
2025,250,10000.0,7741.53807181984,-0.225846192818016,-0.22707355481180658,0.23387118548502145,-1.4797299414671423,-1.6717414019178682,-0.7851994024995855,-0.28919221549194496,-0.20694099478664243,239.0,0.7715170720590948,0.492,,,,,,,-0.225846192818016,-0.225846192818016,0.09090909090909091,363.0,0.0,1,,event
2026,174,10000.0,10276.89711586038,0.027689711586037946,0.04038205326964173,0.1654220338244881,0.4294517530412627,0.6200521923413699,0.26062985542764155,-0.15494024352422264,-0.06524834483531444,146.0,1.0609053313748595,0.5057471264367817,,,,,,,0.027689711586037946,0.027689711586037946,0.5,252.0,0.0,0,,event
other_days,5021,10000.0,3053.310877457076,-0.6946689122542924,-0.04307652367918413,0.16992406245530278,-0.4227792722486538,-0.5900473090096041,-0.05238656174670292,-0.8222819410723259,-0.5025275853696559,4500.0,0.9387952801261408,0.47759410476000796,,,,,,,0.3642643061372921,-0.25676212346282257,0.4351464435146444,9841.0,0.3,20,-1.4215152961466622,event
