year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
1998,240,10000.0,11628.451823390227,0.16284518233902268,0.17373322639691513,0.2937761023401113,0.9290358946960933,1.223131312195448,0.6980272261240934,-0.24889176223339649,-0.09133706358386498,79.0,1.1504455534065763,0.5166666666666667,,,,,,,0.16284518233902268,0.16284518233902268,0.5454545454545454,344.0,1.0,1,,False
1999,252,10000.0,13642.64306137292,0.3642643061372921,0.36926231957934186,0.21452800172866132,2.2072826380606867,3.1995220974151906,4.47964602818435,-0.08243113791939671,-0.026502428336932775,47.0,1.3609412021999296,0.5595238095238095,,,,,,,0.3642643061372921,0.3642643061372921,0.9090909090909091,361.0,1.0,1,,True
2000,252,10000.0,10998.56543556782,0.09985654355678197,0.10108966458605328,0.26986538257684556,0.6463684597670759,0.9565508981828803,0.3942684583934375,-0.25639805171829566,-0.16733344946050857,206.0,1.0948306564910397,0.49603174603174605,,,,,,,0.09985654355678197,0.09985654355678197,0.6363636363636364,361.0,1.0,1,,False
2001,248,10000.0,6442.878084476812,-0.3557121915523188,-0.35746539193847593,0.2758276310237339,-2.2061825024865636,-2.951090496893115,-0.918090371586209,-0.38935752187540484,-0.17471448374042078,191.0,0.7323419584204933,0.4475806451612903,,,,,,,-0.3557121915523188,-0.3557121915523188,0.09090909090909091,363.0,0.0,1,,False
2002,252,10000.0,8575.9425720991,-0.14240574279008988,-0.14322196910944462,0.30979083026946685,-0.5620257813509274,-0.7618766681106759,-0.4630835975521463,-0.3092788642623363,-0.12097549872586635,112.0,0.9240681551666243,0.49206349206349204,,,,,,,-0.14240574279008988,-0.14240574279008988,0.2727272727272727,363.0,0.0,1,,False
2003,252,10000.0,7432.3787653717745,-0.25676212346282257,-0.25812789861748087,0.21439669677557882,-1.897606062118279,-2.9366363785646312,-0.9560385493890083,-0.26999737487829023,-0.168955676587541,223.0,0.7676385067579846,0.4126984126984127,,,,,,,-0.25676212346282257,-0.25676212346282257,0.2727272727272727,363.0,0.0,1,,False
2004,252,10000.0,9411.168050953856,-0.058883194904614355,-0.059079309474966535,0.1376700095302129,-0.5701320104367226,-1.0075995439037786,-0.38968552620262054,-0.15160765669353526,-0.052880624476578625,153.0,0.9248232728531898,0.44841269841269843,,,,,,,-0.058883194904614355,-0.058883194904614355,0.36363636363636365,364.0,0.0,1,,False
2005,252,10000.0,11645.551934245083,0.1645551934245082,0.16664565888648197,0.12281817396044283,1.8597734600472724,2.7938149260797953,2.678185943485873,-0.06222333415340808,-0.02812182753384494,102.0,1.285253347768775,0.5238095238095238,,,,,,,0.1645551934245082,0.1645551934245082,0.5454545454545454,361.0,1.0,1,,True
2006,251,10000.0,8775.33463496833,-0.12246653650316697,-0.12413679486184392,0.11384056746890708,-1.612630188576387,-2.878714873327544,-0.8456286817849226,-0.146798231346435,-0.05887341100426593,139.0,0.8047043008474034,0.4063745019920319,,,,,,,-0.12246653650316697,-0.12246653650316697,0.2727272727272727,360.0,0.0,1,,False
2007,251,10000.0,10397.524296625665,0.039752429662566424,0.040116388225464705,0.14388253335070503,0.46601290913472976,0.7831728946028814,0.3447820124597588,-0.11635290350347638,-0.05886625929279824,233.0,1.0693537274101501,0.4860557768924303,,,,,,,0.039752429662566424,0.039752429662566424,0.5454545454545454,362.0,1.0,1,,True
