year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2012,250,10000.0,9110.9392029083,-0.08890607970917008,-0.08943174190821701,0.05763043003620715,-2.331167026552253,-3.833881556758055,-1.0624697740447553,-0.08417344577037333,-0.04988443026448762,249.0,0.7395460949291054,0.44,,,,,,,-0.08890607970917008,-0.08890607970917008,0.36363636363636365,363.0,0.0,1,,False
2013,252,10000.0,9505.763141511008,-0.049423685848899224,-0.04972228585212657,0.04784201214841317,-1.5115208361134536,-2.5988859834993803,-0.6585328854080124,-0.0755046360688878,-0.03352382492436773,176.0,0.8170126718636439,0.42857142857142855,,,,,,,-0.049423685848899224,-0.049423685848899224,0.45454545454545453,363.0,0.0,1,,False
2014,252,10000.0,9467.58690596952,-0.053241309403048054,-0.053562317857386965,0.05152952733209011,-1.5129591900052857,-2.4042356581989437,-0.9971998126194939,-0.0537127235480388,-0.029017193354396457,250.0,0.8159181842789158,0.44047619047619047,,,,,,,-0.053241309403048054,-0.053241309403048054,0.36363636363636365,363.0,0.0,1,,False
2015,252,10000.0,9483.822419548122,-0.051617758045187756,-0.051929248384663174,0.04703886045220713,-1.6093378057750078,-2.729719133073759,-0.5602197624537983,-0.09269442434020847,-0.06188402491957517,241.0,0.7996153927345269,0.4523809523809524,,,,,,,-0.051617758045187756,-0.051617758045187756,0.36363636363636365,363.0,0.0,1,,False
2016,252,10000.0,9838.99957626571,-0.01610004237342899,-0.016288033762888343,0.054702729116702126,-0.40272176005560806,-0.6887237093150812,-0.21392699332297868,-0.07613828208344564,-0.04540801643595926,227.0,0.9445293033773979,0.4801587301587302,,,,,,,-0.01610004237342899,-0.01610004237342899,0.2727272727272727,361.0,0.0,1,,False
2017,251,10000.0,9531.650527697218,-0.046834947230278146,-0.047501473649724124,0.045348012541576214,-1.5164137487678475,-2.5433879989843464,-0.6575710737409473,-0.07223777861682146,-0.045532981641608836,250.0,0.8149282719032135,0.4581673306772908,,,,,,,-0.046834947230278146,-0.046834947230278146,0.45454545454545453,360.0,0.0,1,,False
2018,251,10000.0,9498.374853245325,-0.05016251467546751,-0.050465458882269054,0.0690886339439012,-1.0493018627436923,-1.6389812096160203,-0.6126602576817927,-0.08237103394501577,-0.05393835349863305,240.0,0.8667181266932034,0.4900398406374502,,,,,,,-0.05016251467546751,-0.05016251467546751,0.45454545454545453,363.0,0.0,1,,False
2019,252,10000.0,9303.732841166982,-0.06962671588330172,-0.07004280757218928,0.05736562794331812,-1.794486439944799,-2.7637901502278823,-0.968788820816913,-0.07229935571833601,-0.046208088308091644,250.0,0.7824419134114173,0.44841269841269843,,,,,,,-0.06962671588330172,-0.06962671588330172,0.2727272727272727,363.0,0.0,1,,False
2020,253,10000.0,9003.930873240355,-0.09960691267596455,-0.09993127973942095,0.13954906007520473,-1.0154816645749514,-1.4900879037399644,-0.6789820393468566,-0.14717809006487026,-0.08200473827501552,200.0,0.8609055565333914,0.4743083003952569,,,,,,,-0.09960691267596455,-0.09960691267596455,0.36363636363636365,364.0,0.0,1,,False
2021,252,10000.0,9834.137813554837,-0.01658621864451626,-0.016779838298966454,0.11141197010363445,-0.1619658550839955,-0.290417253819174,-0.14098050292370023,-0.11902240345991555,-0.06113616450773442,161.0,0.9780628418122654,0.45634920634920634,,,,,,,-0.01658621864451626,-0.01658621864451626,0.45454545454545453,361.0,0.0,1,,False
2022,251,10000.0,11268.294320169029,0.12682943201690278,0.12841461054490555,0.13086457792999331,1.393551854811042,2.1971550852620627,1.5785846659847456,-0.08134793990590206,-0.03337640808684102,148.0,1.2037617408109493,0.545816733067729,,,,,,,0.12682943201690278,0.12682943201690278,0.7272727272727273,361.0,1.0,1,,True
2023,250,10000.0,7907.738123413067,-0.20922618765869327,-0.21192864680133794,0.0823659699955708,-4.120693831635889,-6.534292746981024,-0.9273078481506317,-0.22854184532568766,-0.15631290709263426,246.0,0.5805871562573259,0.408,,,,,,,-0.20922618765869327,-0.20922618765869327,0.2727272727272727,360.0,0.0,1,,False
2024,252,10000.0,8563.527516022754,-0.14364724839772458,-0.14410316099087084,0.12334352709965943,-1.7601655108952137,-3.0407980330774094,-0.8334526697673098,-0.1728990334041437,-0.09464894992996993,248.0,0.7824783009342327,0.44047619047619047,,,,,,,-0.14364724839772458,-0.14364724839772458,0.2727272727272727,364.0,0.0,1,,False
2025,250,10000.0,8401.279524322781,-0.1598720475677219,-0.160778693487598,0.15684289008957303,-1.5436523244746825,-2.4380996063255074,-0.6441286458975066,-0.24960649477648134,-0.1371015464853142,205.0,0.8099606261563114,0.428,,,,,,,-0.1598720475677219,-0.1598720475677219,0.45454545454545453,363.0,0.0,1,,False
