year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2004,252,10000.0,11002.22604250198,0.10022260425019791,0.10058353239802043,0.2685979114942587,0.6501818149676156,0.8946747723031802,0.39036623619978483,-0.25766452902587345,-0.10118208679882931,181.0,1.0976249709407828,0.5396825396825397,,,,,,,0.10022260425019791,0.10022260425019791,0.6363636363636364,364.0,1.0,1,,False
2005,252,10000.0,13076.122044828657,0.30761220448286575,0.31174753010122913,0.24278650728898846,1.723651233004823,2.551356873585609,2.477855195272337,-0.12581345782273023,-0.05648468031305815,106.0,1.2572565853106827,0.5515873015873016,,,,,,,0.30761220448286575,0.30761220448286575,0.7272727272727273,361.0,1.0,1,,True
2006,251,10000.0,11076.144723402826,0.10761447234028254,0.10926664899142402,0.36014310349760675,0.5928986908300945,0.9547274046687314,0.37416152360481375,-0.2920306928908878,-0.14665096383116835,164.0,1.0837757942467652,0.5378486055776892,,,,,,,0.10761447234028254,0.10761447234028254,0.5454545454545454,360.0,1.0,1,,False
2007,251,10000.0,13114.581159707854,0.31145811597078543,0.3146544403085867,0.35345084620596257,1.2944318137488469,1.8066802355175018,1.8956257612874394,-0.16598974688700419,-0.04748419218141562,61.0,1.195584391129497,0.5856573705179283,,,,,,,0.31145811597078543,0.31145811597078543,0.5454545454545454,362.0,1.0,1,,True
2008,253,10000.0,6908.230209787393,-0.30917697902126073,-0.3100538801784585,0.5900880965136117,-0.6110334753026345,-0.9515167345587823,-0.6503188585034239,-0.4767720882214368,-0.18004617491077773,246.0,0.9123519974207901,0.49407114624505927,,,,,,,-0.30917697902126073,-0.30917697902126073,0.36363636363636365,364.0,0.0,1,,False
2009,252,10000.0,14392.094705992768,0.43920947059927684,0.44246111878242833,0.33438128883483176,1.7459247356346452,3.065224660234603,3.505698559726202,-0.1262119692393019,-0.04587049634639852,54.0,1.261197480802547,0.5238095238095238,,,,,,,0.43920947059927684,0.43920947059927684,0.7272727272727273,363.0,1.0,1,,True
2010,252,10000.0,9411.053446693619,-0.0588946553306382,-0.05956694260989537,0.22075752218052638,-0.288226819850377,-0.4740828466086818,-0.31500178371391474,-0.18910033431427864,-0.0852313527978027,186.0,0.961599889991617,0.48412698412698413,,,,,,,-0.0588946553306382,-0.0588946553306382,0.5454545454545454,361.0,0.0,1,,False
2011,252,10000.0,6578.336036094228,-0.3421663963905772,-0.34540186828326536,0.25642194565350274,-2.2366715821578835,-3.3082163865185636,-0.980410193017592,-0.3523034243658334,-0.17441680385687114,250.0,0.7363028172563344,0.49603174603174605,,,,,,,-0.3421663963905772,-0.3421663963905772,0.36363636363636365,361.0,0.0,1,,False
2012,250,10000.0,9567.915891592704,-0.04320841084072957,-0.043470324476323485,0.19458752887233194,-0.23426358048533952,-0.36188381036787376,-0.1674011011722207,-0.2596776495012516,-0.16465677480237703,227.0,0.968823642087359,0.5,,,,,,,-0.04320841084072957,-0.04320841084072957,0.5454545454545454,363.0,0.0,1,,False
2013,252,10000.0,5574.2743245297015,-0.4425725675470299,-0.44458817114079663,0.2316942354523653,-3.5361315083805582,-5.950142097963254,-0.9737310454865954,-0.456582105707255,-0.2937629172593743,251.0,0.6204554937413159,0.39285714285714285,,,,,,,-0.4425725675470299,-0.4425725675470299,0.09090909090909091,363.0,0.0,1,,False
2014,252,10000.0,7123.623977912069,-0.2876376022087931,-0.2891336173195387,0.22089332694087965,-2.113403481769548,-3.287247032705959,-0.9495600493583725,-0.3044921882664601,-0.09789405185785446,182.0,0.7517708511340581,0.44047619047619047,,,,,,,-0.2876376022087931,-0.2876376022087931,0.2727272727272727,363.0,0.0,1,,False
2015,252,10000.0,6833.258385428064,-0.3166741614571936,-0.31828506449196614,0.24036777481710025,-2.1739334872142058,-3.445666805595381,-0.8051992087236045,-0.39528735379224866,-0.1926879188473768,173.0,0.7525604378752491,0.4444444444444444,,,,,,,-0.3166741614571936,-0.3166741614571936,0.09090909090909091,363.0,0.0,1,,False
2016,252,10000.0,8986.115798477349,-0.10138842015226512,-0.10251867410962612,0.25249838620167975,-0.48648081583069197,-0.6777706703906808,-0.4601418494750461,-0.22279797898536025,-0.05649153747594106,83.0,0.9358185324821471,0.503968253968254,,,,,,,-0.10138842015226512,-0.10138842015226512,0.5454545454545454,361.0,0.0,1,,False
2017,251,10000.0,10973.66630862111,0.09736663086211106,0.09885455530693621,0.17467896491341844,0.8616122575042228,1.2899330508843772,0.7814698295319681,-0.12649823649128134,-0.03594069791533276,87.0,1.1235265957096836,0.549800796812749,,,,,,,0.09736663086211106,0.09736663086211106,0.6363636363636364,360.0,1.0,1,,True
2018,251,10000.0,7557.540853665596,-0.24424591463344036,-0.24555659991028078,0.2436428597866813,-1.549426094826869,-2.391828462893895,-0.6698747911773802,-0.36657089226881856,-0.19022570096538516,233.0,0.8177158333330903,0.4860557768924303,,,,,,,-0.24424591463344036,-0.24424591463344036,0.2727272727272727,363.0,0.0,1,,False
