year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2011,252,10000.0,9686.681362766361,-0.03133186372336394,-0.03169482120240941,0.15361676360036172,-0.22335058271811817,-0.29047752656622444,-0.23026458630435184,-0.13764522678496827,-0.03870404831262722,84.0,0.9681359383268608,0.5476190476190477,,,,,,,-0.03133186372336394,-0.03133186372336394,0.6363636363636364,361.0,0.0,1,,False
2012,250,10000.0,11681.488826361203,0.16814888263612038,0.16927476019572518,0.09991807316862827,2.323125665648076,4.018289143972539,1.8800261966602752,-0.09003851142948383,-0.02128249648736415,108.0,1.3763931976309458,0.52,,,,,,,0.16814888263612038,0.16814888263612038,0.8181818181818182,363.0,1.0,1,,True
2013,252,10000.0,9000.596965789191,-0.09994030342108096,-0.10052753566753603,0.1262463723695498,-1.1456420577903814,-1.8143094818298624,-0.647932601143248,-0.15515122327563036,-0.07418136666350361,164.0,0.8419444465261614,0.4523809523809524,,,,,,,-0.09994030342108096,-0.09994030342108096,0.36363636363636365,363.0,0.0,1,,False
2014,252,10000.0,9489.845305646311,-0.05101546943536894,-0.05132342443300808,0.09476415826160264,-0.753424376450905,-1.2622827933453336,-0.37561561013270345,-0.13663815626532594,-0.032640081578705786,112.0,0.9049709846174918,0.4801587301587302,,,,,,,-0.05101546943536894,-0.05101546943536894,0.6363636363636364,363.0,0.0,1,,False
2015,252,10000.0,8487.464906462621,-0.15125350935373783,-0.15211581867160118,0.1228374992402341,-1.8729373890961194,-3.0207303714828053,-0.8479123345202931,-0.17940040789436185,-0.08690852786256374,235.0,0.7813518379855271,0.43253968253968256,,,,,,,-0.15125350935373783,-0.15125350935373783,0.18181818181818182,363.0,0.0,1,,False
2016,252,10000.0,10892.364228859406,0.08923642288594058,0.09033308108496363,0.15496039080360788,0.8775304553913561,1.0928757520461714,0.9073090023006677,-0.09956153951509972,-0.02915804981350363,93.0,1.1367485032638853,0.5119047619047619,,,,,,,0.08923642288594058,0.08923642288594058,0.6363636363636364,361.0,1.0,1,,True
2017,251,10000.0,11378.040028781526,0.13780400287815264,0.13994817526659298,0.08999773141264407,2.1329872233598177,3.2531856418029683,2.5561609556708027,-0.05474935956443594,-0.01634581172110112,78.0,1.3290592840424393,0.5537848605577689,,,,,,,0.13780400287815264,0.13780400287815264,0.8181818181818182,360.0,1.0,1,,True
2018,251,10000.0,9237.718960791974,-0.07622810392080259,-0.0766819963167853,0.11569702089570667,-0.9391576825607917,-1.3565451835115954,-0.4481851466262968,-0.1710944615054899,-0.08833366106243554,229.0,0.881403661280807,0.4940239043824701,,,,,,,-0.07622810392080259,-0.07622810392080259,0.45454545454545453,363.0,0.0,1,,False
2019,252,10000.0,10973.727440480881,0.09737274404808804,0.0980049509494485,0.09373810806884775,1.4839182835790885,2.0968301057072387,1.5895082665070037,-0.0616574024901535,-0.025308841671895066,115.0,1.226899367835844,0.5436507936507936,,,,,,,0.09737274404808804,0.09737274404808804,0.5454545454545454,363.0,1.0,1,,True
2020,253,10000.0,10299.811043551985,0.029981104355198518,0.03008559493084495,0.18661912985107212,0.3231586579019964,0.3357920281320124,0.14294275333141457,-0.21047303364229397,-0.062219203790027995,230.0,1.0542682499530653,0.541501976284585,,,,,,,0.029981104355198518,0.029981104355198518,0.7272727272727273,364.0,1.0,1,,False
2021,252,10000.0,9024.059426886504,-0.09759405731134962,-0.09868437427611321,0.09747126099361068,-1.4778819587494465,-2.1370144641436704,-0.8367258997736567,-0.11794110150385972,-0.0549169339448231,250.0,0.820048690308731,0.4880952380952381,,,,,,,-0.09759405731134962,-0.09759405731134962,0.36363636363636365,361.0,0.0,1,,False
2022,251,10000.0,8946.902644410507,-0.10530973555894929,-0.10648106244619371,0.15940856545882748,-0.9355029279487108,-1.2370804404187334,-0.5293952382928236,-0.20113717454197422,-0.12299996972368651,219.0,0.8730695360826941,0.4541832669322709,,,,,,,-0.10530973555894929,-0.10530973555894929,0.2727272727272727,361.0,0.0,1,,False
2023,250,10000.0,11111.515771010061,0.1111515771010061,0.11286077320858046,0.10822173722762524,1.4772057533881997,2.526125879930672,1.2324324402013946,-0.09157562680688414,-0.02914787278509393,107.0,1.2241404607695687,0.532,,,,,,,0.1111515771010061,0.1111515771010061,0.5454545454545454,360.0,1.0,1,,True
2024,252,10000.0,9699.72059973375,-0.03002794002662501,-0.030129488693581785,0.09038335882458491,-0.44366493435051213,-0.6525334048081027,-0.40573920958833193,-0.07425826240493627,-0.02693911833334649,143.0,0.9404731653077314,0.4722222222222222,,,,,,,-0.03002794002662501,-0.03002794002662501,0.36363636363636365,364.0,0.0,1,,False
2025,250,10000.0,11876.979056542985,0.18769790565429845,0.18896492880129,0.07598902685750679,3.3464020730716326,4.825724149119003,5.583274794690655,-0.03384481970706221,-0.005217161196150355,23.0,1.6160482809188164,0.576,,,,,,,0.18769790565429845,0.18769790565429845,0.9090909090909091,363.0,1.0,1,,True
