symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
SPY,A01_ts_momentum_12,trend,False,-0.023783196132746577,0.16666666666666666,0.5445400550039428,0.3257693181003145,0.07475173416806989,-0.025315100496233298,2463,251,False,False,False,True,True,True,True
SPY,A01_ts_momentum_24,trend,False,-0.03437800195126672,0.16666666666666666,0.5499978043353859,0.24234136973642934,0.04162463305184638,0.19457686200211444,2463,251,False,False,False,True,True,True,True
SPY,A01_ts_momentum_48,trend,False,-0.07164205106272103,0.16666666666666666,0.4675255442801252,0.2571980661844866,0.024918751441150466,0.3414149230270456,2463,251,False,False,True,True,True,True,True
SPY,A01_ts_momentum_72,trend,False,-0.036337729362925744,0.16666666666666666,0.36652220578347483,0.24655010557049528,0.013277748010322912,0.7066220924321195,2439,251,False,False,True,True,True,True,True
SPY,A01_ts_momentum_120,trend,False,-0.041514565928076716,0.0,0.393406178538249,0.2818144043991128,0.00851448282696693,0.631109547699553,2391,251,False,False,True,True,True,True,True
SPY,A16_momentum_ensemble,trend,False,-0.042347383019239654,0.0,0.36793062180650715,0.2198772467756898,0.033321828088406974,0.21184196387299398,2463,251,False,False,True,True,True,True,True
SPY,A24_skip_momentum_72_6,trend,False,-0.05343739805548062,0.16666666666666666,0.4230887541331894,0.27364104687896307,0.012820055091578894,0.6748594965345178,2433,251,False,False,True,True,True,True,True
SPY,A24_skip_momentum_120_6,trend,False,-0.06369595194861483,0.16666666666666666,0.41873291204868546,0.3097696748627981,0.008226249207805767,0.4774924731957097,2385,251,False,False,True,True,True,True,True
SPY,A24_skip_momentum_168_6,trend,False,-0.011825740874321884,0.3333333333333333,0.34508207924465517,0.28215547574946775,0.008176480847547003,0.699064713205866,2337,251,False,False,True,True,True,True,True
SPY,A25_sign_tsmom_24,trend,False,-0.02501731075299436,0.3333333333333333,0.41796459761737076,0.22502357192083894,0.023830036447667867,0.588980876367271,2487,251,False,False,True,True,True,True,True
SPY,A25_sign_tsmom_72,trend,False,-0.022285245411393546,0.16666666666666666,0.3646764021673349,0.26485977325636323,0.010342197053079623,0.7137405590941598,2439,251,False,False,True,True,True,True,True
SPY,A25_sign_tsmom_168,trend,False,-0.017056192410145603,0.0,0.38510311377740797,0.2873215429784001,0.007598408146326267,0.7106791010269202,2343,251,False,False,True,True,True,True,True
SPY,A02_ema_distance_20,trend,False,-0.05668044970818217,0.0,0.8581478719755893,0.28964303935317126,0.08009137081355668,-0.01947048359585036,2492,251,False,False,False,True,True,True,True
SPY,A02_ema_distance_50,trend,False,-0.056928920413740536,0.0,0.6269104291197936,0.19918876364578234,0.041446089023187936,0.14028994004306122,2462,251,False,False,False,True,True,True,True
SPY,A02_ema_distance_100,trend,False,-0.05432594310155106,0.0,0.3706784618023659,0.236964955316828,0.022014979692296127,0.34835640546732793,2412,251,False,False,True,True,True,True,True
SPY,A03_donchian_breakout_20,trend,False,-0.07742496815340424,0.16666666666666666,inf,inf,0.4745663364197781,-0.1372585974422353,2512,251,False,False,False,False,True,True,True
SPY,A08_trend_quality,trend,False,-0.015218615448020934,0.0,0.801486990054743,0.48244930252647544,0.055211612477448414,-0.017812769980829667,2452,251,False,False,False,True,True,True,True
SPY,A09_efficiency_ratio_20,trend,False,-0.02482868143894558,0.16666666666666666,0.5333821827648727,0.22916103935551807,0.06821698069163092,0.06561638614136038,2491,251,False,False,False,True,True,True,True
SPY,A04_short_reversion_1,mean_reversion,False,0.024590637489844226,0.8333333333333334,0.8572072824293625,1.0,0.2075733549381224,-0.47305246080855157,2411,251,True,True,False,False,True,True,True
SPY,A04_short_reversion_2,mean_reversion,False,0.035741481055056736,0.6666666666666666,0.6838551620385019,0.5895777707380294,0.13819120471053456,-0.2764714365730224,2410,251,True,True,False,True,True,True,True
SPY,A04_short_reversion_3,mean_reversion,False,0.0412186847219793,0.8333333333333334,0.5232081051083318,0.3830899610431846,0.10550379777242946,-0.21211265518935596,2409,251,True,True,False,True,True,True,True
SPY,A04_short_reversion_6,mean_reversion,True,0.03463349031682199,0.8333333333333334,0.4363932125419186,0.3759309028356056,0.07157533281485266,-0.12775807710486178,2406,251,True,True,True,True,True,True,True
SPY,A05_bollinger_reversion_20,mean_reversion,True,0.041105139419859216,0.6666666666666666,0.4406567600197207,0.35160491774811453,0.060190969327620206,0.05761098018897553,2492,251,True,True,True,True,True,True,True
SPY,A06_rsi_reversion_14,mean_reversion,True,0.05355072091427941,1.0,0.30354226940778406,0.20595828666437493,0.05364134600722093,0.09639192345319983,2497,251,True,True,True,True,True,True,True
