alpha_name,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
A01_ts_momentum_12,False,-0.006809847740627448,0.3333333333333333,1.0,1.0,50.7274687680261,-1.304428305295652,2512,251,False,False,False,False,False,True,True
A01_ts_momentum_120,False,-0.016988275838806112,0.3333333333333333,1.0,0.580233640534153,1.3231605396695394,-0.10673383174619436,2512,251,False,False,False,True,False,True,True
A01_ts_momentum_24,False,-0.013807036644604788,0.3333333333333333,0.7548021296656332,inf,14.985402981917552,-0.884656380314464,2512,251,False,False,False,False,False,True,True
A01_ts_momentum_48,False,-0.005633870036580334,0.5,inf,0.5830793695812513,10.793783755268203,-0.6745103854182256,2512,251,False,False,False,True,False,True,True
A01_ts_momentum_72,False,-0.008065432022859198,0.16666666666666666,inf,0.5488313493555942,4.4575842976975375,-0.45190009820329224,2512,251,False,False,False,True,False,True,True
A02_ema_distance_100,False,-0.01822520881082918,0.3333333333333333,1.0,0.5414742293363788,2.5836516546577624,-0.352951192362731,2512,251,False,False,False,True,False,True,True
A02_ema_distance_20,False,-0.009786936843690069,0.3333333333333333,1.0,0.7271151281123038,14.841990662760258,-1.1607119103121977,2512,251,False,False,False,False,False,True,True
A02_ema_distance_50,False,-0.012768117019089397,0.3333333333333333,1.0,0.8704332244687897,3.0172453807517985,-0.5490725602052386,2512,251,False,False,False,False,False,True,True
A03_donchian_breakout_20,False,-0.012278401358420173,0.3333333333333333,inf,inf,inf,-1.245035794375622,2512,251,False,False,False,False,False,True,True
A04_short_reversion_1,False,0.030133229445322013,0.6666666666666666,inf,inf,4.90535242060373,-3.1101868948088307,2512,251,True,True,False,False,False,True,True
A04_short_reversion_2,False,0.02307292480368763,0.8333333333333334,inf,1.0,4.392103367923209,-2.1809479518221844,2512,251,True,True,False,False,False,True,True
A04_short_reversion_3,False,-0.0028194750024004168,0.5,inf,1.0,14.418225460789198,-2.1557684170015534,2512,251,False,False,False,False,False,True,True
A04_short_reversion_6,False,-0.011587806403561399,0.3333333333333333,inf,1.0,inf,-1.7460257947703686,2512,251,False,False,False,False,False,True,True
A05_bollinger_reversion_20,False,0.0044410088431934775,0.5,inf,1.0,15.010435419796156,-1.3273926849465125,2512,251,True,False,False,False,False,True,True
A06_rsi_reversion_14,False,0.012477501634538384,0.6666666666666666,inf,1.0,inf,-1.2993185434884338,2512,251,True,True,False,False,False,True,True
A07_atr_percentile,False,-0.023444496835079768,0.3333333333333333,inf,0.4541803977320775,30.437232923478177,-0.5728329025744245,2512,251,False,False,False,True,False,True,True
A07_volatility_compression,False,0.010665333140919614,0.8333333333333334,0.6239524188569706,0.7132560425443313,4.70483224425931,-0.40667749664203956,2512,251,True,True,False,False,False,True,True
A08_trend_quality,False,-0.0035271480464852075,0.3333333333333333,0.8769667206497455,0.6737969946256691,1.6013088713918495,-0.12693820929268718,2512,251,False,False,False,False,False,True,True
A09_efficiency_ratio_20,False,-0.016736444720583624,0.3333333333333333,1.0,1.0,4.351855180361386,-0.619610150120091,2512,251,False,False,False,False,False,True,True
A10_volume_surprise_48,False,0.019374854186036402,0.8333333333333334,inf,inf,11.874615324555599,-3.6615042023895192,2512,251,True,True,False,False,False,True,True
A11_signed_volume_pressure_6,False,-0.008402857975879873,0.16666666666666666,inf,inf,inf,-1.7282450713441468,2512,251,False,False,False,False,False,True,True
A12_close_location_value_10,False,-0.03758900623847059,0.0,inf,inf,inf,-1.3413612840717473,2512,251,False,False,False,False,False,True,True
A13_intraday_range_position_10,False,-0.03758900623847058,0.0,inf,inf,inf,-1.3413612840717475,2512,251,False,False,False,False,False,True,True
A14_gap_proxy,False,-0.009229778759409736,0.5,inf,inf,71.28711244113147,-4.032603335732823,2512,251,False,False,False,False,False,True,True
A15_volatility_adjusted_breakout_20,False,-0.008027476734838349,0.3333333333333333,inf,inf,inf,-0.7689715292386241,2512,251,False,False,False,False,False,True,True
A16_momentum_ensemble,False,-0.014935896672036842,0.3333333333333333,1.0,0.5974752399271631,3.8499015324961805,-0.5420502656064381,2512,251,False,False,False,True,False,True,True
A17_mean_reversion_ensemble,False,0.002421713850605165,0.5,inf,1.0,10.501127986598894,-1.844004444844789,2512,251,True,False,False,False,False,True,True
A20_market_breadth_24,False,,0.0,inf,inf,inf,0.0,2512,251,False,False,False,False,False,True,True
A23_cross_sectional_relative_strength_24,False,-0.018484331369717638,0.3333333333333333,inf,inf,inf,-0.9820633736012587,2512,251,False,False,False,False,False,True,True
A24_skip_momentum_120_6,False,-0.020033305326845878,0.16666666666666666,inf,0.7068443805068297,2.634686690139636,-0.2700187155072443,2512,251,False,False,False,False,False,True,True
A24_skip_momentum_168_6,False,-0.01267567936772588,0.3333333333333333,0.5537071522974805,0.48909826732679357,0.9895388491700253,0.003777766778797584,2512,251,False,False,False,True,False,True,True
A24_skip_momentum_72_6,False,-0.016078067827468415,0.3333333333333333,inf,0.7147048165701766,3.803398099779015,-0.4289647870141757,2512,251,False,False,False,False,False,True,True
A25_sign_tsmom_168,True,0.01859105597951226,0.6666666666666666,0.45598674243928006,0.506226446365891,0.6590982937203935,0.1702357842462066,2512,251,True,True,True,True,True,True,True
A25_sign_tsmom_24,False,-0.014230821710742197,0.16666666666666666,inf,1.0,inf,-1.12790582735861,2512,251,False,False,False,False,False,True,True
A25_sign_tsmom_72,False,-0.0006370166252354036,0.5,inf,0.60499205525372,2.331396664155136,-0.3100543292235439,2512,251,False,False,False,False,False,True,True
