regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
2008_2009,632,10000.0,9180.539828930961,-0.08194601710690386,-0.033624453165271406,0.09637114402304267,-0.4644367928039187,-0.6163913740099595,-0.2176888677765039,-0.15446105953287814,-0.06811474438386872,617.0,0.9333870973436639,0.5,,,,,,,0.026316034820849543,-0.08976992341687262,0.4482758620689655,913.0416666666666,0.5,2,,period
2010_2014,1258,10000.0,9620.112004481445,-0.03798879955185541,-0.007733843789940464,0.059225481145035404,-0.16023884636472496,-0.23788089468500176,-0.06007916543193667,-0.12872755029698424,-0.05251750212621043,728.0,0.9778816638928262,0.492845786963434,,,,,,,0.07470298617409443,-0.04767406833940735,0.4915254237288136,1822.0,0.4,5,-0.9529932955730137,period
2015_2019,1258,10000.0,9176.149785030928,-0.0823850214969073,-0.01706932917336601,0.05965348746370356,-0.38866188684078246,-0.5989652726165667,-0.12921023891796615,-0.13210508173584523,-0.07762717650816961,1095.0,0.9468733235357255,0.5039745627980922,,,,,,,0.0067607678391616854,-0.05543869666628054,0.4067796610169492,1824.0,0.2,5,-0.8260865295423143,period
2020_2022,756,10000.0,9382.289266514957,-0.06177107334850429,-0.021081846287715256,0.04973093093453567,-0.5945412351716651,-0.8524415032757356,-0.1852077725731398,-0.11382808612629847,-0.07157411368681561,702.0,0.9194498627027075,0.5052910052910053,,,,,,,-0.009748164471391818,-0.03997811592505662,0.4,1093.0,0.0,3,-0.49384099517566216,period
2023_plus,926,10000.0,10016.612664210155,0.0016612664210156058,0.0004502073727719047,0.039319680067246295,0.0363140219429964,0.05562311894165042,0.009914269828868871,-0.04541003831275281,-0.020220581681660032,538.0,1.0049136973699446,0.5107991360691144,,,,,,,0.0316947221552506,-0.034701883854215576,0.5227272727272727,1346.9583333333333,0.3333333333333333,3,-0.056122258370235004,period
foreign_fx_above_200d,2527,10000.0,10326.874524183158,0.03268745241831583,0.0016770734292528289,0.0524890308152211,0.11480119481926113,0.17132676694115187,0.014565585423685244,-0.11513944551282662,-0.05137690438728055,1849.0,1.0163203970725712,0.5089038385437278,,,,,,,0.06446310492408358,-0.06742539720186735,0.4866666666666667,7011.0,0.0,0,-0.5344105689361363,usd_regime
foreign_fx_below_200d,2303,10000.0,7375.1293256774,-0.26248706743226,-0.01679436489120134,0.06939988958706618,-0.6610261765563078,-0.8949701698733272,-0.05921393593444159,-0.2836218303372898,-0.15158243575372077,2285.0,0.9062541139287209,0.4945722970039079,,,,,,,0.043289374647106804,-0.0818172949589131,0.44525547445255476,6566.0,0.5,2,-1.445877497936635,usd_regime
2007,127,10000.0,9827.338673499502,-0.017266132650049726,-0.03434194011957559,0.07472088062402782,-0.632825005305071,-0.7514604818279649,-0.6132956595759201,-0.05599573318898465,-0.028017459653729967,112.0,0.915682237819104,0.5590551181102362,,,,,,,-0.017266132650049726,-0.017266132650049726,0.4,182.04166666666666,0.0,0,,calendar_year
2008,253,10000.0,9102.300765831274,-0.08976992341687262,-0.09006388113001773,0.119976734998099,-1.0715034772009528,-1.360945503252271,-0.7667558723571254,-0.11746096036166964,-0.030233588825109094,146.0,0.8412550498404077,0.48221343873517786,,,,,,,-0.08976992341687262,-0.08976992341687262,0.36363636363636365,364.0,0.0,1,,calendar_year
2009,252,10000.0,10263.160348208496,0.026316034820849543,0.02648129174129421,0.07737974851284479,0.5252653796917671,0.9339521017925067,0.2951393024170478,-0.08972472159561695,-0.04134769628265842,232.0,1.0689525826975859,0.4880952380952381,,,,,,,0.026316034820849543,0.026316034820849543,0.5454545454545454,363.0,1.0,1,,calendar_year
