year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2007,251,10000.0,7772.622515171027,-0.2227377484828973,-0.2244941060226472,0.39777143839659124,-0.722337241059878,-1.152416679128716,-0.8822908152290502,-0.25444456878355537,-0.08770912387653515,133.0,0.9066611727076356,0.47808764940239046,,,,,,,-0.2227377484828973,-0.2227377484828973,0.36363636363636365,362.0,0.0,1,,False
2008,253,10000.0,5802.725861055117,-0.4197274138944883,-0.42081093946612314,1.0397926926929852,-0.24435197259902436,-0.37742140260045465,-0.5435948508410153,-0.7741260588010929,-0.3334315414081993,244.0,0.962148706652996,0.44664031620553357,,,,,,,-0.4197274138944883,-0.4197274138944883,0.36363636363636365,364.0,0.0,1,,False
2009,252,10000.0,10718.819120317035,0.07188191203170358,0.07234320329304489,0.6200474819112105,0.47090285936346044,0.8299851105060042,0.32185523847060754,-0.22476938277222236,-0.11014349617960971,73.0,1.0654025213119784,0.503968253968254,,,,,,,0.07188191203170358,0.07188191203170358,0.45454545454545453,363.0,1.0,1,,False
2010,252,10000.0,9718.578909687798,-0.028142109031220275,-0.028468660794743528,0.3677243800882617,0.07081557768381186,0.11669300231487487,-0.13406682381628876,-0.21234679829331993,-0.10732833878820269,247.0,1.009815400136689,0.46825396825396826,,,,,,,-0.028142109031220275,-0.028142109031220275,0.6363636363636364,361.0,0.0,1,,False
2011,252,10000.0,6156.358510394742,-0.38436414896052584,-0.3878700289452707,0.443611263934641,-1.360552989185538,-2.0321608564935323,-0.965051498860875,-0.40191640487901803,-0.2306482823102425,184.0,0.8309740527138314,0.46825396825396826,,,,,,,-0.38436414896052584,-0.38436414896052584,0.2727272727272727,361.0,0.0,1,,False
2012,250,10000.0,7205.580644586912,-0.2794419355413088,-0.2809041769661046,0.39295601783034667,-1.0215360045268385,-1.7412241646416646,-0.7722792257557431,-0.36373395476385517,-0.2271563594893368,249.0,0.8715785649933377,0.444,,,,,,,-0.2794419355413088,-0.2794419355413088,0.5454545454545454,363.0,0.0,1,,False
2013,252,10000.0,4835.198151598107,-0.5164801848401892,-0.5186531137533932,0.5614778341224412,-1.5938777524675931,-2.8398365919083837,-0.9325721532953835,-0.5561533356112497,-0.36952004710858666,251.0,0.8056166859505749,0.4365079365079365,,,,,,,-0.5164801848401892,-0.5164801848401892,0.2727272727272727,363.0,0.0,1,,False
2014,252,10000.0,7846.503279111387,-0.21534967208886124,-0.21652827646328465,0.5419213051562781,-0.3771403200501399,-0.5870711001007506,-0.472359098416299,-0.4583975987532566,-0.15224226596274087,102.0,0.9493098466469436,0.46825396825396826,,,,,,,-0.21534967208886124,-0.21534967208886124,0.5454545454545454,363.0,0.0,1,,False
2015,252,10000.0,7151.436306106136,-0.2848563693893864,-0.2863409887105428,0.6413398451824862,-0.4352365020334917,-0.6844123479443294,-0.5707528518256141,-0.5016899833170356,-0.2718466907107897,240.0,0.9431049229645687,0.47619047619047616,,,,,,,-0.2848563693893864,-0.2848563693893864,0.36363636363636365,363.0,0.0,1,,False
2016,252,10000.0,15975.107909993518,0.5975107909993518,0.6063453278127375,0.6867943003457847,1.334443853680357,2.0201162746126378,1.5211898014656982,-0.39859939057474036,-0.1478638500649742,97.0,1.1937449158142526,0.5396825396825397,,,,,,,0.5975107909993518,0.5975107909993518,0.6363636363636364,361.0,1.0,1,,False
