year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2001,248,10000.0,10039.404427846572,0.0039404427846572165,0.003964915373129818,0.0789434481906882,0.11271989357450589,0.06515423118563649,0.10973467823078968,-0.036131835779305455,-0.018355675525719265,229.0,1.0517326530564923,0.04032258064516129,,,,,,,0.0039404427846572165,0.0039404427846572165,0.0,363.0,1.0,1,,True
2002,252,10000.0,10023.757806112491,0.002375780611249212,0.0023905241114881015,0.04966822715375861,0.09396879297537293,0.052855949991921426,0.06372821127220105,-0.0375112381748407,-0.009701407025199251,233.0,1.0466805552116147,0.03571428571428571,,,,,,,0.002375780611249212,0.002375780611249212,0.0,363.0,1.0,1,,True
2003,252,10000.0,9959.245083029364,-0.004075491697063671,-0.004100701143964658,0.034760378527766714,-0.15291841676569282,-0.08605058354734474,-0.18568735276307974,-0.022083901153983176,-0.008964449250266916,232.0,0.9360934479844445,0.03571428571428571,,,,,,,-0.004075491697063671,-0.004075491697063671,0.0,363.0,0.0,1,,False
2004,252,10000.0,10253.246474927964,0.025324647492796393,0.025412709801766686,0.05046763847204853,0.743431053481476,0.405390067291675,0.6832160722674293,-0.03719571425980661,-0.03595049247786781,240.0,1.4292265775233834,0.04365079365079365,,,,,,,0.025324647492796393,0.025324647492796393,0.0,364.0,1.0,1,,True
2005,252,10000.0,9633.53402202881,-0.036646597797118985,-0.03706993607942066,0.04871223861078273,-1.0863153926489253,-0.4294527788498857,-0.7666678892297779,-0.048352013433955676,-0.023720840473864257,251.0,0.5904072342672311,0.03968253968253968,,,,,,,-0.036646597797118985,-0.036646597797118985,0.0,361.0,0.0,1,,False
2006,251,10000.0,10805.154893075576,0.0805154893075577,0.0817364128796585,0.04242194420889393,2.6777864947319405,2.4662332970942202,8.565104488423932,-0.009542955721103974,-0.0052935437315830385,234.0,4.39502953402082,0.05976095617529881,,,,,,,0.0805154893075577,0.0805154893075577,0.0,360.0,1.0,1,,True
2007,251,10000.0,9931.657753511578,-0.006834224648842202,-0.006895369612806124,0.046558108362909995,-0.19100783094714638,-0.08772139728402124,-0.20453479723625934,-0.03371245238452625,-0.011150063704427867,249.0,0.9163778111885146,0.04780876494023904,,,,,,,-0.006834224648842202,-0.006834224648842202,0.0,362.0,0.0,1,,False
2008,253,10000.0,9829.235212108895,-0.01707647878911045,-0.0171346152518721,0.055609660042571396,-0.4191911618546294,-0.1701489799492359,-0.3327766617546827,-0.051489834538046564,-0.014885348964464553,252.0,0.8307954121373547,0.043478260869565216,,,,,,,-0.01707647878911045,-0.01707647878911045,0.0,364.0,0.0,1,,False
2009,252,10000.0,9687.056176339667,-0.031294382366033324,-0.031485269695008755,0.07084630343786355,-0.6148388501885744,-0.3151251453936679,-0.7512488363375013,-0.04191057366358952,-0.03665905333535788,247.0,0.7500229393755408,0.051587301587301584,,,,,,,-0.031294382366033324,-0.031294382366033324,0.0,363.0,0.0,1,,False
2010,252,10000.0,9892.268416682728,-0.010773158331727206,-0.010899295449646962,0.03456905241100427,-0.4368391390128233,-0.25342302185510823,-0.5370227469180379,-0.02029577985699449,-0.01964462506236565,251.0,0.8329224472471225,0.03571428571428571,,,,,,,-0.010773158331727206,-0.010773158331727206,0.0,361.0,0.0,1,,False
