year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2010,252,10000.0,12520.393637374378,0.25203936373743785,0.25535693284673866,0.3437504233564651,1.1201917355941744,1.788448518330216,1.4468287872741352,-0.1764942300656307,-0.06921674442240397,164.0,1.159879252396585,0.5396825396825397,,,,,,,0.25203936373743785,0.25203936373743785,0.8181818181818182,361.0,1.0,1,,True
2011,252,10000.0,5883.643252622694,-0.41163567473773066,-0.41529822528030824,0.40709313360106075,-1.6818650984539325,-2.4581957117599056,-0.8946505626427225,-0.4642016029739614,-0.226130725156178,184.0,0.7953308116879101,0.45634920634920634,,,,,,,-0.41163567473773066,-0.41163567473773066,0.18181818181818182,361.0,0.0,1,,False
2012,250,10000.0,7672.3249597138365,-0.23276750402861635,-0.2340265322509042,0.3246984940446096,-1.029153729433329,-1.6795123329644903,-0.6799984133821112,-0.3441574680842642,-0.20958333735932574,232.0,0.8703952551657544,0.46,,,,,,,-0.23276750402861635,-0.23276750402861635,0.2727272727272727,363.0,0.0,1,,False
2013,252,10000.0,5564.365572993185,-0.4435634427006815,-0.4455815774899391,0.4331461682182902,-1.7433655059499993,-2.981049202170512,-0.8788551538360986,-0.5070022921809451,-0.2968105588933189,245.0,0.7876345981707126,0.4166666666666667,,,,,,,-0.4435634427006815,-0.4435634427006815,0.2727272727272727,363.0,0.0,1,,False
2014,252,10000.0,7910.63366314871,-0.20893663368512894,-0.21008501763710186,0.5833122870929843,-0.2906157425627467,-0.4954315808258695,-0.4421801976554391,-0.4751117728723049,-0.16051971774335558,120.0,0.962374101502936,0.4722222222222222,,,,,,,-0.20893663368512894,-0.20893663368512894,0.45454545454545453,363.0,0.0,1,,False
2015,252,10000.0,8843.60937263079,-0.11563906273692093,-0.11631243712424977,0.45458698483031784,-0.1641549992244192,-0.2701940284696133,-0.36910112365759057,-0.31512349778742754,-0.17395950633180787,245.0,0.9782844115103547,0.5,,,,,,,-0.11563906273692093,-0.11563906273692093,0.5454545454545454,363.0,0.0,1,,False
2016,252,10000.0,16312.719233535621,0.6312719233535622,0.6406970719610321,0.5555758745770073,1.5557578117117798,2.5545498435641596,2.0471045535852546,-0.3129772100984921,-0.10417326695748032,99.0,1.2264013084432748,0.5476190476190477,,,,,,,0.6312719233535622,0.6312719233535622,0.5454545454545454,361.0,1.0,1,,False
2017,251,10000.0,9220.175750580634,-0.07798242494193652,-0.07907348026969041,0.35798172306193643,-0.15098387762022408,-0.21267483148362856,-0.24430557046826126,-0.3236663008466406,-0.2177348569544339,227.0,0.9770008413616359,0.4860557768924303,,,,,,,-0.07798242494193652,-0.07798242494193652,0.2727272727272727,360.0,0.0,1,,False
2018,251,10000.0,8722.82666417033,-0.12771733358296689,-0.12845580322572236,0.23868483475491076,-0.7133110010312641,-1.0969242725013093,-0.6037512231228241,-0.21276280412535076,-0.10569605893477667,250.0,0.9076286158231127,0.4820717131474104,,,,,,,-0.12771733358296689,-0.12771733358296689,0.45454545454545453,363.0,0.0,1,,False
2019,252,10000.0,11611.165817393521,0.16111658173935206,0.1621921832272415,0.2977144755879305,0.8761799220067149,1.5270726160116177,1.0163233211574723,-0.15958719026788026,-0.0756844502318413,101.0,1.1211934799929593,0.5277777777777778,,,,,,,0.16111658173935206,0.16111658173935206,0.5454545454545454,363.0,1.0,1,,True
