funding_time,spot,perp_mark,funding_rate
2020-01-15 08:00:00+00:00,0.01673,0.01671957,0.0001
2020-01-15 16:00:00+00:00,0.01693,0.01697211,0.00313699
2020-01-16 00:00:00+00:00,0.0173,0.0173111,0.00093364
2020-01-16 08:00:00+00:00,0.01649,0.01649046,0.0001
2020-01-16 16:00:00+00:00,0.01671,0.01670538,0.0001
2020-01-17 00:00:00+00:00,0.01734,0.0173322,0.0001
2020-01-17 08:00:00+00:00,0.01754,0.01754499,0.0001
2020-01-17 16:00:00+00:00,0.01741,0.01741485,0.0001
2020-01-18 00:00:00+00:00,0.01757,0.01759718,0.00046945
2020-01-18 08:00:00+00:00,0.01743,0.01744575,0.0001
2020-01-18 16:00:00+00:00,0.01774,0.01772682,0.00046607
2020-01-19 00:00:00+00:00,0.01767,0.01766227,0.00077247
2020-01-19 08:00:00+00:00,0.01802,0.01801971,0.00021337
2020-01-19 16:00:00+00:00,0.01646,0.01645627,0.0001
2020-01-20 00:00:00+00:00,0.01665,0.01664264,0.0001
2020-01-20 08:00:00+00:00,0.01658,0.01656573,0.0001
2020-01-20 16:00:00+00:00,0.01669,0.01669075,0.0001
2020-01-21 00:00:00+00:00,0.01661,0.01662002,0.0001
2020-01-21 08:00:00+00:00,0.01682,0.01684377,0.0001
2020-01-21 16:00:00+00:00,0.01711,0.01710284,0.0001
2020-01-22 00:00:00+00:00,0.01733,0.01731548,0.0001
2020-01-22 08:00:00+00:00,0.01739,0.01740455,0.0001
2020-01-22 16:00:00+00:00,0.01717,0.01718374,0.0001
2020-01-23 00:00:00+00:00,0.01743,0.01741416,0.0001
2020-01-23 08:00:00+00:00,0.01687,0.01684439,0.0001
2020-01-23 16:00:00+00:00,0.01649,0.01647596,0.0001
2020-01-24 00:00:00+00:00,0.01627,0.01626647,0.0001
2020-01-24 08:00:00+00:00,0.01599,0.01599399,0.0001
2020-01-24 16:00:00+00:00,0.01655,0.01652916,0.0001
2020-01-25 00:00:00+00:00,0.01638,0.01639368,0.0001
2020-01-25 08:00:00+00:00,0.01606,0.0160586,0.0001
2020-01-25 16:00:00+00:00,0.01614,0.01612725,0.0001
2020-01-26 00:00:00+00:00,0.01612,0.01614906,0.0001
2020-01-26 08:00:00+00:00,0.01627,0.01627625,0.0001
2020-01-26 16:00:00+00:00,0.01643,0.01644749,0.0001
2020-01-27 00:00:00+00:00,0.01685,0.01684324,0.0001
2020-01-27 08:00:00+00:00,0.01692,0.01691919,0.0001
2020-01-27 16:00:00+00:00,0.01719,0.01720255,0.0001
