regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
2021,163,10000.0,7472.704924544111,-0.25272950754558887,-0.36656836718077423,0.27863979826640584,-2.2014908450501327,-3.709573523613131,-1.3963603181905666,-0.26251703260644166,-0.18776218392025704,162.0,0.7461954750615251,0.3987730061349693,,,,,,,-0.25272950754558887,-0.25272950754558887,0.14285714285714285,233.04166666666666,0.0,0,,period
2022,251,10000.0,19029.618652321693,0.9029618652321691,0.917431132818139,0.5794330938059301,1.9078516078392662,3.2096497475752535,3.0354428721851385,-0.3022396307388594,-0.10742822521983628,70.0,1.2818821696988536,0.5657370517928287,,,,,,,0.9029618652321691,0.9029618652321691,0.7272727272727273,361.0,1.0,1,,period
2023_2024,502,10000.0,14162.290403545763,0.4162290403545763,0.19076551534690322,0.47136744133946556,0.7718235607973686,1.3585080139318655,0.52619873954822,-0.3625351051024739,-0.15711987821636433,300.0,1.1111077621663046,0.4681274900398406,,,,,,,0.3494689975503851,0.04947134237642925,0.5217391304347826,728.0,1.0,2,,period
2025_plus,424,10000.0,11270.493265589022,0.12704932655890233,0.07337409307931764,0.4088552348104349,0.4554828530434854,0.8039838417428434,0.2590097873047675,-0.283286951596856,-0.15955201616381398,328.0,1.0634103089390805,0.5094339622641509,,,,,,,0.12686722901337077,0.000161596274025122,0.55,616.9583333333334,1.0,1,,period
2022,251,10000.0,19029.618652321693,0.9029618652321691,0.917431132818139,0.5794330938059301,1.9078516078392662,3.2096497475752535,3.0354428721851385,-0.3022396307388594,-0.10742822521983628,70.0,1.2818821696988536,0.5657370517928287,,,,,,,0.9029618652321691,0.9029618652321691,0.7272727272727273,361.0,1.0,1,,calendar_year
2023,250,10000.0,10494.713423764293,0.04947134237642925,0.05021061822458517,0.45833681720325936,0.38274862695175693,0.6211283515552624,0.1384986378364453,-0.3625351051024739,-0.09948177633495765,94.0,1.0537957751542042,0.468,,,,,,,0.04947134237642925,0.04947134237642925,0.6363636363636364,360.0,1.0,1,,calendar_year
2024,252,10000.0,13494.68997550385,0.3494689975503851,0.3508586237628286,0.48374965104744966,1.138403074061667,2.181548309563693,1.1290444935275434,-0.3107571276191422,-0.12652269249585474,172.0,1.1675027225066181,0.46825396825396826,,,,,,,0.3494689975503851,0.3494689975503851,0.36363636363636365,364.0,1.0,1,,calendar_year
2025,250,10000.0,10001.61596274025,0.000161596274025122,0.00016259798524997926,0.4297969765976922,0.21490822147222602,0.36810731396244345,0.0005849346707529755,-0.277976316638352,-0.14068431814201812,154.0,1.0290695064675122,0.516,,,,,,,0.000161596274025122,0.000161596274025122,0.6363636363636364,363.0,1.0,1,,calendar_year
2026,174,10000.0,11268.672290133707,0.12686722901337077,0.18904158304891983,0.376622085256642,0.8525319496169168,1.652473690766879,0.9687229438993296,-0.19514514881621836,-0.07452989144484345,57.0,1.1239145409141083,0.5,,,,,,,0.12686722901337077,0.12686722901337077,0.5,251.95833333333334,0.0,0,,calendar_year
other_days,163,10000.0,7472.704924544111,-0.25272950754558887,-0.36656836718077423,0.27863979826640584,-2.2014908450501327,-3.709573523613131,-1.3963603181905666,-0.26251703260644166,-0.18776218392025704,162.0,0.7461954750615251,0.3987730061349693,,,,,,,-0.25272950754558887,-0.25272950754558887,0.14285714285714285,233.04166666666666,0.0,0,,calendar_year
