year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2006,251,10000.0,10182.439522310196,0.0182439522310196,0.01851245760860243,0.23649351525856072,0.2295086635307352,0.28232386174073054,0.0753879515997416,-0.2455625496616608,-0.08858569493758259,198.0,1.039537971241435,0.5099601593625498,,,,,,,0.0182439522310196,0.0182439522310196,0.7272727272727273,360.0,1.0,1,,False
2007,251,10000.0,10886.86163515829,0.08868616351582892,0.0895170028128498,0.25047765828332663,0.6200531615460986,0.7267507300612145,0.4006052369054308,-0.2234543999083609,-0.061096164151874466,136.0,1.1135418553668088,0.49800796812749004,,,,,,,0.08868616351582892,0.08868616351582892,0.6363636363636364,362.0,1.0,1,,False
2008,253,10000.0,12483.465200065159,0.2483465200065158,0.24929780291576553,0.35547771549133883,1.0803952956182348,1.3030362917593408,1.1743362045093095,-0.2122882714153681,-0.08657762275519822,178.0,1.1780718040544214,0.5691699604743083,,,,,,,0.2483465200065158,0.2483465200065158,0.7272727272727273,364.0,1.0,1,,False
2009,252,10000.0,5752.597602063806,-0.4247402397936194,-0.4267084380679931,0.7365056820420959,-0.7148341380537049,-0.9201470604402913,-0.733323746565706,-0.581882749694592,-0.3618975424809171,242.0,0.8955832986535861,0.503968253968254,,,,,,,-0.4247402397936194,-0.4247402397936194,0.5454545454545454,363.0,0.0,1,,False
2010,252,10000.0,9747.992373275418,-0.025200762672458188,-0.025493633399986892,0.531620699408789,0.19762196299600185,0.24427009290230908,-0.06940847215324562,-0.36729858199010623,-0.09301182229240743,85.0,1.0315594461361037,0.5357142857142857,,,,,,,-0.025200762672458188,-0.025200762672458188,0.36363636363636365,361.0,0.0,1,,False
2011,252,10000.0,19417.050638618468,0.9417050638618469,0.9569332055436295,0.4656260623380666,2.301657854773686,3.0052332991032187,7.539875249471755,-0.12691631809301784,-0.03145849955584387,70.0,1.4287380280654591,0.5674603174603174,,,,,,,0.9417050638618469,0.9417050638618469,0.7272727272727273,361.0,1.0,1,,True
2012,250,10000.0,8904.924991291871,-0.10950750087081296,-0.11014743520636727,0.44339665944624956,-0.1556907734789101,-0.1662955849000596,-0.35471494015218724,-0.310523811483975,-0.14104179097505526,113.0,0.9760182021619134,0.568,,,,,,,-0.10950750087081296,-0.10950750087081296,0.7272727272727273,363.0,0.0,1,,False
2013,252,10000.0,5019.311602025968,-0.49806883979740324,-0.5002087524786372,0.5055550652068508,-1.716082503158846,-2.007448207331762,-0.966507737731721,-0.5175424189076517,-0.2956893178588105,241.0,0.7723308305289676,0.5079365079365079,,,,,,,-0.49806883979740324,-0.49806883979740324,0.45454545454545453,363.0,0.0,1,,False
2014,252,10000.0,14103.168411524388,0.4103168411524387,0.4133255452276523,0.2661978219550277,2.0067839483056815,2.471797492240322,2.683825180087994,-0.15400613582964473,-0.03250984179074675,62.0,1.3744754258198688,0.5396825396825397,,,,,,,0.4103168411524387,0.4103168411524387,0.6363636363636364,363.0,1.0,1,,True
2015,252,10000.0,6697.447872126619,-0.33025521278733816,-0.33191723554042896,0.5640792826274239,-0.7449920580376068,-0.9571499202434796,-0.7107990083607366,-0.4669635602136042,-0.3078343386846804,232.0,0.8943927981035954,0.5158730158730159,,,,,,,-0.33025521278733816,-0.33025521278733816,0.2727272727272727,363.0,0.0,1,,False
2016,252,10000.0,8522.465327150887,-0.14775346728491123,-0.1493560886242905,0.432676382023296,-0.30814581874844904,-0.3047083957402098,-0.32451526328082914,-0.46024364806237383,-0.1105203649446383,80.0,0.9488808415614813,0.5357142857142857,,,,,,,-0.14775346728491123,-0.14775346728491123,0.5454545454545454,361.0,0.0,1,,False
2017,251,10000.0,12187.135021414002,0.21871350214140017,0.22223398309049336,0.27740242030913365,1.1770015068739068,1.440486706037878,1.8414014637021907,-0.12068741524929905,-0.030928875826491186,56.0,1.2019695457744348,0.5657370517928287,,,,,,,0.21871350214140017,0.21871350214140017,0.45454545454545453,360.0,1.0,1,,True
2018,251,10000.0,7709.875536109368,-0.22901244638906315,-0.23025434257919242,0.31077300595293356,-1.0602490621670189,-1.2006550293944735,-0.7393052644102274,-0.31144691328943164,-0.18588610764274693,248.0,0.843913525829956,0.5099601593625498,,,,,,,-0.22901244638906315,-0.22901244638906315,0.5454545454545454,363.0,0.0,1,,False
2019,252,10000.0,11298.845441421274,0.12988454414212747,0.13074009328824543,0.3210978608815161,0.7146269294549277,0.7341242052610936,0.5077324321274974,-0.2574980147327187,-0.04655131924346673,82.0,1.139934691879099,0.5436507936507936,,,,,,,0.12988454414212747,0.12988454414212747,0.7272727272727273,363.0,1.0,1,,False
2020,253,10000.0,15256.882675726503,0.5256882675726504,0.5279031991462755,0.5124512832321485,1.4481606380453753,1.8499993153077772,2.567428852120742,-0.20561551246501653,-0.04197962935645773,38.0,1.2569323849637948,0.5454545454545454,,,,,,,0.5256882675726504,0.5256882675726504,0.7272727272727273,364.0,1.0,1,,False
2021,252,10000.0,7258.2093868991315,-0.27417906131008685,-0.27691215903372757,0.46973356289408136,-0.7527290221797285,-1.0101725439721563,-0.6163950368096954,-0.4492446280342469,-0.30747352660866967,251.0,0.8930093167821144,0.5,,,,,,,-0.27417906131008685,-0.27417906131008685,0.6363636363636364,361.0,0.0,1,,False
2022,251,10000.0,1907.8995738373133,-0.8092100426162687,-0.81289491238549,0.7747236248101873,-2.706642704247739,-3.6158406138746235,-1.0306029706065436,-0.7887566168250755,-0.4844257993231456,242.0,0.6813494790017585,0.4860557768924303,,,,,,,-0.8092100426162687,-0.8092100426162687,0.2727272727272727,361.0,0.0,1,,False
2023,250,10000.0,9049.309326073208,-0.09506906739267929,-0.09638643469082087,0.6344249573081885,0.09048242153155908,0.11476711755404528,-0.18032168369054272,-0.5345249263323955,-0.197369783301634,114.0,1.0137157799449144,0.56,,,,,,,-0.09506906739267929,-0.09506906739267929,0.45454545454545453,360.0,0.0,1,,False
2024,252,10000.0,8289.081008034404,-0.17109189919655965,-0.17162586613916742,0.4292493445535062,-0.41603028174914025,-0.4800533544707226,-0.6725787150991719,-0.255175880958203,-0.12391095765835672,145.0,0.9388820871944652,0.5753968253968254,,,,,,,-0.17109189919655965,-0.17109189919655965,0.6363636363636364,364.0,0.0,1,,False
2025,250,10000.0,14064.184354283163,0.40641843542831624,0.4093946413116041,0.36129640455088885,1.5629028962080722,1.780307152850578,2.220511957326499,-0.184369482884711,-0.04911010045290512,53.0,1.280483660172008,0.572,,,,,,,0.40641843542831624,0.40641843542831624,0.7272727272727273,363.0,1.0,1,,True
