year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2015,252,10000.0,10141.683414086578,0.014168341408657747,0.014256784779315579,0.0833177910192878,0.28641181221788603,0.490695865409596,0.37542687184057344,-0.037974865010115155,-0.017361485625271924,183.0,1.0388864303715721,0.45634920634920634,,,,,,,0.014168341408657747,0.014168341408657747,0.5454545454545454,363.0,1.0,1,,True
2016,252,10000.0,9980.37376294603,-0.0019626237053969042,-0.0019857064304786842,0.06227380941654073,-0.014575220471431612,-0.02224158073259383,-0.025973109434082844,-0.07645239533288106,-0.03259989910370739,240.0,0.9979770695093793,0.4365079365079365,,,,,,,-0.0019626237053969042,-0.0019626237053969042,0.5454545454545454,361.0,0.0,1,,False
2017,251,10000.0,9632.924959918793,-0.03670750400812073,-0.03723273097111257,0.05766845639813033,-0.914762099087437,-1.4585717613889129,-0.4850891290847855,-0.07675441220742119,-0.042413498556921087,233.0,0.8844157093238543,0.3944223107569721,,,,,,,-0.03670750400812073,-0.03670750400812073,0.36363636363636365,360.0,0.0,1,,False
2018,251,10000.0,10756.923505638291,0.07569235056382917,0.07617895246617956,0.08459848542571251,1.297600848122094,1.7893302580495654,1.4291629268588584,-0.0533031966016726,-0.014165606465340494,59.0,1.195873663519644,0.4900398406374502,,,,,,,0.07569235056382917,0.07569235056382917,0.5454545454545454,363.0,1.0,1,,True
2019,252,10000.0,10462.603747575951,0.046260374757595146,0.04655368605517607,0.06709051666366742,1.0105954526620735,1.5421484039943394,0.953340093933039,-0.04883219152476548,-0.016845779450461486,161.0,1.152895989929917,0.44047619047619047,,,,,,,0.046260374757595146,0.046260374757595146,0.7272727272727273,363.0,1.0,1,,True
2020,253,10000.0,10152.45648876765,0.015245648876764939,0.015298401887551938,0.09045422708700504,0.2868900580257053,0.3388047818708775,0.22523969115596096,-0.06792054193041397,-0.03623564175279067,240.0,1.041968299653558,0.5098814229249012,,,,,,,0.015245648876764939,0.015245648876764939,0.6363636363636364,364.0,1.0,1,,True
2021,252,10000.0,9517.454867523795,-0.048254513247620534,-0.048808512768220735,0.11007518070410992,-0.5959547948320509,-0.7687989262849447,-0.40006953229587094,-0.12200007455735085,-0.05415113384983615,217.0,0.918673726680563,0.4722222222222222,,,,,,,-0.048254513247620534,-0.048254513247620534,0.45454545454545453,361.0,0.0,1,,False
2022,251,10000.0,12890.10043000508,0.28901004300050803,0.29286843469116985,0.16226619603800627,2.3586962510004135,4.222338994015271,4.038866856997094,-0.07251252518606621,-0.022878119209488356,47.0,1.3867703614386286,0.5258964143426295,,,,,,,0.28901004300050803,0.28901004300050803,0.8181818181818182,361.0,1.0,1,,True
2023,250,10000.0,9979.11538107991,-0.0020884618920089526,-0.0021188863381028655,0.12019374915598158,0.03479468712392908,0.04737351111562881,-0.020654523415951868,-0.10258703604201347,-0.06673086780248924,206.0,1.004975346404785,0.468,,,,,,,-0.0020884618920089526,-0.0020884618920089526,0.36363636363636365,360.0,0.0,1,,False
2024,252,10000.0,9877.938506653787,-0.012206149334621275,-0.012247808309611252,0.10545586261701255,-0.11585724750137391,-0.14448003987047953,-0.09021977952963207,-0.13575524539592276,-0.06625922581303846,183.0,0.9834276939793849,0.46825396825396826,,,,,,,-0.012206149334621275,-0.012206149334621275,0.45454545454545453,364.0,0.0,1,,False
2025,250,10000.0,10369.310615470562,0.036931061547056165,0.03716417516251691,0.09605537602397239,0.5999389931451939,0.6813333617909949,0.4269652341715547,-0.08704262592861212,-0.03197771548445186,187.0,1.0915612196449713,0.5,,,,,,,0.036931061547056165,0.036931061547056165,0.7272727272727273,363.0,1.0,1,,True
