year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2014,252,10000.0,14249.173113201876,0.4249173113201876,0.4280483259515526,0.755819378822074,1.0552716079817046,1.659344786660615,0.8498896760961485,-0.5036516361955752,-0.3280677461695944,215.0,1.1575902049158067,0.5198412698412699,,,,,,,0.4249173113201876,0.4249173113201876,0.5454545454545454,363.0,1.0,1,,False
2015,252,10000.0,7301.292442973981,-0.2698707557026019,-0.2712928210712672,0.9565001316923243,0.013114446293281245,0.01814021421587092,-0.4171150974494522,-0.6504027850589695,-0.41641578389847705,183.0,1.0018328499414624,0.4880952380952381,,,,,,,-0.2698707557026019,-0.2698707557026019,0.45454545454545453,363.0,0.0,1,,False
2016,252,10000.0,3272.610946742758,-0.6727389053257242,-0.6770142948948275,0.9611040307737123,-1.2231803332083688,-2.1877214868124195,-0.8538609126578967,-0.7928859195432879,-0.5139780322319845,224.0,0.8311009866638424,0.42063492063492064,,,,,,,-0.6727389053257242,-0.6727389053257242,0.18181818181818182,361.0,0.0,1,,False
2017,251,10000.0,6933.372400317246,-0.3066627599682754,-0.3103559901153973,0.6062751701669262,-0.5710699395593751,-0.7612690280835549,-0.4930174564070455,-0.6295030451399695,-0.40697089979554496,220.0,0.9235875044657861,0.4701195219123506,,,,,,,-0.3066627599682754,-0.3066627599682754,0.36363636363636365,360.0,0.0,1,,False
2018,251,10000.0,3054.8513363302823,-0.6945148663669718,-0.6967520525515887,0.9107402043964845,-1.4222652650281764,-1.8645895642034465,-0.8731279708374174,-0.7979953406868108,-0.5834649290615483,233.0,0.8194806519976875,0.47410358565737054,,,,,,,-0.6945148663669718,-0.6945148663669718,0.18181818181818182,363.0,0.0,1,,False
2019,252,10000.0,7921.793543070187,-0.2078206456929813,-0.20896373758162767,0.7342193066958947,-0.09039523772020192,-0.12745583378853875,-0.33437389306424936,-0.6249403494592674,-0.2548657093223977,83.0,0.9872583579212522,0.48412698412698413,,,,,,,-0.2078206456929813,-0.2078206456929813,0.5454545454545454,363.0,0.0,1,,False
2020,253,10000.0,6664.829633700889,-0.33351703662991117,-0.3344450275612809,0.8393079170172301,-0.26569003514123146,-0.3279314389469172,-0.542681891494075,-0.6162819006923366,-0.32201428686359734,159.0,0.9619757549126252,0.5019762845849802,,,,,,,-0.33351703662991117,-0.33351703662991117,0.36363636363636365,364.0,0.0,1,,False
2021,252,10000.0,5989.546743121994,-0.4010453256878006,-0.40464877673841304,0.9032934776898108,-0.35331020434248256,-0.4354039967786459,-0.6639454277028081,-0.6094608982224061,-0.3325322096423274,216.0,0.949095558225423,0.4880952380952381,,,,,,,-0.4010453256878006,-0.4010453256878006,0.45454545454545453,361.0,0.0,1,,False
2022,251,10000.0,42864.334721026506,3.286433472102651,3.3605137677407138,1.1985180757818534,2.375250594870158,3.6480980292528913,5.9211787193676475,-0.5675413506349289,-0.23869215701499374,70.0,1.3893183856750586,0.5258964143426295,,,,,,,3.286433472102651,3.286433472102651,0.6363636363636364,361.0,1.0,1,,False
2023,250,10000.0,6580.079351303789,-0.3419920648696211,-0.34599610483399024,0.9163446989341084,-0.19272358873204312,-0.2396969981321653,-0.71855030239846,-0.481519670479693,-0.2490915091407916,139.0,0.9729852743989217,0.496,,,,,,,-0.3419920648696211,-0.3419920648696211,0.5454545454545454,360.0,0.0,1,,False
2024,252,10000.0,11305.405537310357,0.13054055373103557,0.13101700256441617,0.8702049310468293,0.6516152902511096,0.8436757862850284,0.1862395168452157,-0.7034865896548951,-0.3761910477542121,171.0,1.0945653565329998,0.5277777777777778,,,,,,,0.13054055373103557,0.13054055373103557,0.5454545454545454,364.0,1.0,1,,False
2025,250,10000.0,16913.777998829017,0.6913777998829018,0.6968964480457023,0.8605835415308124,1.3405373678458326,1.5720200321484992,1.6703817553916915,-0.41720789023003035,-0.18377207144154387,123.0,1.2066988887169567,0.588,,,,,,,0.6913777998829018,0.6913777998829018,0.6363636363636364,363.0,1.0,1,,False
