year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2015,252,10000.0,27090.024540065275,1.7090024540065274,1.7257881635941041,0.8977555965651656,2.0566963551412636,3.3399587337880514,4.264220549061346,-0.4047136267316169,-0.13536502324467053,113.0,1.3267952300725616,0.503968253968254,,,,,,,1.7090024540065274,1.7090024540065274,0.36363636363636365,363.0,1.0,1,,False
2016,252,10000.0,10277.71321465389,0.027771321465388965,0.028102821038091808,0.6753667344775434,0.3963541822770605,0.6242643114633042,0.05444316979519069,-0.5161863488810732,-0.318766007792156,241.0,1.0563762012568532,0.4642857142857143,,,,,,,0.027771321465388965,0.027771321465388965,0.45454545454545453,361.0,1.0,1,,False
2017,251,10000.0,11042.213910387982,0.10422139103879813,0.10581902723335301,0.5209731576302792,0.5367158603332864,0.8452262889132872,0.3824089473699684,-0.27671692297245465,-0.10019604382385217,106.0,1.0744318368119228,0.50199203187251,,,,,,,0.10422139103879813,0.10422139103879813,0.6363636363636364,360.0,1.0,1,,False
2018,251,10000.0,1610.1476047613594,-0.8389852395238641,-0.8407976153761016,0.78172760748882,-2.9937962786475074,-4.631797936703751,-0.922157688622813,-0.9117720599735847,-0.6167247220248391,232.0,0.670956161658036,0.3745019920318725,,,,,,,-0.8389852395238641,-0.8389852395238641,0.09090909090909091,363.0,0.0,1,,False
2019,252,10000.0,1723.6052568737352,-0.8276394743126265,-0.8295076148479678,0.7236999914660746,-3.1422307087599894,-4.474107605455473,-0.995619529367286,-0.8331572356511708,-0.575146078918229,249.0,0.6504850419726541,0.3888888888888889,,,,,,,-0.8276394743126265,-0.8276394743126265,0.0,363.0,0.0,1,,False
2020,253,10000.0,534.5813739492635,-0.9465418626050737,-0.9470768435593471,1.0416317778033213,-3.504313641057916,-5.009402961647235,-0.9954879795198245,-0.9513694419657095,-0.724789921511575,240.0,0.6115051835585925,0.3794466403162055,,,,,,,-0.9465418626050737,-0.9465418626050737,0.09090909090909091,364.0,0.0,1,,False
2021,252,10000.0,20373.229642121853,1.0373229642121853,1.0544633446907583,1.3077410035939367,1.443789053995166,2.316124367771256,1.247425751304416,-0.8453115093929402,-0.5517203915689577,161.0,1.2135543045283281,0.48412698412698413,,,,,,,1.0373229642121853,1.0373229642121853,0.5454545454545454,361.0,1.0,1,,False
2022,251,10000.0,29869.178454512003,1.9869178454512002,2.025645283663226,1.7165342931655443,1.8145175316707585,2.6748570949491675,2.4272268628942792,-0.834551279334393,-0.5172166201760001,151.0,1.2722618525035356,0.549800796812749,,,,,,,1.9869178454512002,1.9869178454512002,0.45454545454545453,361.0,1.0,1,,False
2023,250,10000.0,23248.77634202794,1.3248776342027941,1.3536584155719416,0.9868179904104584,1.7567649363223463,2.3332945220896444,2.5031938658200827,-0.5407725043016048,-0.250328427923227,109.0,1.2756176323645363,0.548,,,,,,,1.3248776342027941,1.3248776342027941,0.6363636363636364,360.0,1.0,1,,False
2024,252,10000.0,55831.812490973854,4.583181249097385,4.616251762000578,0.7629800329196104,3.6601446474222974,5.518449369106333,11.139184552484314,-0.4144155921154067,-0.1370800008098893,114.0,1.6434264200213853,0.5674603174603174,,,,,,,4.583181249097385,4.583181249097385,0.6363636363636364,364.0,1.0,1,,False
2025,250,10000.0,59872.341862970185,4.987234186297019,5.054018777290824,0.742683276636526,3.9120687592261696,4.96251603626194,13.895612123091118,-0.3637132882323534,-0.09073836722054675,67.0,1.7225415038574377,0.58,,,,,,,4.987234186297019,4.987234186297019,0.8181818181818182,363.0,1.0,1,,False
