year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2014,252,10000.0,9392.555593859823,-0.060744440614017736,-0.06110921044236173,0.036077099437877326,-2.49932491469092,-3.7656104900500758,-0.9436612794982481,-0.06475756902397645,-0.0387215595983286,251.0,0.721420252287075,0.4444444444444444,,,,,,,-0.060744440614017736,-0.060744440614017736,0.36363636363636365,363.0,0.0,1,,False
2015,252,10000.0,9967.649561355232,-0.0032350438644768165,-0.003255063118757895,0.03675168053287432,-0.10941804649453792,-0.18224767454990912,-0.1438070916980836,-0.02263492766818309,-0.011469715610662895,207.0,0.9853898198626845,0.47619047619047616,,,,,,,-0.0032350438644768165,-0.0032350438644768165,0.36363636363636365,363.0,0.0,1,,False
2016,252,10000.0,9279.322053566284,-0.07206779464337165,-0.0728845437225808,0.02807447006679983,-3.8469194308075463,-5.855478125694528,-0.8650685324586351,-0.08425291290556325,-0.04462220870725087,224.0,0.5985753278996909,0.4126984126984127,,,,,,,-0.07206779464337165,-0.07206779464337165,0.09090909090909091,361.0,0.0,1,,False
2017,251,10000.0,9625.553310224699,-0.03744466897753007,-0.037980234296468574,0.028486017123031296,-1.9351589592199931,-2.8971518186853675,-0.9078921587349786,-0.04183342033638526,-0.023900627371469852,250.0,0.767313370973353,0.4581673306772908,,,,,,,-0.03744466897753007,-0.03744466897753007,0.36363636363636365,360.0,0.0,1,,False
2018,251,10000.0,9452.253013763931,-0.05477469862360684,-0.05510468067624996,0.032821869849504526,-2.480816552825131,-3.794153091305782,-0.9243713378156037,-0.0596131429242156,-0.029484267480434905,238.0,0.7216228780596112,0.46613545816733065,,,,,,,-0.05477469862360684,-0.05477469862360684,0.45454545454545453,363.0,0.0,1,,False
2019,252,10000.0,9779.208439754868,-0.022079156024513158,-0.022214478876682486,0.02649017207387747,-1.2083009121558992,-2.134802220457762,-0.6301208884191175,-0.03525431275959667,-0.01867557503369549,179.0,0.8471283627796595,0.4523809523809524,,,,,,,-0.022079156024513158,-0.022079156024513158,0.2727272727272727,363.0,0.0,1,,False
2020,253,10000.0,9446.386488845414,-0.05536135111545859,-0.0555460851871723,0.04791195014592404,-1.691946507723989,-2.4635707575451575,-0.9182792594339625,-0.06048931696596471,-0.03418203733931672,243.0,0.7782705193874916,0.43478260869565216,,,,,,,-0.05536135111545859,-0.05536135111545859,0.36363636363636365,364.0,0.0,1,,False
2021,252,10000.0,9456.604258190282,-0.054339574180971795,-0.05496139642650166,0.03924856115739096,-2.0434306817470014,-3.4623919349215564,-1.023376214019471,-0.05370595453907623,-0.025752953392958425,251.0,0.7609011606762022,0.4444444444444444,,,,,,,-0.054339574180971795,-0.054339574180971795,0.5454545454545454,361.0,0.0,1,,False
2022,251,10000.0,9337.449828007111,-0.06625501719928895,-0.06700829361105376,0.04883404163333287,-2.018034471115316,-2.9468627922578787,-0.8837019746828817,-0.07582680081155169,-0.04422033143573518,250.0,0.7562902600732883,0.4541832669322709,,,,,,,-0.06625501719928895,-0.06625501719928895,0.18181818181818182,361.0,0.0,1,,False
2023,250,10000.0,9940.970584613067,-0.005902941538693196,-0.005988767820153007,0.03690416911091439,-0.21593980103842936,-0.3921022669340341,-0.3019672165640727,-0.019832509927057873,-0.009848627247280573,173.0,0.9712417222959753,0.504,,,,,,,-0.005902941538693196,-0.005902941538693196,0.36363636363636365,360.0,0.0,1,,False
2024,252,10000.0,9382.133332053527,-0.061786666794647394,-0.061992129515405114,0.038406094227665444,-2.3873945276343016,-3.664324075618121,-0.7575057163959583,-0.08183717716395555,-0.032105261977845266,206.0,0.7288928506612729,0.47619047619047616,,,,,,,-0.061786666794647394,-0.061786666794647394,0.2727272727272727,364.0,0.0,1,,False
2025,250,10000.0,9142.327950775527,-0.08576720492244738,-0.08627519984341414,0.05182508473767777,-2.501502181960781,-3.4457033425093675,-0.8662826553965027,-0.099592435916803,-0.050937118189640036,205.0,0.6913687918401495,0.436,,,,,,,-0.08576720492244738,-0.08576720492244738,0.2727272727272727,363.0,0.0,1,,False
