year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2005,252,10000.0,11725.744454897833,0.1725744454897833,0.1747742138000612,0.3747733328763897,0.8046582158559009,1.059948794938458,0.7880133510192738,-0.22179092977802406,-0.08879289417574898,105.0,1.1204740943759603,0.5396825396825397,,,,,,,0.1725744454897833,0.1725744454897833,0.6363636363636364,361.0,1.0,1,,False
2006,251,10000.0,17188.715476524932,0.7188715476524932,0.7325032423138089,0.3482631793123908,2.4393139308838347,4.44933547951317,3.6040191614737886,-0.2032462119358619,-0.06334582509149767,96.0,1.374268818850958,0.5577689243027888,,,,,,,0.7188715476524932,0.7188715476524932,0.7272727272727273,360.0,1.0,1,,False
2007,251,10000.0,6187.26117964147,-0.381273882035853,-0.3839349906519336,0.6601349909381805,-0.7255970051372428,-1.161384615724329,-0.7136281959794438,-0.5380042335981255,-0.2949938762224795,226.0,0.9089079276557857,0.4940239043824701,,,,,,,-0.381273882035853,-0.381273882035853,0.2727272727272727,362.0,0.0,1,,False
2008,253,10000.0,2176.8471074632225,-0.7823152892536778,-0.7834520959690747,1.744691091777665,-0.3647517137338291,-0.5159641423008517,-0.866399293373786,-0.9042621594464693,-0.31121154385040933,159.0,0.9458470415272255,0.466403162055336,,,,,,,-0.7823152892536778,-0.7823152892536778,0.45454545454545453,364.0,0.0,1,,False
2009,252,10000.0,10745.747531329542,0.07457475313295414,0.07505392271047473,1.5486436196832734,0.8325740065560981,1.3487390582469962,0.10691874959056026,-0.7019715718514272,-0.32278340376051323,174.0,1.1250389915460686,0.49603174603174605,,,,,,,0.07457475313295414,0.07457475313295414,0.6363636363636364,363.0,1.0,1,,False
2010,252,10000.0,14683.433286404714,0.46834332864047146,0.4749987469820187,0.6482964350213932,1.1833950016296153,1.7603306553069549,1.4141354827813688,-0.33589337992408996,-0.1121783311143603,118.0,1.1820227010158442,0.5357142857142857,,,,,,,0.46834332864047146,0.46834332864047146,0.6363636363636364,361.0,1.0,1,,False
2011,252,10000.0,10394.145411729198,0.03941454117291987,0.03988769720957763,0.6943445282544956,0.4294109481069836,0.5823394710759114,0.09263014337018674,-0.4306124956556593,-0.1539481050450145,112.0,1.06625483063899,0.5674603174603174,,,,,,,0.03941454117291987,0.03941454117291987,0.5454545454545454,361.0,1.0,1,,False
2012,250,10000.0,13043.141013322442,0.3043141013322441,0.3064637633654306,0.32161964135115645,1.3687368848682222,2.028656361844853,1.7047225785132936,-0.1797733937639876,-0.06588514203773872,72.0,1.2028699852758609,0.524,,,,,,,0.3043141013322441,0.3043141013322441,0.45454545454545453,363.0,1.0,1,,True
2013,252,10000.0,9802.054552468058,-0.0197945447531942,-0.019916008262913953,0.369794777114579,0.10731723740390318,0.14951511342973378,-0.05832639535496373,-0.3414578964070861,-0.18565235646668007,155.0,1.0153853704354134,0.5436507936507936,,,,,,,-0.0197945447531942,-0.0197945447531942,0.5454545454545454,363.0,0.0,1,,False
2014,252,10000.0,16115.436105701561,0.6115436105701562,0.6163172980972167,0.26507250459736065,2.7444380844933165,4.021592763533213,4.1288758532502365,-0.14926999987467626,-0.035070833292929454,35.0,1.4584153373482338,0.5793650793650794,,,,,,,0.6115436105701562,0.6115436105701562,0.8181818181818182,363.0,1.0,1,,True
