year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2013,252,10000.0,8124.125323244772,-0.1875874676755228,-0.18863292841601353,0.3746737680524283,-0.6134116518299001,-0.7682121303902572,-0.5203031026089932,-0.3625443082505907,-0.1913112142306457,230.0,0.9154536540052552,0.5317460317460317,,,,,,,-0.1875874676755228,-0.1875874676755228,0.36363636363636365,363.0,0.0,1,,False
2014,252,10000.0,7285.708370741401,-0.27142916292585983,-0.27285782337576403,0.32581508068817594,-1.2440396500902784,-1.761714523694552,-0.6390488450092995,-0.4269749104574211,-0.12653156624761133,126.0,0.8422913269779327,0.4801587301587302,,,,,,,-0.27142916292585983,-0.27142916292585983,0.5454545454545454,363.0,0.0,1,,False
2015,252,10000.0,5407.333842090651,-0.45926661579093486,-0.46132338759753866,0.4284860826659599,-1.8616664169783246,-2.7771681553543144,-0.9025467907328847,-0.5111351481544082,-0.23618605903060794,222.0,0.7765234651323389,0.4365079365079365,,,,,,,-0.45926661579093486,-0.45926661579093486,0.2727272727272727,363.0,0.0,1,,False
2016,252,10000.0,12486.537139523647,0.2486537139523648,0.2519224023421598,0.3969446980034429,1.0101096850468423,1.5035708408118693,1.2386604566042585,-0.20338293759114234,-0.06789415757106745,93.0,1.1499047154902715,0.503968253968254,,,,,,,0.2486537139523648,0.2486537139523648,0.7272727272727273,361.0,1.0,1,,False
2017,251,10000.0,12219.771842921773,0.2219771842921774,0.22555489063659317,0.25976797096970217,1.2529979944699878,2.1683699549775515,1.297420338116877,-0.1738487396952415,-0.06506830073112299,165.0,1.1810855495620805,0.5179282868525896,,,,,,,0.2219771842921774,0.2219771842921774,0.45454545454545453,360.0,1.0,1,,True
2018,251,10000.0,6083.95923931232,-0.391604076068768,-0.3934751382649132,0.4196895385187569,-1.5098153151783686,-2.0592333535016683,-0.8112907437159455,-0.4849989246305013,-0.1740783782653112,235.0,0.8108252533183569,0.4900398406374502,,,,,,,-0.391604076068768,-0.391604076068768,0.36363636363636365,363.0,0.0,1,,False
2019,252,10000.0,13972.873909034362,0.39728739090343623,0.40018774254305156,0.2921765743905499,1.8065211298840227,2.7958304574311645,2.41606223288767,-0.1656363553453457,-0.07097897733729093,179.0,1.2863875832917888,0.5198412698412699,,,,,,,0.39728739090343623,0.39728739090343623,0.6363636363636364,363.0,1.0,1,,True
2020,253,10000.0,7428.933073739749,-0.25710669262602515,-0.2578645132634383,0.8838641099481936,-0.016336165379466933,-0.017027026718551507,-0.3497775368673159,-0.7372243385693926,-0.4217151801659503,250.0,0.9972518366851385,0.5454545454545454,,,,,,,-0.25710669262602515,-0.25710669262602515,0.6363636363636364,364.0,0.0,1,,False
2021,252,10000.0,16133.226216827548,0.6133226216827548,0.6224327149164748,0.49252019299663596,1.6569015847783106,2.3564679405424336,2.935232728104228,-0.2120556605126449,-0.0739399629585388,85.0,1.2491143909859586,0.5436507936507936,,,,,,,0.6133226216827548,0.6133226216827548,0.6363636363636364,361.0,1.0,1,,False
2022,251,10000.0,10402.40770123847,0.04024077012384697,0.040724037683802505,0.6711296906162924,0.42401623311314723,0.6186443387227681,0.08005440875427756,-0.508704496323277,-0.24596896284353828,178.0,1.0587288220219164,0.5139442231075697,,,,,,,0.04024077012384697,0.04024077012384697,0.5454545454545454,361.0,1.0,1,,False
2023,250,10000.0,9494.477423526103,-0.05055225764738969,-0.05127025019140552,0.4485597578971827,0.05567670202961527,0.09191484079459823,-0.1593985341033436,-0.3216481913074887,-0.2001267995617526,233.0,1.0072801883795017,0.504,,,,,,,-0.05055225764738969,-0.05055225764738969,0.5454545454545454,360.0,0.0,1,,False
2024,252,10000.0,9645.879899292602,-0.0354120100707398,-0.035531430801914565,0.3548326233962966,0.031479247076046976,0.04334222881537924,-0.15567241460049963,-0.22824487493881607,-0.08472660603272496,92.0,1.0041946890933664,0.5555555555555556,,,,,,,-0.0354120100707398,-0.0354120100707398,0.5454545454545454,364.0,0.0,1,,False
2025,250,10000.0,15328.144085218117,0.5328144085218116,0.5368776782370379,0.4398756565314296,1.6423343055475612,1.9870378993971543,1.8923570333211663,-0.2837084486614003,-0.04435824213223905,76.0,1.2955906986517807,0.556,,,,,,,0.5328144085218116,0.5328144085218116,0.9090909090909091,363.0,1.0,1,,False
