trade_date,SG Trend Indicator,SG CTA Index,SG Trend Index,S&P 500 TR
2000-01-01 00:00:00+00:00,100.0,100.0,100.0,100.0
2000-01-03 00:00:00+00:00,99.19,99.67,99.72,100.0
2000-01-04 00:00:00+00:00,95.9,98.7,97.07,96.17
2000-01-05 00:00:00+00:00,95.15,98.42,96.21,96.36
2000-01-06 00:00:00+00:00,93.89,98.24,95.35,96.47
2000-01-07 00:00:00+00:00,94.92,97.7,94.4,99.09
2000-01-10 00:00:00+00:00,96.29,97.98,95.12,100.2
2000-01-11 00:00:00+00:00,96.19,99.35,97.42,98.89
2000-01-12 00:00:00+00:00,95.84,99.63,97.96,98.46
2000-01-13 00:00:00+00:00,97.15,99.47,97.71,99.66
2000-01-14 00:00:00+00:00,99.43,100.43,99.67,100.73
2000-01-17 00:00:00+00:00,100.13,100.63,99.97,
2000-01-18 00:00:00+00:00,100.31,101.66,102.04,100.04
2000-01-19 00:00:00+00:00,99.99,101.34,101.79,100.1
2000-01-20 00:00:00+00:00,100.19,101.3,101.58,99.39
2000-01-21 00:00:00+00:00,100.49,101.11,101.5,99.1
2000-01-24 00:00:00+00:00,99.52,101.19,101.1,96.36
2000-01-25 00:00:00+00:00,99.4,101.17,101.11,96.94
2000-01-26 00:00:00+00:00,99.37,100.69,100.11,96.54
2000-01-27 00:00:00+00:00,100.93,101.46,101.2,96.16
2000-01-28 00:00:00+00:00,98.55,102.16,101.51,93.53
2000-01-31 00:00:00+00:00,98.53,102.34,101.97,95.89
2000-02-01 00:00:00+00:00,98.08,102.02,101.25,96.91
2000-02-02 00:00:00+00:00,98.11,101.49,99.95,96.91
2000-02-03 00:00:00+00:00,96.75,100.13,97.39,98.01
2000-02-04 00:00:00+00:00,97.84,100.92,99.11,97.97
2000-02-07 00:00:00+00:00,98.64,101.81,100.42,97.96
2000-02-08 00:00:00+00:00,98.38,101.09,98.92,99.17
2000-02-09 00:00:00+00:00,99.02,101.29,99.25,97.13
2000-02-10 00:00:00+00:00,99.32,101.99,100.91,97.48
2000-02-11 00:00:00+00:00,99.51,101.82,100.24,95.45
2000-02-14 00:00:00+00:00,99.5,102.15,100.66,95.64
2000-02-15 00:00:00+00:00,99.48,101.86,100.2,96.48
2000-02-16 00:00:00+00:00,99.08,101.88,100.45,95.51
2000-02-17 00:00:00+00:00,98.87,102.25,100.79,95.55
2000-02-18 00:00:00+00:00,99.45,102.54,101.1,92.64
2000-02-21 00:00:00+00:00,99.08,102.38,100.67,
2000-02-22 00:00:00+00:00,95.53,101.17,97.91,93.06
2000-02-23 00:00:00+00:00,97.35,101.54,98.79,93.66
2000-02-24 00:00:00+00:00,98.29,101.45,98.86,93.16
2000-02-25 00:00:00+00:00,99.89,101.41,98.94,91.79
2000-02-28 00:00:00+00:00,100.23,100.89,98.31,92.81
2000-02-29 00:00:00+00:00,100.79,101.55,99.52,94.08
2000-03-01 00:00:00+00:00,100.12,100.65,98.74,94.98
2000-03-02 00:00:00+00:00,100.99,101.2,99.39,95.15
2000-03-03 00:00:00+00:00,101.12,101.29,99.73,97.04
2000-03-06 00:00:00+00:00,101.83,101.53,100.25,95.82
2000-03-07 00:00:00+00:00,101.76,101.85,100.81,93.37
2000-03-08 00:00:00+00:00,101.05,100.72,98.7,94.14
2000-03-09 00:00:00+00:00,99.68,100.1,97.9,96.55
2000-03-10 00:00:00+00:00,99.83,100.04,97.98,96.1
2000-03-13 00:00:00+00:00,98.91,99.46,96.88,95.32
2000-03-14 00:00:00+00:00,98.49,99.21,96.31,93.64
2000-03-15 00:00:00+00:00,98.02,99.34,96.15,95.91
2000-03-16 00:00:00+00:00,97.37,99.47,96.31,100.5
2000-03-17 00:00:00+00:00,98.33,100.07,97.39,100.91
2000-03-20 00:00:00+00:00,98.16,99.52,96.22,100.37
2000-03-21 00:00:00+00:00,98.48,100.17,97.46,102.94
2000-03-22 00:00:00+00:00,99.01,100.27,97.7,103.4
2000-03-23 00:00:00+00:00,98.73,99.77,97.0,105.25
2000-03-24 00:00:00+00:00,98.26,98.99,95.71,105.25
2000-03-27 00:00:00+00:00,98.34,98.89,95.58,105.0
2000-03-28 00:00:00+00:00,97.67,98.94,95.72,103.89
2000-03-29 00:00:00+00:00,97.94,99.12,95.69,103.96
2000-03-30 00:00:00+00:00,97.62,98.5,94.9,102.54
2000-03-31 00:00:00+00:00,97.95,99.64,96.51,103.28
2000-04-03 00:00:00+00:00,97.72,98.95,95.42,103.79
2000-04-04 00:00:00+00:00,97.66,98.41,94.48,103.02
2000-04-05 00:00:00+00:00,97.31,98.16,94.07,102.52
2000-04-06 00:00:00+00:00,98.2,98.01,93.86,103.5
2000-04-07 00:00:00+00:00,100.26,98.56,95.04,104.53
2000-04-10 00:00:00+00:00,99.93,98.26,94.43,103.71
2000-04-11 00:00:00+00:00,98.95,97.59,93.31,103.45
2000-04-12 00:00:00+00:00,98.14,97.34,92.67,101.15
2000-04-13 00:00:00+00:00,98.27,97.45,92.82,99.32
2000-04-14 00:00:00+00:00,96.91,98.15,93.31,93.53
2000-04-17 00:00:00+00:00,98.15,98.34,93.3,96.62
2000-04-18 00:00:00+00:00,98.96,97.8,92.84,99.4
2000-04-19 00:00:00+00:00,99.35,97.92,93.11,98.42
2000-04-20 00:00:00+00:00,99.74,97.61,92.62,98.91
2000-04-21 00:00:00+00:00,99.66,97.72,92.8,
2000-04-24 00:00:00+00:00,99.37,97.71,92.79,98.59
2000-04-25 00:00:00+00:00,99.97,98.09,93.33,101.87
2000-04-26 00:00:00+00:00,100.75,98.13,93.39,100.75
2000-04-27 00:00:00+00:00,100.89,98.17,93.33,101.03
2000-04-28 00:00:00+00:00,102.48,98.2,93.23,100.17
2000-05-01 00:00:00+00:00,102.83,97.67,92.41,101.26
2000-05-02 00:00:00+00:00,102.76,97.07,91.42,99.75
2000-05-03 00:00:00+00:00,102.06,97.2,91.46,97.61
2000-05-04 00:00:00+00:00,102.22,97.12,91.28,97.23
2000-05-05 00:00:00+00:00,101.54,96.73,90.43,98.82
