year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2001,248,10000.0,11336.28427395566,0.1336284273955659,0.13451007354305222,0.21248324352624084,0.975995188130531,1.502734274824927,0.9697359735259554,-0.13870793413383875,-0.049622068424947034,123.0,1.1419893927396807,0.5282258064516129,,,,,,,0.1336284273955659,0.1336284273955659,0.6363636363636364,363.0,1.0,1,,True
2002,252,10000.0,9298.58272850819,-0.07014172714918099,-0.07056077841127018,0.21864868990839564,-0.372556502186392,-0.5899097128525926,-0.2751085686311008,-0.2564833904024513,-0.10933998441981149,166.0,0.9523754521028008,0.49206349206349204,,,,,,,-0.07014172714918099,-0.07014172714918099,0.45454545454545453,363.0,0.0,1,,False
2003,252,10000.0,11460.200592038887,0.14602005920388872,0.14698863114656446,0.18971775082086403,1.1365220730729835,1.7135200494483918,2.051360412738054,-0.0716542204060433,-0.02611670504382729,70.0,1.1638167663834846,0.5674603174603174,,,,,,,0.14602005920388872,0.14602005920388872,0.5454545454545454,363.0,1.0,1,,True
2004,252,10000.0,10161.215834648143,0.016121583464814293,0.01617739146510222,0.1756064368888535,0.21979538397609927,0.3850114484771675,0.10619900783432186,-0.15233090962902518,-0.07452142644043881,240.0,1.0287124099333678,0.5,,,,,,,0.016121583464814293,0.016121583464814293,0.45454545454545453,364.0,1.0,1,,True
2005,252,10000.0,9180.87931440724,-0.08191206855927591,-0.08283532244066083,0.1471165263699318,-0.76816282570456,-1.1833910113744652,-0.7152730142192122,-0.11580937739009123,-0.05332635906761667,129.0,0.9043453076616143,0.503968253968254,,,,,,,-0.08191206855927591,-0.08191206855927591,0.36363636363636365,361.0,0.0,1,,False
2006,251,10000.0,9497.185648341117,-0.05028143516588823,-0.05099568543277522,0.17985968783342368,-0.3274010043469128,-0.5469905586640269,-0.2869240526456317,-0.17773234750645994,-0.09605820683425619,177.0,0.9580206805003169,0.47410358565737054,,,,,,,-0.05028143516588823,-0.05028143516588823,0.2727272727272727,360.0,0.0,1,,False
2007,251,10000.0,8286.589107745029,-0.17134108922549707,-0.17273816139318654,0.15256959720852156,-1.7156647564976681,-2.6895219146083735,-0.8191175777398813,-0.21088323103724338,-0.09548503621031126,216.0,0.7877519875708376,0.4302788844621514,,,,,,,-0.17134108922549707,-0.17134108922549707,0.45454545454545453,362.0,0.0,1,,False
2008,253,10000.0,9908.43610689573,-0.00915638931042706,-0.009187688064176247,0.30636091605414045,0.10971148740713482,0.1535236150531308,-0.04271823565723596,-0.21507648719148265,-0.0656140605803227,76.0,1.0161833507307885,0.5177865612648221,,,,,,,-0.00915638931042706,-0.00915638931042706,0.5454545454545454,364.0,0.0,1,,False
2009,252,10000.0,9477.874160646155,-0.052212583935384416,-0.0525275634710719,0.2360286772321346,-0.21132261151624826,-0.3441500307838263,-0.34171513635525214,-0.1537174034236033,-0.054168232772183696,96.0,0.9718680974949178,0.5119047619047619,,,,,,,-0.052212583935384416,-0.052212583935384416,0.45454545454545453,363.0,0.0,1,,False
2010,252,10000.0,10755.780547293181,0.07557805472931811,0.07650102693354799,0.18173618177214892,0.6720360340067909,1.0677294979079142,0.5496849734247934,-0.13917249084855088,-0.05434066523720847,171.0,1.0938557630816206,0.5198412698412699,,,,,,,0.07557805472931811,0.07557805472931811,0.5454545454545454,361.0,1.0,1,,True
