year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
1994,252,10000.0,8989.729465627192,-0.10102705343728091,-0.10215351208320322,0.16066691994844612,-0.8801339135921343,-0.6012847008175572,-0.5839444595546748,-0.1749370345274054,-0.0434283080177524,104.0,0.7545570243162296,0.0873015873015873,,,,,,,-0.10102705343728091,-0.10102705343728091,0.45454545454545453,361.0,0.0,1,,False
1995,252,10000.0,14143.381568098534,0.4143381568098534,0.4215064235044037,0.1508495705924176,3.4069550350380218,5.183732181630417,10.371610050405545,-0.04064040408923031,-0.008616196351786709,44.0,3.425546487674818,0.12301587301587301,,,,,,,0.4143381568098534,0.4143381568098534,0.7272727272727273,360.0,1.0,1,,True
1996,254,10000.0,11779.847861860617,0.17798478618606173,0.1786476099507488,0.21788390860381793,1.190302868757502,0.810537399032763,1.7943658514584964,-0.09956030416291106,-0.028322604574468235,65.0,1.425472754409094,0.1141732283464567,,,,,,,0.17798478618606173,0.17798478618606173,0.6363636363636364,364.0,1.0,1,,True
1997,253,10000.0,16009.362751856646,0.6009362751856646,0.6056128179806981,0.2932884508880823,2.4620066246002694,2.1960034762668172,4.920309285228573,-0.12308429874496485,-0.026094259091410967,83.0,2.2648979207498767,0.11462450592885376,,,,,,,0.6009362751856646,0.6009362751856646,0.6363636363636364,363.0,1.0,1,,True
1998,252,10000.0,6378.096743674657,-0.3621903256325343,-0.3639657392938277,0.45165538791619675,-1.2012048794099688,-0.6442211968549586,-0.7754718627684102,-0.4693474473651197,-0.1831476774911269,169.0,0.6587057719993076,0.09523809523809523,,,,,,,-0.3621903256325343,-0.3621903256325343,0.18181818181818182,363.0,0.0,1,,False
1999,252,10000.0,14880.86920083498,0.4880869200834981,0.49506690153306354,0.2887332252830243,2.138437999305658,2.137571082537432,4.8675951230409344,-0.10170667219006091,-0.022048994749732938,61.0,1.8779493288191014,0.10714285714285714,,,,,,,0.4880869200834981,0.4880869200834981,0.6363636363636364,361.0,1.0,1,,True
2000,252,10000.0,12072.859670066096,0.20728596700660962,0.20996634738882847,0.332269519398702,0.9891712591484332,0.6335765908575913,1.407888744458544,-0.14913561047721768,-0.05353101250372411,83.0,1.352382394258943,0.12301587301587301,,,,,,,0.20728596700660962,0.20728596700660962,0.6363636363636364,361.0,1.0,1,,True
2001,248,10000.0,10748.49571011612,0.07484957101161194,0.07533056753012768,0.3676097148946729,0.4718053592952199,0.3303738198385604,0.30573168432666437,-0.24639437582674428,-0.13932286949008177,228.0,1.154043268212213,0.11290322580645161,,,,,,,0.07484957101161194,0.07484957101161194,0.5454545454545454,363.0,1.0,1,,False
2002,252,10000.0,6037.012539028577,-0.39629874609714233,-0.3981842670881319,0.40446897181198793,-1.601696800527656,-1.0598098569507337,-0.8194464515929917,-0.48591859335538967,-0.23028489937042507,231.0,0.5997669000544712,0.08333333333333333,,,,,,,-0.39629874609714233,-0.39629874609714233,0.18181818181818182,363.0,0.0,1,,False
2003,252,10000.0,14706.040315378266,0.4706040315378266,0.47412376950895885,0.28535097229921147,2.100984496047939,1.6836536213159208,3.1881736369517255,-0.14871328337131529,-0.039171009161888586,80.0,1.9752857385849651,0.11507936507936507,,,,,,,0.4706040315378266,0.4706040315378266,0.7272727272727273,363.0,1.0,1,,True
