open_time,GROWTH,SVRPO,VXTH
2016-09-12 00:00:00+00:00,1.0,397.26,191.92
2016-09-13 00:00:00+00:00,1.0,396.36,191.27
2016-09-14 00:00:00+00:00,1.0,396.78,190.5
2016-09-15 00:00:00+00:00,1.0,397.32,191.1
2016-09-16 00:00:00+00:00,1.0,397.6,190.02
2016-09-19 00:00:00+00:00,1.0,397.74,189.77
2016-09-20 00:00:00+00:00,1.0,397.7,189.71
2016-09-21 00:00:00+00:00,1.0,397.96,191.04
2016-09-22 00:00:00+00:00,1.0,397.99,192.04
2016-09-23 00:00:00+00:00,1.0,398.0,190.95
2016-09-26 00:00:00+00:00,1.0,398.01,189.71
2016-09-27 00:00:00+00:00,1.0,398.02,190.41
2016-09-28 00:00:00+00:00,1.0,398.03,191.31
2016-09-29 00:00:00+00:00,1.0,397.99,190.07
2016-09-30 00:00:00+00:00,1.0,398.03,191.09
2016-10-03 00:00:00+00:00,1.0,398.17,190.4
2016-10-04 00:00:00+00:00,1.0,398.21,189.39
2016-10-05 00:00:00+00:00,1.0,398.49,190.18
2016-10-06 00:00:00+00:00,1.0,398.67,190.18
2016-10-07 00:00:00+00:00,1.0,398.7,189.52
2016-10-10 00:00:00+00:00,1.0,398.97,190.3
2016-10-11 00:00:00+00:00,1.0,398.75,188.12
2016-10-12 00:00:00+00:00,1.0,398.88,188.26
2016-10-13 00:00:00+00:00,1.0,398.84,187.83
2016-10-14 00:00:00+00:00,1.0,399.0,187.63
2016-10-17 00:00:00+00:00,1.0,399.1,186.97
2016-10-18 00:00:00+00:00,1.0,399.23,188.02
2016-10-19 00:00:00+00:00,1.0,399.25,188.31
2016-10-20 00:00:00+00:00,1.0,399.24,187.86
2016-10-21 00:00:00+00:00,1.0,399.29,187.58
2016-10-24 00:00:00+00:00,1.0,399.31,188.15
2016-10-25 00:00:00+00:00,1.0,399.31,187.55
2016-10-26 00:00:00+00:00,1.0,399.31,187.33
2016-10-27 00:00:00+00:00,1.0,399.29,186.94
2016-10-28 00:00:00+00:00,1.0,399.32,187.11
2016-10-31 00:00:00+00:00,1.0,399.33,187.4
2016-11-01 00:00:00+00:00,1.0,398.76,186.78
2016-11-02 00:00:00+00:00,1.0,398.35,186.07
2016-11-03 00:00:00+00:00,1.0,396.92,186.96
2016-11-04 00:00:00+00:00,1.0,396.11,186.4
2016-11-07 00:00:00+00:00,1.0,399.61,187.86
2016-11-08 00:00:00+00:00,1.0,399.78,188.29
2016-11-09 00:00:00+00:00,1.0,401.49,189.05
2016-11-10 00:00:00+00:00,1.0,401.27,189.65
2016-11-11 00:00:00+00:00,1.0,401.58,188.91
2016-11-14 00:00:00+00:00,1.0,401.76,188.71
2016-11-15 00:00:00+00:00,1.0,401.78,190.06
2016-11-16 00:00:00+00:00,1.0,401.91,189.65
2016-11-17 00:00:00+00:00,1.0,401.92,190.26
2016-11-18 00:00:00+00:00,1.0,401.96,189.61
2016-11-21 00:00:00+00:00,1.0,401.96,190.69
2016-11-22 00:00:00+00:00,1.0,401.95,191.11
2016-11-23 00:00:00+00:00,1.0,401.97,191.27
2016-11-25 00:00:00+00:00,1.0,401.98,191.9
2016-11-28 00:00:00+00:00,1.0,401.99,190.98
2016-11-29 00:00:00+00:00,1.0,401.99,191.22
2016-11-30 00:00:00+00:00,1.0,402.0,190.76
2016-12-01 00:00:00+00:00,1.0,402.03,190.6
2016-12-02 00:00:00+00:00,1.0,402.27,190.56
2016-12-05 00:00:00+00:00,1.0,402.63,191.07
2016-12-06 00:00:00+00:00,1.0,402.66,191.56
2016-12-07 00:00:00+00:00,1.0177719381852863,402.01,194.05
2016-12-08 00:00:00+00:00,1.0224238581412015,401.63,194.44
2016-12-09 00:00:00+00:00,1.0338092179416483,401.38,195.53
2016-12-12 00:00:00+00:00,1.0336435382508289,401.71,195.21
2016-12-13 00:00:00+00:00,1.0506210789742996,400.24,196.58
2016-12-14 00:00:00+00:00,1.048195361108186,401.62,195.05
2016-12-15 00:00:00+00:00,1.048134124966651,401.77,195.7
2016-12-16 00:00:00+00:00,1.048305100745024,402.41,195.37
2016-12-19 00:00:00+00:00,1.0597134966232384,402.84,195.64
2016-12-20 00:00:00+00:00,1.0714000770312242,402.59,196.38
2016-12-21 00:00:00+00:00,1.0961665580630615,403.28,195.85
2016-12-22 00:00:00+00:00,1.115661206558195,403.48,195.51
2016-12-23 00:00:00+00:00,1.1607256084555422,403.4,195.76
2016-12-27 00:00:00+00:00,1.1760065869817748,403.41,196.21
2016-12-28 00:00:00+00:00,1.1965129964815628,403.55,194.6
2016-12-29 00:00:00+00:00,1.192372275089334,403.58,194.55
2016-12-30 00:00:00+00:00,1.1692019904690947,403.63,193.66
2017-01-03 00:00:00+00:00,1.239996460252018,404.54,195.31
2017-01-04 00:00:00+00:00,1.3262400048563674,404.57,196.47
2017-01-05 00:00:00+00:00,1.2403291951417759,404.72,196.32
2017-01-06 00:00:00+00:00,1.1731453650775927,404.57,197.07
2017-01-09 00:00:00+00:00,1.179921256980075,404.84,196.37
2017-01-10 00:00:00+00:00,1.1852406952705288,405.16,196.37
2017-01-11 00:00:00+00:00,1.156714229891997,405.27,196.95
2017-01-12 00:00:00+00:00,1.1528989036293695,405.32,196.53
2017-01-13 00:00:00+00:00,1.1660524727316686,405.18,196.89
2017-01-17 00:00:00+00:00,1.1831898954997933,405.49,196.31
2017-01-18 00:00:00+00:00,1.1824472332386347,405.37,196.69
2017-01-19 00:00:00+00:00,1.183879726476438,405.39,195.98
2017-01-20 00:00:00+00:00,1.1874183508139102,405.63,196.65
2017-01-23 00:00:00+00:00,1.1959259494884689,405.6,196.12
2017-01-24 00:00:00+00:00,1.2034984842565588,405.65,197.41
2017-01-25 00:00:00+00:00,1.224251815755024,405.55,199.0
2017-01-26 00:00:00+00:00,1.2272803067671205,405.69,198.85
2017-01-27 00:00:00+00:00,1.2307917046548615,405.68,198.69
2017-01-30 00:00:00+00:00,1.21404706019763,405.76,198.7
2017-01-31 00:00:00+00:00,1.2100182328485594,405.79,197.33
2017-02-01 00:00:00+00:00,1.22380542000148,405.68,197.44
2017-02-02 00:00:00+00:00,1.2219482248119962,405.88,197.56
2017-02-03 00:00:00+00:00,1.2283078962561986,406.21,199.01
2017-02-06 00:00:00+00:00,1.2281750375883664,406.41,198.59
2017-02-07 00:00:00+00:00,1.2467484510089197,406.71,198.65
2017-02-08 00:00:00+00:00,1.2518965700383577,406.54,198.85
2017-02-09 00:00:00+00:00,1.23084860717572,406.67,200.03
2017-02-10 00:00:00+00:00,1.2360501566645203,406.63,200.76
2017-02-13 00:00:00+00:00,1.2507798093924494,406.59,201.86
2017-02-14 00:00:00+00:00,1.2646274944140048,406.4,202.73
2017-02-15 00:00:00+00:00,1.2798491074625495,406.22,203.77
2017-02-16 00:00:00+00:00,1.288350071906425,406.29,203.61
2017-02-17 00:00:00+00:00,1.307198943878689,406.8,203.96
2017-02-21 00:00:00+00:00,1.351751984746424,406.58,205.19
2017-02-22 00:00:00+00:00,1.3527947996947012,406.69,204.99
2017-02-23 00:00:00+00:00,1.365134550309235,406.96,205.1
2017-02-24 00:00:00+00:00,1.372779144329734,407.19,205.45
2017-02-27 00:00:00+00:00,1.3780540594635793,407.24,205.69
2017-02-28 00:00:00+00:00,1.37116691089291,407.33,205.17
2017-03-01 00:00:00+00:00,1.4173482518783282,407.02,208.01
2017-03-02 00:00:00+00:00,1.4150856614733223,407.84,206.81
2017-03-03 00:00:00+00:00,1.4296010173861826,408.19,206.92
2017-03-06 00:00:00+00:00,1.4224194965995665,408.41,206.25
2017-03-07 00:00:00+00:00,1.39794534450653,408.45,205.66
2017-03-08 00:00:00+00:00,1.3720160502675076,408.14,205.25
2017-03-09 00:00:00+00:00,1.3913557257964886,408.19,205.41
2017-03-10 00:00:00+00:00,1.380456594428575,408.53,206.09
2017-03-13 00:00:00+00:00,1.4236777830060376,408.62,206.23
2017-03-14 00:00:00+00:00,1.4183378516283647,408.76,205.54
2017-03-15 00:00:00+00:00,1.4395300663368944,408.75,207.27
2017-03-16 00:00:00+00:00,1.4202790584319152,408.74,206.94
2017-03-17 00:00:00+00:00,1.3903328981802712,408.98,206.67
2017-03-20 00:00:00+00:00,1.3511685245937808,409.01,206.26
2017-03-21 00:00:00+00:00,1.3067013553851752,408.61,203.72
2017-03-22 00:00:00+00:00,1.303447587743086,409.01,204.11
2017-03-23 00:00:00+00:00,1.295323832378009,409.11,203.9
2017-03-24 00:00:00+00:00,1.3005399631237515,408.98,203.73
2017-03-27 00:00:00+00:00,1.3056354455267534,409.26,203.52
2017-03-28 00:00:00+00:00,1.3237277819804407,409.27,205.0
2017-03-29 00:00:00+00:00,1.3366687321966033,409.28,205.26
2017-03-30 00:00:00+00:00,1.3416032029067593,409.26,205.87
2017-03-31 00:00:00+00:00,1.339251253878579,409.29,205.41
2017-04-03 00:00:00+00:00,1.33712198632757,409.61,205.08
2017-04-04 00:00:00+00:00,1.3416072027533517,409.92,205.23
2017-04-05 00:00:00+00:00,1.330295102895163,409.43,204.62
2017-04-06 00:00:00+00:00,1.3310815729730945,409.77,205.08
2017-04-07 00:00:00+00:00,1.3299583086953493,409.78,204.91
2017-04-10 00:00:00+00:00,1.3291994972226464,410.03,205.06
2017-04-11 00:00:00+00:00,1.3224119536691936,409.78,204.8
2017-04-12 00:00:00+00:00,1.3092289185826484,410.07,204.03
2017-04-13 00:00:00+00:00,1.297907635962797,409.73,202.64
2017-04-17 00:00:00+00:00,1.323212375481643,410.52,204.39
2017-04-18 00:00:00+00:00,1.3257316647819266,410.57,203.8
2017-04-19 00:00:00+00:00,1.3286993280069237,410.46,203.48
2017-04-20 00:00:00+00:00,1.3577618227415535,410.34,205.02
2017-04-21 00:00:00+00:00,1.3552150453900202,410.2,204.4
2017-04-24 00:00:00+00:00,1.3995772503514305,411.0,206.62
2017-04-25 00:00:00+00:00,1.426867933293964,410.96,207.88
2017-04-26 00:00:00+00:00,1.4270552317043899,411.01,207.78
2017-04-27 00:00:00+00:00,1.4563089836080516,411.0,207.91
2017-04-28 00:00:00+00:00,1.461990174381631,411.06,207.52
