symbol,variant,trend_weight,pullback_weight,range_weight,use_regime_filter,ema_window,ema_slope_window,breakout_entry_window,breakout_exit_window,atr_window,trend_stop_atr_multiple,trend_trailing_atr_multiple,rsi_window,pullback_entry_rsi,pullback_exit_rsi,bollinger_window,bollinger_std_multiple,pullback_stop_atr_multiple,adx_window,trend_adx_threshold,range_adx_threshold,range_ema_window,range_ema_slope_window,range_max_slope_atr,range_max_distance_atr,range_entry_rsi,range_exit_rsi,range_stop_atr_multiple,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,base,1.0,0.0,0.0,False,200,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6803.289251375576,1803.289251375576,0.3606578502751152,0.0479063113878222,-0.043418362250507214,1.2010049190588135,221.20877727191487,129,0.35658914728682173,2.04919071436023,13.978986444771952,2403.8333333333335
BTCUSDT,ema_minus_20pct,1.0,0.0,0.0,False,160,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6816.82565570111,1816.82565570111,0.36336513114022195,0.04822284992977899,-0.04841899051437304,1.2082802394835763,227.54967777980906,131,0.37404580152671757,2.076521011786649,13.868898135123002,2403.8333333333335
BTCUSDT,ema_plus_20pct,1.0,0.0,0.0,False,240,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6660.17707878078,1660.17707878078,0.332035415756156,0.04452665077293716,-0.04998209709874435,1.1325493922448702,215.07670484357783,127,0.33858267716535434,1.9321351134755618,13.072260462840822,2403.8333333333335
BTCUSDT,entry_minus_20pct,1.0,0.0,0.0,False,200,10,16,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6660.357122961469,1660.357122961469,0.3320714245922938,0.04453094113290135,-0.04966107002087483,1.0884857398520982,247.9258148021402,144,0.3333333333333333,1.8250134737480062,11.530257798343575,2403.8333333333335
BTCUSDT,entry_plus_20pct,1.0,0.0,0.0,False,200,10,24,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6648.237837219815,1648.2378372198154,0.3296475674439632,0.04424192504153002,-0.04554662570599077,1.1233728646493897,214.2176045252347,127,0.33858267716535434,1.9596187862302366,12.978250686770187,2403.8333333333335
BTCUSDT,exit_minus_20pct,1.0,0.0,0.0,False,200,10,20,8,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6770.384717699919,1770.3847176999188,0.35407694353998376,0.04713463085588865,-0.040919087946609256,1.2119573764078082,223.92246066935857,134,0.41044776119402987,2.1149100237133083,13.211826251491928,2403.8333333333335
BTCUSDT,exit_plus_20pct,1.0,0.0,0.0,False,200,10,20,12,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6721.860252486416,1721.8602524864164,0.34437205049728337,0.04599080608831718,-0.039437886923695875,1.1466933001265136,217.46180864248674,128,0.3515625,1.9791178882781455,13.452033222550078,2403.8333333333335
BTCUSDT,stop_minus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.0,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,7350.385158643617,2350.3851586436167,0.4700770317287233,0.060294377845161895,-0.05088086839151795,1.251968548972264,290.4006760645903,132,0.3484848484848485,2.127228553325593,17.805948171542536,2403.8333333333335
BTCUSDT,stop_plus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,3.0,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6517.925100180148,1517.9251001801476,0.3035850200360295,0.041105710016610786,-0.03759655647819471,1.206447849221721,178.31665459112378,127,0.3700787401574803,2.0862077068227745,11.952166143150649,2403.8333333333335
BTCUSDT,trailing_minus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.5,2.88,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6708.921106577812,1708.9211065778118,0.3417842213155624,0.04568462058268152,-0.03581264751608848,1.2032133094356559,235.836221082358,139,0.4028776978417266,2.02240559473343,12.294396450200058,2403.8333333333335
